s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.9528469E-003, 0.0000000E+000, 0.0000000E+000,-9.5638445E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.5638445E-007, 0.0000000E+000, 0.0000000E+000
 7.9056937E-003, 0.0000000E+000, 0.0000000E+000,-1.9127390E-006, 7.9841736E-021, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1942709E-018,-1.9127390E-006, 0.0000000E+000, 0.0000000E+000
 1.1858542E-002, 0.0000000E+000, 0.0000000E+000,-2.8690337E-006,-3.9920868E-021, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.7770837E-019,-2.8690337E-006, 0.0000000E+000, 0.0000000E+000
 1.5811387E-002, 0.0000000E+000, 0.0000000E+000,-3.8252372E-006,-5.1897128E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3165626E-018,-3.8252372E-006, 0.0000000E+000, 0.0000000E+000
 1.9764235E-002, 0.0000000E+000, 0.0000000E+000,-4.7813078E-006,-8.3833823E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.0216669E-018,-4.7813078E-006, 0.0000000E+000, 0.0000000E+000
 2.3717083E-002, 0.0000000E+000, 0.0000000E+000,-5.7371534E-006,-7.5849649E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2662502E-018,-5.7371534E-006, 0.0000000E+000, 0.0000000E+000
 2.7669929E-002, 0.0000000E+000, 0.0000000E+000,-6.6925049E-006,-1.1577052E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.8273960E-018,-6.6925049E-006, 0.0000000E+000, 0.0000000E+000
 3.1622775E-002, 0.0000000E+000, 0.0000000E+000,-7.6466117E-006,-1.6766765E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3885418E-018,-7.6466117E-006, 0.0000000E+000, 0.0000000E+000
 3.5575625E-002, 0.0000000E+000, 0.0000000E+000,-8.5976582E-006,-2.9940651E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.2159379E-018,-8.5976582E-006, 0.0000000E+000, 0.0000000E+000
