s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.9528469E-003, 0.0000000E+000, 0.0000000E+000,-4.1439291E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.1439291E-018, 0.0000000E+000, 0.0000000E+000
 7.9056937E-003, 0.0000000E+000, 0.0000000E+000,-3.7814803E-018, 1.6563168E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7560043E-016, 1.2781688E-017, 0.0000000E+000, 0.0000000E+000
 1.1858542E-002, 0.0000000E+000, 0.0000000E+000,-3.4707480E-018, 3.1677209E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6161585E-016, 2.8206461E-017, 0.0000000E+000, 0.0000000E+000
 1.5811387E-002, 0.0000000E+000, 0.0000000E+000,-3.3163576E-018, 4.3892994E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.3352918E-016, 4.0576637E-017, 0.0000000E+000, 0.0000000E+000
 1.9764235E-002, 0.0000000E+000, 0.0000000E+000,-3.1814829E-018, 5.4360246E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2650751E-016, 5.1178763E-017, 0.0000000E+000, 0.0000000E+000
 2.3717083E-002, 0.0000000E+000, 0.0000000E+000,-3.0609196E-018, 6.3059003E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.0017626E-016, 5.9998084E-017, 0.0000000E+000, 0.0000000E+000
 2.7669929E-002, 0.0000000E+000, 0.0000000E+000,-2.7096381E-018, 7.1342583E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.0544251E-016, 6.8632945E-017, 0.0000000E+000, 0.0000000E+000
 3.1622775E-002, 0.0000000E+000, 0.0000000E+000,-2.7235159E-018, 7.8416561E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5102459E-016, 7.5693045E-017, 0.0000000E+000, 0.0000000E+000
 3.5575625E-002, 0.0000000E+000, 0.0000000E+000,-2.5274921E-018, 8.4712082E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4230626E-016, 8.2184590E-017, 0.0000000E+000, 0.0000000E+000
 3.9528470E-002, 0.0000000E+000, 0.0000000E+000,-2.4823893E-018, 8.9829937E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7560043E-016, 8.7347548E-017, 0.0000000E+000, 0.0000000E+000
 4.3481316E-002, 0.0000000E+000, 0.0000000E+000,-2.4008573E-018, 9.4508663E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9315459E-016, 9.2107806E-017, 0.0000000E+000, 0.0000000E+000
 4.7434166E-002, 0.0000000E+000, 0.0000000E+000,-2.3505503E-018, 9.8560631E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4926918E-016, 9.6210081E-017, 0.0000000E+000, 0.0000000E+000
 5.1387012E-002, 0.0000000E+000, 0.0000000E+000,-2.2499363E-018, 1.0201778E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8613293E-016, 9.9767842E-017, 0.0000000E+000, 0.0000000E+000
 5.5339858E-002, 0.0000000E+000, 0.0000000E+000,-2.1874863E-018, 1.0563461E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9134042E-016, 1.0344712E-016, 0.0000000E+000, 0.0000000E+000
 5.9292708E-002, 0.0000000E+000, 0.0000000E+000,-2.1076890E-018, 1.0850891E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8262209E-016, 1.0640122E-016, 0.0000000E+000, 0.0000000E+000
 6.3245550E-002, 0.0000000E+000, 0.0000000E+000,-2.1753432E-018, 1.1136325E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1591626E-016, 1.0918791E-016, 0.0000000E+000, 0.0000000E+000
 6.7198403E-002, 0.0000000E+000, 0.0000000E+000,-2.0330959E-018, 1.1384633E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.3873668E-016, 1.1181324E-016, 0.0000000E+000, 0.0000000E+000
 7.1151249E-002, 0.0000000E+000, 0.0000000E+000,-2.0851376E-018, 1.1636135E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7560043E-016, 1.1427621E-016, 0.0000000E+000, 0.0000000E+000
 7.5104095E-002, 0.0000000E+000, 0.0000000E+000,-2.1718738E-018, 1.1820968E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8958501E-016, 1.1603781E-016, 0.0000000E+000, 0.0000000E+000
 7.9056941E-002, 0.0000000E+000, 0.0000000E+000,-1.9290125E-018, 1.1997818E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6857876E-016, 1.1804916E-016, 0.0000000E+000, 0.0000000E+000
 8.2493119E-002, 0.0000000E+000, 0.0000000E+000,-1.4953316E-018, 1.2030154E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1809116E-016, 1.1880620E-016, 0.0000000E+000, 0.0000000E+000
 8.5929304E-002, 0.0000000E+000, 0.0000000E+000,-1.4814538E-018, 1.2001411E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0395562E-016, 1.1853265E-016, 0.0000000E+000, 0.0000000E+000
 8.9365482E-002, 0.0000000E+000, 0.0000000E+000,-1.4849233E-018, 1.1965482E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3933602E-016, 1.1816989E-016, 0.0000000E+000, 0.0000000E+000
 9.2381828E-002, 0.0000000E+000, 0.0000000E+000,-1.0338952E-018, 1.1874861E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0933918E-016, 1.1771472E-016, 0.0000000E+000, 0.0000000E+000
 9.5398173E-002, 0.0000000E+000, 0.0000000E+000,-1.0165480E-018, 1.1736735E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5412885E-016, 1.1635080E-016, 0.0000000E+000, 0.0000000E+000
 9.8414518E-002, 0.0000000E+000, 0.0000000E+000,-1.0755286E-018, 1.1668071E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1502153E-016, 1.1560518E-016, 0.0000000E+000, 0.0000000E+000
 1.0143086E-001, 0.0000000E+000, 0.0000000E+000,-1.0234869E-018, 1.1558688E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2544219E-016, 1.1456339E-016, 0.0000000E+000, 0.0000000E+000
 1.0406190E-001, 0.0000000E+000, 0.0000000E+000,-6.9041994E-019, 1.1422558E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2659163E-016, 1.1353516E-016, 0.0000000E+000, 0.0000000E+000
 1.0669293E-001, 0.0000000E+000, 0.0000000E+000,-7.0429773E-019, 1.1254092E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2659163E-016, 1.1183662E-016, 0.0000000E+000, 0.0000000E+000
 1.0932397E-001, 0.0000000E+000, 0.0000000E+000,-7.5286999E-019, 1.1099199E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.9119771E-017, 1.1023912E-016, 0.0000000E+000, 0.0000000E+000
 1.1195500E-001, 0.0000000E+000, 0.0000000E+000,-8.3613672E-019, 1.0951093E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2659163E-016, 1.0867479E-016, 0.0000000E+000, 0.0000000E+000
 1.1458603E-001, 0.0000000E+000, 0.0000000E+000,-8.2225893E-019, 1.0856081E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1340500E-016, 1.0773855E-016, 0.0000000E+000, 0.0000000E+000
 1.1689781E-001, 0.0000000E+000, 0.0000000E+000,-6.1409211E-019, 1.0707974E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4707560E-016, 1.0646565E-016, 0.0000000E+000, 0.0000000E+000
 1.1920959E-001, 0.0000000E+000, 0.0000000E+000,-6.8348105E-019, 1.0571445E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.1041657E-017, 1.0503097E-016, 0.0000000E+000, 0.0000000E+000
 1.2152136E-001, 0.0000000E+000, 0.0000000E+000,-6.9388939E-019, 1.0412161E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.4043200E-017, 1.0342772E-016, 0.0000000E+000, 0.0000000E+000
 1.2383314E-001, 0.0000000E+000, 0.0000000E+000,-6.2796990E-019, 1.0313157E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5307868E-016, 1.0250360E-016, 0.0000000E+000, 0.0000000E+000
 1.2614492E-001, 0.0000000E+000, 0.0000000E+000,-6.0715322E-019, 1.0191798E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1026228E-017, 1.0131082E-016, 0.0000000E+000, 0.0000000E+000
 1.2845670E-001, 0.0000000E+000, 0.0000000E+000,-5.9327543E-019, 1.0112754E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2306326E-016, 1.0053427E-016, 0.0000000E+000, 0.0000000E+000
 1.3051111E-001, 0.0000000E+000, 0.0000000E+000,-4.0939474E-019, 9.9909957E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.7153058E-017, 9.9500562E-017, 0.0000000E+000, 0.0000000E+000
 1.3256553E-001, 0.0000000E+000, 0.0000000E+000,-2.5673907E-019, 9.8604544E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.7948970E-017, 9.8347805E-017, 0.0000000E+000, 0.0000000E+000
 1.3461994E-001, 0.0000000E+000, 0.0000000E+000,-2.9837244E-019, 9.7666404E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4861223E-016, 9.7368031E-017, 0.0000000E+000, 0.0000000E+000
 1.3667436E-001, 0.0000000E+000, 0.0000000E+000,-4.7184479E-019, 9.6600517E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4040811E-017, 9.6128672E-017, 0.0000000E+000, 0.0000000E+000
 1.3872877E-001, 0.0000000E+000, 0.0000000E+000,-4.3715032E-019, 9.5578542E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.4306115E-017, 9.5141392E-017, 0.0000000E+000, 0.0000000E+000
 1.4078319E-001, 0.0000000E+000, 0.0000000E+000,-3.6776138E-019, 9.4843998E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.4571419E-017, 9.4476237E-017, 0.0000000E+000, 0.0000000E+000
 1.4283760E-001, 0.0000000E+000, 0.0000000E+000,-4.7184479E-019, 9.3989692E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.1061217E-017, 9.3517847E-017, 0.0000000E+000, 0.0000000E+000
 1.4489202E-001, 0.0000000E+000, 0.0000000E+000,-5.6205041E-019, 9.3199259E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.7948970E-017, 9.2637208E-017, 0.0000000E+000, 0.0000000E+000
 1.4671868E-001, 0.0000000E+000, 0.0000000E+000,-2.6367797E-019, 9.2324992E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1395996E-016, 9.2061314E-017, 0.0000000E+000, 0.0000000E+000
 1.4854535E-001, 0.0000000E+000, 0.0000000E+000,-4.0939474E-019, 9.1279065E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5194661E-017, 9.0869670E-017, 0.0000000E+000, 0.0000000E+000
 1.5037201E-001, 0.0000000E+000, 0.0000000E+000,-3.8163916E-019, 9.0320964E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.1167968E-017, 8.9939325E-017, 0.0000000E+000, 0.0000000E+000
 1.5219869E-001, 0.0000000E+000, 0.0000000E+000,-4.0245585E-019, 8.9506578E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.3570637E-017, 8.9104122E-017, 0.0000000E+000, 0.0000000E+000
 1.5402535E-001, 0.0000000E+000, 0.0000000E+000,-5.0653925E-019, 8.8772034E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.7986653E-017, 8.8265495E-017, 0.0000000E+000, 0.0000000E+000
 1.5585202E-001, 0.0000000E+000, 0.0000000E+000,-4.0939474E-019, 8.8073419E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.3570637E-017, 8.7664024E-017, 0.0000000E+000, 0.0000000E+000
 1.5767868E-001, 0.0000000E+000, 0.0000000E+000,-4.7878368E-019, 8.7406741E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.7369303E-017, 8.6927957E-017, 0.0000000E+000, 0.0000000E+000
 1.5950535E-001, 0.0000000E+000, 0.0000000E+000,-4.1633363E-019, 8.6688165E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4187988E-017, 8.6271831E-017, 0.0000000E+000, 0.0000000E+000
 1.6133201E-001, 0.0000000E+000, 0.0000000E+000,-4.8572257E-019, 8.6005518E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0636263E-016, 8.5519796E-017, 0.0000000E+000, 0.0000000E+000
 1.6315868E-001, 0.0000000E+000, 0.0000000E+000,-5.4123372E-019, 8.5462594E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.6979980E-017, 8.4921361E-017, 0.0000000E+000, 0.0000000E+000
 1.6479789E-001, 0.0000000E+000, 0.0000000E+000,-2.9143354E-019, 8.4899710E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5398536E-017, 8.4608277E-017, 0.0000000E+000, 0.0000000E+000
 1.6643709E-001, 0.0000000E+000, 0.0000000E+000,-3.6082248E-019, 8.4316865E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.8097805E-017, 8.3956043E-017, 0.0000000E+000, 0.0000000E+000
 1.6807629E-001, 0.0000000E+000, 0.0000000E+000,-2.7755576E-019, 8.3590306E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.7729430E-017, 8.3312750E-017, 0.0000000E+000, 0.0000000E+000
 1.6971549E-001, 0.0000000E+000, 0.0000000E+000,-4.0245585E-019, 8.3147184E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.5030162E-017, 8.2744728E-017, 0.0000000E+000, 0.0000000E+000
 1.7135470E-001, 0.0000000E+000, 0.0000000E+000,-3.6776138E-019, 8.2564339E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.0428699E-017, 8.2196578E-017, 0.0000000E+000, 0.0000000E+000
 1.7299390E-001, 0.0000000E+000, 0.0000000E+000,-2.9837244E-019, 8.2005447E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.8097805E-017, 8.1707075E-017, 0.0000000E+000, 0.0000000E+000
 1.7463310E-001, 0.0000000E+000, 0.0000000E+000,-3.8163916E-019, 8.1510428E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0582724E-016, 8.1128789E-017, 0.0000000E+000, 0.0000000E+000
 1.7627230E-001, 0.0000000E+000, 0.0000000E+000,-3.1225023E-019, 8.0919600E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.5030162E-017, 8.0607349E-017, 0.0000000E+000, 0.0000000E+000
 1.7791151E-001, 0.0000000E+000, 0.0000000E+000,-2.7061686E-019, 8.0564304E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.6195609E-017, 8.0293687E-017, 0.0000000E+000, 0.0000000E+000
 1.7955071E-001, 0.0000000E+000, 0.0000000E+000,-2.6367797E-019, 8.0364700E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.5030162E-017, 8.0101022E-017, 0.0000000E+000, 0.0000000E+000
 1.8118991E-001, 0.0000000E+000, 0.0000000E+000,-2.4286129E-019, 7.9721974E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.0797073E-017, 7.9479112E-017, 0.0000000E+000, 0.0000000E+000
 1.8282913E-001, 0.0000000E+000, 0.0000000E+000,-2.9837244E-019, 7.9362686E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.6195609E-017, 7.9064313E-017, 0.0000000E+000, 0.0000000E+000
 1.8446833E-001, 0.0000000E+000, 0.0000000E+000,-2.7061686E-019, 7.9043319E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.6563983E-017, 7.8772702E-017, 0.0000000E+000, 0.0000000E+000
 1.8594106E-001, 0.0000000E+000, 0.0000000E+000,-7.6327833E-020, 7.8548300E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2981087E-017, 7.8471972E-017, 0.0000000E+000, 0.0000000E+000
