s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.9528469E-003, 0.0000000E+000, 0.0000000E+000,-4.3864651E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.3864651E-018, 0.0000000E+000, 0.0000000E+000
 7.9056937E-003, 0.0000000E+000, 0.0000000E+000,-4.0835391E-018, 2.1373633E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4926918E-016, 1.7290094E-017, 0.0000000E+000, 0.0000000E+000
 1.1858542E-002, 0.0000000E+000, 0.0000000E+000,-3.6108269E-018, 3.9381936E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4406168E-016, 3.5771109E-017, 0.0000000E+000, 0.0000000E+000
 1.5811387E-002, 0.0000000E+000, 0.0000000E+000,-3.4837584E-018, 5.4667637E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.9847960E-016, 5.1183878E-017, 0.0000000E+000, 0.0000000E+000
 1.9764235E-002, 0.0000000E+000, 0.0000000E+000,-3.4729164E-018, 6.8364487E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6688210E-016, 6.4891570E-017, 0.0000000E+000, 0.0000000E+000
 2.3717083E-002, 0.0000000E+000, 0.0000000E+000,-3.2820968E-018, 7.9366678E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4230626E-016, 7.6084581E-017, 0.0000000E+000, 0.0000000E+000
 2.7669929E-002, 0.0000000E+000, 0.0000000E+000,-3.2543412E-018, 8.9171243E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.0193168E-016, 8.5916902E-017, 0.0000000E+000, 0.0000000E+000
 3.1622775E-002, 0.0000000E+000, 0.0000000E+000,-3.3063829E-018, 9.7131464E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7033418E-016, 9.3825081E-017, 0.0000000E+000, 0.0000000E+000
 3.5575625E-002, 0.0000000E+000, 0.0000000E+000,-3.2768926E-018, 1.0456872E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1773043E-016, 1.0129183E-016, 0.0000000E+000, 0.0000000E+000
 3.9528470E-002, 0.0000000E+000, 0.0000000E+000,-3.1363800E-018, 1.1060076E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2475210E-016, 1.0746438E-016, 0.0000000E+000, 0.0000000E+000
 4.3481316E-002, 0.0000000E+000, 0.0000000E+000,-3.0600522E-018, 1.1620965E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9139918E-016, 1.1314959E-016, 0.0000000E+000, 0.0000000E+000
 4.7434166E-002, 0.0000000E+000, 0.0000000E+000,-3.0218883E-018, 1.2086841E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9315459E-016, 1.1784652E-016, 0.0000000E+000, 0.0000000E+000
 5.1387012E-002, 0.0000000E+000, 0.0000000E+000,-3.1849523E-018, 1.2480461E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6506793E-016, 1.2161966E-016, 0.0000000E+000, 0.0000000E+000
 5.5339858E-002, 0.0000000E+000, 0.0000000E+000,-3.0947467E-018, 1.2877274E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7384501E-016, 1.2567800E-016, 0.0000000E+000, 0.0000000E+000
 5.9292708E-002, 0.0000000E+000, 0.0000000E+000,-3.1866870E-018, 1.3225384E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9842084E-016, 1.2906716E-016, 0.0000000E+000, 0.0000000E+000
 6.3245550E-002, 0.0000000E+000, 0.0000000E+000,-3.1120939E-018, 1.3536767E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2995959E-016, 1.3225558E-016, 0.0000000E+000, 0.0000000E+000
 6.7198403E-002, 0.0000000E+000, 0.0000000E+000,-3.2231162E-018, 1.3756731E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7033418E-016, 1.3434420E-016, 0.0000000E+000, 0.0000000E+000
 7.1151249E-002, 0.0000000E+000, 0.0000000E+000,-3.1745440E-018, 1.3975897E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5278001E-016, 1.3658442E-016, 0.0000000E+000, 0.0000000E+000
 7.5104095E-002, 0.0000000E+000, 0.0000000E+000,-3.1814829E-018, 1.4209035E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9491001E-016, 1.3890886E-016, 0.0000000E+000, 0.0000000E+000
 7.9056941E-002, 0.0000000E+000, 0.0000000E+000,-3.2959746E-018, 1.4453350E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2995959E-016, 1.4123753E-016, 0.0000000E+000, 0.0000000E+000
 8.2484484E-002, 0.0000000E+000, 0.0000000E+000,-2.7373936E-018, 1.4460536E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1864062E-016, 1.4186797E-016, 0.0000000E+000, 0.0000000E+000
 8.5912034E-002, 0.0000000E+000, 0.0000000E+000,-2.5222879E-018, 1.4413429E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0042057E-016, 1.4161201E-016, 0.0000000E+000, 0.0000000E+000
 8.9339577E-002, 0.0000000E+000, 0.0000000E+000,-2.6229019E-018, 1.4333588E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5385821E-016, 1.4071297E-016, 0.0000000E+000, 0.0000000E+000
 9.2349008E-002, 0.0000000E+000, 0.0000000E+000,-2.1926905E-018, 1.4186280E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6370588E-016, 1.3967011E-016, 0.0000000E+000, 0.0000000E+000
 9.5358439E-002, 0.0000000E+000, 0.0000000E+000,-2.2308544E-018, 1.4043762E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2220298E-016, 1.3820677E-016, 0.0000000E+000, 0.0000000E+000
 9.8367870E-002, 0.0000000E+000, 0.0000000E+000,-2.3175906E-018, 1.3875296E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8676304E-016, 1.3643537E-016, 0.0000000E+000, 0.0000000E+000
 1.0137730E-001, 0.0000000E+000, 0.0000000E+000,-2.2412627E-018, 1.3735972E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7292874E-016, 1.3511846E-016, 0.0000000E+000, 0.0000000E+000
 1.0400420E-001, 0.0000000E+000, 0.0000000E+000,-2.0539126E-018, 1.3535969E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5848854E-016, 1.3330577E-016, 0.0000000E+000, 0.0000000E+000
 1.0663110E-001, 0.0000000E+000, 0.0000000E+000,-2.0712598E-018, 1.3331175E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.5470990E-017, 1.3124049E-016, 0.0000000E+000, 0.0000000E+000
 1.0925800E-001, 0.0000000E+000, 0.0000000E+000,-2.0504431E-018, 1.3146740E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5320559E-016, 1.2941696E-016, 0.0000000E+000, 0.0000000E+000
 1.1188490E-001, 0.0000000E+000, 0.0000000E+000,-2.1198321E-018, 1.2969492E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0301755E-016, 1.2757508E-016, 0.0000000E+000, 0.0000000E+000
 1.1451180E-001, 0.0000000E+000, 0.0000000E+000,-2.0851376E-018, 1.2866097E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5320559E-016, 1.2657583E-016, 0.0000000E+000, 0.0000000E+000
 1.1682008E-001, 0.0000000E+000, 0.0000000E+000,-1.7555402E-018, 1.2689247E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.1164432E-017, 1.2513693E-016, 0.0000000E+000, 0.0000000E+000
 1.1912836E-001, 0.0000000E+000, 0.0000000E+000,-1.8249291E-018, 1.2476070E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.3188793E-017, 1.2293577E-016, 0.0000000E+000, 0.0000000E+000
 1.2143664E-001, 0.0000000E+000, 0.0000000E+000,-1.8318680E-018, 1.2314390E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.4170522E-017, 1.2131203E-016, 0.0000000E+000, 0.0000000E+000
 1.2374492E-001, 0.0000000E+000, 0.0000000E+000,-1.9324820E-018, 1.2158300E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0220706E-016, 1.1965051E-016, 0.0000000E+000, 0.0000000E+000
 1.2605320E-001, 0.0000000E+000, 0.0000000E+000,-1.9428903E-018, 1.2020972E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.1164432E-017, 1.1826683E-016, 0.0000000E+000, 0.0000000E+000
 1.2836148E-001, 0.0000000E+000, 0.0000000E+000,-1.8596236E-018, 1.1911189E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5932277E-016, 1.1725227E-016, 0.0000000E+000, 0.0000000E+000
 1.3041382E-001, 0.0000000E+000, 0.0000000E+000,-1.6653345E-018, 1.1769071E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.4666903E-017, 1.1602538E-016, 0.0000000E+000, 0.0000000E+000
 1.3246617E-001, 0.0000000E+000, 0.0000000E+000,-1.6653345E-018, 1.1615376E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.7333452E-017, 1.1448842E-016, 0.0000000E+000, 0.0000000E+000
 1.3451850E-001, 0.0000000E+000, 0.0000000E+000,-1.7694179E-018, 1.1470862E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.4238256E-017, 1.1293920E-016, 0.0000000E+000, 0.0000000E+000
 1.3657086E-001, 0.0000000E+000, 0.0000000E+000,-1.7486013E-018, 1.1348704E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.7190569E-017, 1.1173844E-016, 0.0000000E+000, 0.0000000E+000
 1.3862319E-001, 0.0000000E+000, 0.0000000E+000,-1.8735014E-018, 1.1234131E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0480979E-016, 1.1046781E-016, 0.0000000E+000, 0.0000000E+000
 1.4067553E-001, 0.0000000E+000, 0.0000000E+000,-1.8943180E-018, 1.1126345E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.3809608E-017, 1.0936913E-016, 0.0000000E+000, 0.0000000E+000
 1.4272788E-001, 0.0000000E+000, 0.0000000E+000,-1.8943180E-018, 1.1012970E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.7619216E-017, 1.0823538E-016, 0.0000000E+000, 0.0000000E+000
 1.4478022E-001, 0.0000000E+000, 0.0000000E+000,-1.9081958E-018, 1.0923148E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.1000177E-017, 1.0732328E-016, 0.0000000E+000, 0.0000000E+000
 1.4660554E-001, 0.0000000E+000, 0.0000000E+000,-1.7486013E-018, 1.0815362E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.3632581E-017, 1.0640501E-016, 0.0000000E+000, 0.0000000E+000
 1.4843085E-001, 0.0000000E+000, 0.0000000E+000,-1.7486013E-018, 1.0697994E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.5037024E-017, 1.0523134E-016, 0.0000000E+000, 0.0000000E+000
 1.5025616E-001, 0.0000000E+000, 0.0000000E+000,-1.7416624E-018, 1.0599789E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6610367E-017, 1.0425623E-016, 0.0000000E+000, 0.0000000E+000
 1.5208147E-001, 0.0000000E+000, 0.0000000E+000,-1.7624791E-018, 1.0499188E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0263999E-016, 1.0322940E-016, 0.0000000E+000, 0.0000000E+000
 1.5390679E-001, 0.0000000E+000, 0.0000000E+000,-1.8665625E-018, 1.0414955E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2808886E-017, 1.0228299E-016, 0.0000000E+000, 0.0000000E+000
 1.5573211E-001, 0.0000000E+000, 0.0000000E+000,-1.9359514E-018, 1.0327928E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.1816290E-017, 1.0134333E-016, 0.0000000E+000, 0.0000000E+000
 1.5755741E-001, 0.0000000E+000, 0.0000000E+000,-1.9428903E-018, 1.0266849E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0263999E-016, 1.0072560E-016, 0.0000000E+000, 0.0000000E+000
 1.5938273E-001, 0.0000000E+000, 0.0000000E+000,-2.0053403E-018, 1.0196588E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.0823695E-017, 9.9960541E-017, 0.0000000E+000, 0.0000000E+000
 1.6120805E-001, 0.0000000E+000, 0.0000000E+000,-1.9775848E-018, 1.0128323E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0263999E-016, 9.9305650E-017, 0.0000000E+000, 0.0000000E+000
 1.6303335E-001, 0.0000000E+000, 0.0000000E+000,-1.9706459E-018, 1.0078023E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.4625176E-017, 9.8809586E-017, 0.0000000E+000, 0.0000000E+000
 1.6467178E-001, 0.0000000E+000, 0.0000000E+000,-1.8318680E-018, 1.0003770E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.3880960E-017, 9.8205835E-017, 0.0000000E+000, 0.0000000E+000
 1.6631019E-001, 0.0000000E+000, 0.0000000E+000,-1.8388069E-018, 9.9135492E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.6232159E-017, 9.7296685E-017, 0.0000000E+000, 0.0000000E+000
 1.6794860E-001, 0.0000000E+000, 0.0000000E+000,-1.8943180E-018, 9.8233280E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3552384E-016, 9.6338962E-017, 0.0000000E+000, 0.0000000E+000
 1.6958703E-001, 0.0000000E+000, 0.0000000E+000,-1.9359514E-018, 9.7323084E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.6232159E-017, 9.5387133E-017, 0.0000000E+000, 0.0000000E+000
 1.7122544E-001, 0.0000000E+000, 0.0000000E+000,-1.9151347E-018, 9.6744232E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2351200E-018, 9.4829097E-017, 0.0000000E+000, 0.0000000E+000
 1.7286386E-001, 0.0000000E+000, 0.0000000E+000,-1.9290125E-018, 9.6093522E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.4702399E-017, 9.4164509E-017, 0.0000000E+000, 0.0000000E+000
 1.7450228E-001, 0.0000000E+000, 0.0000000E+000,-1.9775848E-018, 9.5199294E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.4702399E-017, 9.3221709E-017, 0.0000000E+000, 0.0000000E+000
 1.7614070E-001, 0.0000000E+000, 0.0000000E+000,-2.0261570E-018, 9.4768149E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1175600E-017, 9.2741992E-017, 0.0000000E+000, 0.0000000E+000
 1.7777911E-001, 0.0000000E+000, 0.0000000E+000,-2.0400348E-018, 9.4348980E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3128872E-016, 9.2308945E-017, 0.0000000E+000, 0.0000000E+000
 1.7941754E-001, 0.0000000E+000, 0.0000000E+000,-2.0400348E-018, 9.3766135E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2705360E-017, 9.1726100E-017, 0.0000000E+000, 0.0000000E+000
 1.8105595E-001, 0.0000000E+000, 0.0000000E+000,-2.0539126E-018, 9.3183290E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.1997039E-017, 9.1129378E-017, 0.0000000E+000, 0.0000000E+000
 1.8269436E-001, 0.0000000E+000, 0.0000000E+000,-2.0886071E-018, 9.2648351E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.0821440E-017, 9.0559744E-017, 0.0000000E+000, 0.0000000E+000
 1.8433279E-001, 0.0000000E+000, 0.0000000E+000,-2.1788127E-018, 9.2245150E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0164288E-016, 9.0066337E-017, 0.0000000E+000, 0.0000000E+000
 1.8580511E-001, 0.0000000E+000, 0.0000000E+000,-1.9359514E-018, 9.1618392E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.0118889E-017, 8.9682441E-017, 0.0000000E+000, 0.0000000E+000
