Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,EVAC,HVAC,GEOM,Total T_USED (s)
    0, 3.108E+00, 9.439E+01, 2.021E+01, 8.516E+01, 1.013E+02, 3.421E+00, 1.539E+02, 0.000E+00, 5.427E+01, 0.000E+00, 1.627E+03, 0.000E+00, 0.000E+00, 0.000E+00, 2.143E+03
    1, 3.988E+00, 1.166E+02, 2.498E+01, 9.961E+01, 1.166E+02, 3.212E+00, 1.443E+02, 0.000E+00, 5.895E+01, 0.000E+00, 1.575E+03, 0.000E+00, 0.000E+00, 0.000E+00, 2.143E+03
    2, 3.561E+00, 1.038E+02, 2.279E+01, 9.417E+01, 1.132E+02, 3.080E+00, 1.408E+02, 0.000E+00, 5.731E+01, 0.000E+00, 1.605E+03, 0.000E+00, 0.000E+00, 0.000E+00, 2.143E+03
    3, 2.972E+00, 9.836E+01, 2.038E+01, 8.292E+01, 1.014E+02, 3.048E+00, 1.441E+02, 0.000E+00, 4.862E+01, 0.000E+00, 1.642E+03, 0.000E+00, 0.000E+00, 0.000E+00, 2.143E+03
    4, 3.075E+00, 1.205E+02, 2.792E+01, 1.113E+02, 1.354E+02, 3.241E+00, 1.524E+02, 0.000E+00, 6.892E+01, 0.000E+00, 1.521E+03, 0.000E+00, 0.000E+00, 0.000E+00, 2.143E+03
    5, 2.680E+00, 1.118E+02, 2.802E+01, 1.111E+02, 1.208E+02, 3.557E+00, 1.422E+02, 0.000E+00, 6.725E+01, 0.000E+00, 1.556E+03, 0.000E+00, 0.000E+00, 0.000E+00, 2.143E+03
    6, 2.629E+00, 1.150E+02, 2.299E+01, 9.708E+01, 1.158E+02, 3.554E+00, 1.445E+02, 0.000E+00, 5.726E+01, 0.000E+00, 1.585E+03, 0.000E+00, 0.000E+00, 0.000E+00, 2.143E+03
    7, 2.726E+00, 1.002E+02, 1.999E+01, 9.227E+01, 1.020E+02, 3.359E+00, 1.469E+02, 0.000E+00, 5.434E+01, 0.000E+00, 1.622E+03, 0.000E+00, 0.000E+00, 0.000E+00, 2.143E+03
    8, 2.258E+00, 1.088E+02, 2.572E+01, 1.011E+02, 1.156E+02, 3.372E+00, 1.461E+02, 0.000E+00, 6.171E+01, 0.000E+00, 1.579E+03, 0.000E+00, 0.000E+00, 0.000E+00, 2.143E+03
    9, 3.308E+00, 1.052E+02, 2.474E+01, 9.991E+01, 1.133E+02, 3.160E+00, 1.464E+02, 0.000E+00, 6.136E+01, 0.000E+00, 1.586E+03, 0.000E+00, 0.000E+00, 0.000E+00, 2.143E+03
   10, 3.149E+00, 1.005E+02, 2.382E+01, 9.818E+01, 1.136E+02, 3.290E+00, 1.435E+02, 0.000E+00, 5.893E+01, 0.000E+00, 1.598E+03, 0.000E+00, 0.000E+00, 0.000E+00, 2.143E+03
   11, 3.205E+00, 1.158E+02, 2.600E+01, 1.075E+02, 1.259E+02, 2.964E+00, 1.422E+02, 0.000E+00, 6.535E+01, 0.000E+00, 1.555E+03, 0.000E+00, 0.000E+00, 0.000E+00, 2.143E+03
   12, 2.224E+00, 9.190E+01, 1.997E+01, 8.708E+01, 9.371E+01, 3.185E+00, 1.448E+02, 0.000E+00, 4.944E+01, 0.000E+00, 1.651E+03, 0.000E+00, 0.000E+00, 0.000E+00, 2.143E+03
   13, 2.638E+00, 1.066E+02, 2.653E+01, 1.046E+02, 1.224E+02, 2.850E+00, 1.374E+02, 0.000E+00, 6.233E+01, 0.000E+00, 1.578E+03, 0.000E+00, 0.000E+00, 0.000E+00, 2.143E+03
   14, 3.849E+00, 1.205E+02, 2.931E+01, 1.111E+02, 1.316E+02, 3.186E+00, 1.411E+02, 0.000E+00, 6.931E+01, 0.000E+00, 1.533E+03, 0.000E+00, 0.000E+00, 0.000E+00, 2.143E+03
   15, 4.282E+00, 1.120E+02, 2.438E+01, 1.001E+02, 1.236E+02, 3.103E+00, 1.467E+02, 0.000E+00, 5.910E+01, 0.000E+00, 1.570E+03, 0.000E+00, 0.000E+00, 0.000E+00, 2.143E+03
