s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0000000E-003, 2.1625949E-003, 2.5385792E-003, 8.0062472E-001, 4.7255780E-004, 1.0000000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.0000000E-003, 6.1064310E-003, 7.1377917E-003, 1.9351917E+000, 3.9804156E-004, 1.0000000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.0000000E-003, 1.0737377E-002, 1.2525663E-002, 2.5051722E+000, 1.2053737E-004, 1.0000000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.0000000E-003, 1.5152381E-002, 1.7665008E-002, 2.5308075E+000, 9.1598887E-005, 1.0000000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0000000E-002, 1.9049696E-002, 2.2207931E-002, 2.3187668E+000, 1.4739611E-004, 1.0000000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2000000E-002, 2.2586392E-002, 2.6335548E-002, 2.1392933E+000, 9.4192839E-005, 1.0000000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.4000000E-002, 2.6046919E-002, 3.0375587E-002, 2.0946385E+000, 1.8008298E-005, 1.0000000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.6000000E-002, 2.9612242E-002, 3.4536726E-002, 2.1507700E+000, 2.6530078E-005, 1.0000000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.8000000E-002, 3.3309687E-002, 3.8850397E-002, 2.2301087E+000, 3.1144814E-005, 1.0000000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0000000E-002, 3.7077286E-002, 4.3245268E-002, 2.2799437E+000, 1.4620999E-005, 1.0000000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.2000000E-002, 4.0845909E-002, 4.7641570E-002, 2.2817721E+000, 9.7931170E-006, 2.2000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.4000000E-002, 4.4585773E-002, 5.2005172E-002, 2.2809402E+000, 1.0433423E-005, 1.0000000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.6000000E-002, 4.8297027E-002, 5.6336116E-002, 2.2683291E+000, 9.9990171E-006, 8.2900000E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.8000000E-002, 5.2006469E-002, 6.0665431E-002, 2.2670567E+000, 9.9439989E-006, 4.4000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.0000000E-002, 5.5714046E-002, 6.4993243E-002, 2.2659502E+000, 9.8737628E-006, 3.2000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.2000000E-002, 5.9419124E-002, 6.9318849E-002, 2.2648588E+000, 9.9619804E-006, 3.9000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.4000000E-002, 6.3121793E-002, 7.3641818E-002, 2.2638056E+000, 9.7650887E-006, 4.7000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.6000000E-002, 6.6823042E-002, 7.7963050E-002, 2.2630069E+000, 9.9799905E-006, 5.5000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.8000000E-002, 7.0523949E-002, 8.2284441E-002, 2.2627225E+000, 9.9785575E-006, 7.3000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.0000000E-002, 7.4226164E-002, 8.6608399E-002, 2.2635311E+000, 9.9928063E-006, 1.1500000E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.2000000E-002, 7.7933275E-002, 9.0938774E-002, 2.2668875E+000, 9.9881522E-006, 1.9800000E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.4000000E-002, 8.1645470E-002, 9.5275767E-002, 2.2707020E+000, 9.9982013E-006, 1.9900000E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.6000000E-002, 8.5360261E-002, 9.9616593E-002, 2.2727197E+000, 9.9823118E-006, 1.5300000E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.8000000E-002, 8.9076085E-002, 1.0395946E-001, 2.2736844E+000, 9.9975880E-006, 1.2400000E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0000000E-002, 9.2791960E-002, 1.0830332E-001, 2.2740067E+000, 9.9655928E-006, 1.0900000E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.2000000E-002, 9.6306820E-002, 1.1241174E-001, 2.2017204E+000, 4.3222824E-005, 1.0000000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.4000000E-002, 9.9646465E-002, 1.1631886E-001, 2.0914641E+000, 3.8908154E-005, 1.0000000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.6000000E-002, 1.0291269E-001, 1.2014280E-001, 2.0329964E+000, 1.2888941E-005, 1.0000000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.8000000E-002, 1.0618934E-001, 1.2397988E-001, 2.0316199E+000, 9.9970710E-006, 5.9000000E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.0000000E-002, 1.0951980E-001, 1.2788024E-001, 2.0514264E+000, 1.6468048E-005, 1.0000000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.2000000E-002, 1.1288933E-001, 1.3182686E-001, 2.0699352E+000, 1.1157605E-005, 1.0000000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.4000000E-002, 1.1625835E-001, 1.3577453E-001, 2.0697154E+000, 9.9953790E-006, 1.0700000E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.6000000E-002, 1.1962479E-001, 1.3972030E-001, 2.0683934E+000, 9.9703711E-006, 8.2000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.8000000E-002, 1.2298778E-001, 1.4366317E-001, 2.0664601E+000, 9.9516140E-006, 7.1000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.0000000E-002, 1.2634694E-001, 1.4760283E-001, 2.0641960E+000, 9.9254336E-006, 6.5000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.2000000E-002, 1.2970205E-001, 1.5153913E-001, 2.0617778E+000, 9.7032751E-006, 6.3000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.4000000E-002, 1.3305312E-001, 1.5547205E-001, 2.0593452E+000, 9.8986666E-006, 6.2000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.6000000E-002, 1.3640026E-001, 1.5940163E-001, 2.0570149E+000, 9.8324907E-006, 6.5000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.8000000E-002, 1.3974388E-001, 1.6332816E-001, 2.0549325E+000, 9.8347334E-006, 7.1000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.0000000E-002, 1.4308473E-001, 1.6725238E-001, 2.0532892E+000, 9.8539682E-006, 8.3000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.2000000E-002, 1.4642413E-001, 1.7117578E-001, 2.0524332E+000, 9.9868920E-006, 1.0700000E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.4000000E-002, 1.4976497E-001, 1.7510162E-001, 2.0532488E+000, 9.9903211E-006, 1.6900000E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.5797492E-002, 1.5277715E-001, 1.7864168E-001, 2.0612363E+000, 9.9942995E-006, 3.0500000E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.7594983E-002, 1.5579405E-001, 1.8218851E-001, 2.0644683E+000, 9.9895521E-006, 2.1800000E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.9392475E-002, 1.5881309E-001, 1.8573860E-001, 2.0661818E+000, 9.9823682E-006, 1.6500000E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.1189967E-002, 1.6183285E-001, 1.8929027E-001, 2.0669193E+000, 9.9982069E-006, 1.3700000E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.2987459E-002, 1.6485246E-001, 1.9284265E-001, 2.0670349E+000, 9.9633438E-006, 1.2300000E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.4784950E-002, 1.6787135E-001, 1.9639523E-001, 2.0667726E+000, 9.9675461E-006, 1.1500000E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.6383267E-002, 1.7055494E-001, 1.9955420E-001, 2.0664670E+000, 9.9769578E-006, 9.1000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.7981584E-002, 1.7323732E-001, 2.0271298E-001, 2.0659706E+000, 9.9844543E-006, 9.7000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.9579901E-002, 1.7591852E-001, 2.0587132E-001, 2.0654130E+000, 9.9325336E-006, 9.9000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0117822E-001, 1.7835515E-001, 2.0874337E-001, 1.9541466E+000, 5.2777755E-005, 1.0000000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0277654E-001, 1.8050060E-001, 2.1127885E-001, 1.7515178E+000, 6.4357478E-005, 1.0000000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0437485E-001, 1.8249332E-001, 2.1363977E-001, 1.6118508E+000, 2.9985406E-005, 1.0000000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0597317E-001, 1.8447034E-001, 2.1598421E-001, 1.5786315E+000, 9.9895625E-006, 1.9900000E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0757149E-001, 1.8652543E-001, 2.1841995E-001, 1.6118500E+000, 2.4190539E-005, 1.0000000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0900836E-001, 1.8841422E-001, 2.2065796E-001, 1.6569863E+000, 1.0053967E-005, 1.0000000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1044524E-001, 1.9029766E-001, 2.2288994E-001, 1.6518961E+000, 9.9009550E-006, 5.6000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1188212E-001, 1.9216234E-001, 2.2510231E-001, 1.6192400E+000, 9.9911488E-006, 1.0500000E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1331899E-001, 1.9414992E-001, 2.2746198E-001, 1.6699005E+000, 2.6864676E-005, 1.0000000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1475587E-001, 1.9610577E-001, 2.2978367E-001, 1.6937595E+000, 9.9950530E-006, 6.5600000E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1619275E-001, 1.9798297E-001, 2.3201249E-001, 1.6375956E+000, 1.8568888E-005, 1.0000000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1762962E-001, 1.9980464E-001, 2.3417979E-001, 1.5883180E+000, 1.2458124E-005, 1.0000000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1906650E-001, 2.0162282E-001, 2.3634394E-001, 1.5831818E+000, 9.5607343E-006, 4.1000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2050338E-001, 2.0359434E-001, 2.3868905E-001, 1.6568440E+000, 3.5422874E-005, 1.0000000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2194026E-001, 2.0555597E-001, 2.4102553E-001, 1.6919488E+000, 9.9869082E-006, 3.9500000E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2337713E-001, 2.0744660E-001, 2.4327047E-001, 1.6504605E+000, 1.5933799E-005, 1.0000000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2466835E-001, 2.0904115E-001, 2.4517152E-001, 1.5447602E+000, 2.0784440E-005, 1.0000000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2595957E-001, 2.1074079E-001, 2.4719734E-001, 1.5872965E+000, 2.2658687E-005, 1.0000000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2725079E-001, 2.1241543E-001, 2.4919408E-001, 1.6154354E+000, 9.9780520E-006, 5.6800000E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2854201E-001, 2.1417695E-001, 2.5128984E-001, 1.6531629E+000, 1.7990194E-005, 1.0000000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2983323E-001, 2.1586548E-001, 2.5330135E-001, 1.6436731E+000, 1.5842168E-005, 1.0000000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3112445E-001, 2.1761717E-001, 2.5538863E-001, 1.6525883E+000, 1.2152154E-005, 1.0000000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3241567E-001, 2.1928862E-001, 2.5738136E-001, 1.6343635E+000, 1.6530489E-005, 1.0000000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3370689E-001, 2.2103045E-001, 2.5945824E-001, 1.6464838E+000, 1.4459095E-005, 1.0000000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3499811E-001, 2.2270129E-001, 2.6145133E-001, 1.6349994E+000, 1.4032768E-005, 1.0000000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3628933E-001, 2.2429382E-001, 2.6335407E-001, 1.5631813E+000, 1.7873761E-005, 1.0000000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
