s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-6.6324745E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.6324745E-006, 0.0000000E+000, 0.0000000E+000
 2.0000001E-003, 0.0000000E+000,-2.9035771E-006,-3.0118484E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.0408842E-004, 0.0000000E+000, 0.0000000E+000
 4.0000002E-003, 0.0000000E+000,-1.8662873E-006,-6.0233994E-004, 5.1419804E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9827937E-006,-6.0420617E-004, 0.0000000E+000, 0.0000000E+000
 6.0000001E-003, 0.0000000E+000,-1.8662794E-006,-8.8487569E-004, 8.4225724E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1512920E-006,-8.8674189E-004, 0.0000000E+000, 0.0000000E+000
 8.0000004E-003, 0.0000000E+000,-1.1004960E-006,-1.1634747E-003, 1.1192607E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.3435829E-006,-1.1645751E-003, 0.0000000E+000, 0.0000000E+000
 9.9999998E-003, 0.0000000E+000,-1.1004894E-006,-1.4001317E-003, 1.3719000E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7792124E-006,-1.4012320E-003, 0.0000000E+000, 0.0000000E+000
 1.2000000E-002, 0.0000000E+000,-5.9568205E-007,-1.5507458E-003, 1.6520141E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0219144E-006,-1.5513413E-003, 0.0000000E+000, 0.0000000E+000
 1.4000000E-002, 0.0000000E+000,-5.9567568E-007,-1.6313098E-003, 1.8753966E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7415304E-006,-1.6319053E-003, 0.0000000E+000, 0.0000000E+000
 1.6000001E-002, 0.0000000E+000,-3.1741490E-007,-1.6631418E-003, 2.1267250E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9839090E-006,-1.6634590E-003, 0.0000000E+000, 0.0000000E+000
