s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-6.6324745E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.6324745E-006, 0.0000000E+000, 0.0000000E+000
 2.0000001E-003, 0.0000000E+000,-2.9035771E-006,-5.3501786E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9570788E-006, 0.0000000E+000, 0.0000000E+000
 4.0000002E-003, 0.0000000E+000,-1.8662850E-006,-3.9688679E-008, 5.2303883E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6024516E-006,-1.9059214E-006, 0.0000000E+000, 0.0000000E+000
 6.0000001E-003, 0.0000000E+000,-1.8662749E-006,-4.3524644E-008, 9.2027053E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7828782E-006,-1.9097075E-006, 0.0000000E+000, 0.0000000E+000
 8.0000004E-003, 0.0000000E+000,-1.1004890E-006,-3.4255885E-008, 1.3434309E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.0171683E-006,-1.1346105E-006, 0.0000000E+000, 0.0000000E+000
 9.9999998E-003, 0.0000000E+000,-1.1004799E-006,-3.8060955E-008, 1.6730211E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4725764E-006,-1.1383736E-006, 0.0000000E+000, 0.0000000E+000
 1.2000000E-002, 0.0000000E+000,-5.9567009E-007,-3.3238193E-008, 2.0297158E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7072535E-006,-6.2870531E-007, 0.0000000E+000, 0.0000000E+000
 1.4000000E-002, 0.0000000E+000,-5.9566120E-007,-3.7048421E-008, 2.3304104E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4288762E-006,-6.3247658E-007, 0.0000000E+000, 0.0000000E+000
 1.6000001E-002, 0.0000000E+000,-3.1739804E-007,-3.6100587E-008, 2.6585681E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6640432E-006,-3.5323278E-007, 0.0000000E+000, 0.0000000E+000
