s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-6.6324745E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.6324745E-006, 0.0000000E+000, 0.0000000E+000
 2.0000001E-003, 0.0000000E+000,-2.9035771E-006,-5.3475115E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9570522E-006, 0.0000000E+000, 0.0000000E+000
 4.0000002E-003, 0.0000000E+000,-1.8662850E-006,-3.9658354E-008, 5.2078722E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6013957E-006,-1.9058913E-006, 0.0000000E+000, 0.0000000E+000
 6.0000001E-003, 0.0000000E+000,-1.8662749E-006,-4.3506967E-008, 9.1639258E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7814054E-006,-1.9096902E-006, 0.0000000E+000, 0.0000000E+000
 8.0000004E-003, 0.0000000E+000,-1.1004890E-006,-3.4251612E-008, 1.3391877E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.0164064E-006,-1.1346067E-006, 0.0000000E+000, 0.0000000E+000
 9.9999998E-003, 0.0000000E+000,-1.1004799E-006,-3.8063180E-008, 1.6691675E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4725503E-006,-1.1383762E-006, 0.0000000E+000, 0.0000000E+000
 1.2000000E-002, 0.0000000E+000,-5.9567010E-007,-3.3240671E-008, 2.0263289E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7075357E-006,-6.2870814E-007, 0.0000000E+000, 0.0000000E+000
 1.4000000E-002, 0.0000000E+000,-5.9566121E-007,-3.7048739E-008, 2.3272308E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4291077E-006,-6.3247723E-007, 0.0000000E+000, 0.0000000E+000
 1.6000001E-002, 0.0000000E+000,-3.1739805E-007,-3.6099285E-008, 2.6553508E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6641045E-006,-3.5323180E-007, 0.0000000E+000, 0.0000000E+000
