s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 4.8000000E+001, 0.0000000E+000,-4.8571730E-006, 6.6030217E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.8571070E-006, 0.0000000E+000, 0.0000000E+000
 4.8028866E+001, 0.0000000E+000, 4.5452394E-005, 1.6786901E-004, 1.4977258E-003, 8.8905871E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7199378E-003, 4.9973719E-006, 4.9973719E-006
 4.8057735E+001, 1.0219876E-001, 4.5354765E-005, 2.4805639E-003, 3.0806411E-003, 3.0788269E-005, 0.0000000E+000, 0.0000000E+000, 1.7947771E-003, 1.0783611E-001, 2.1815365E-005, 2.1815365E-005
 4.8086601E+001, 5.0018807E-001,-3.8044487E-003, 9.1459404E-003, 1.3286291E-003, 6.9306608E-005, 0.0000000E+000, 0.0000000E+000, 1.0807792E-001, 5.0692750E-001, 2.1433586E-005, 2.1433586E-005
 4.8115471E+001, 6.9882474E-001,-1.6433606E-002, 1.2205592E-002,-8.6941559E-003, 2.6686852E-004, 0.0000000E+000, 0.0000000E+000, 5.0592943E-001, 6.8616944E-001, 2.7951745E-005, 2.7951745E-005
 4.8144337E+001, 9.2716869E-001,-6.8763186E-002, 1.4786863E-002,-3.2070567E-002, 3.8403210E-004, 0.0000000E+000, 0.0000000E+000, 6.8284883E-001, 8.4150583E-001, 3.7122118E-005, 3.7122118E-005
 4.8173206E+001, 1.2204610E+000,-2.7678093E-001, 1.5337676E-002,-7.4224216E-002, 5.0695600E-004, 0.0000000E+000, 0.0000000E+000, 8.3427092E-001, 8.8530049E-001, 4.6657694E-005, 4.6657694E-005
 4.8195854E+001, 1.5795197E+000,-7.6246451E-001, 1.2548344E-002,-1.1844466E-001, 5.7502371E-004, 0.0000000E+000, 0.0000000E+000, 8.7938419E-001, 7.1173390E-001, 5.2142136E-005, 5.2142136E-005
 4.8218506E+001, 1.8137561E+000,-1.2696163E+000, 7.7785716E-003,-1.5562067E-001, 4.8858954E-004, 0.0000000E+000, 0.0000000E+000, 7.0938601E-001, 3.9678631E-001, 5.2036339E-005, 5.2036339E-005
 4.8241154E+001, 1.9674745E+000,-1.3689453E+000, 8.0921943E-003,-1.7259387E-001, 3.1319030E-004, 0.0000000E+000, 0.0000000E+000, 3.9869477E-001, 4.3434070E-001, 5.0788609E-005, 5.0788609E-005
 4.8266071E+001, 2.4731560E-001,-2.3296933E-001,-7.3363632E-004,-1.9792335E-001, 3.7856912E-004, 0.0000000E+000, 0.0000000E+000, 4.2991213E-001,-1.8393215E-001, 5.0277063E-005, 5.0277063E-005
 4.8284267E+001, 2.5694702E-001,-1.5222798E-001, 1.0898121E-004,-1.7202168E-001, 1.8628252E-004, 0.0000000E+000, 0.0000000E+000,-1.7858481E-001,-6.7007371E-002, 2.1036331E-005, 2.1036331E-005
 4.8302464E+001, 3.9867365E-001,-1.5461472E-001, 1.8654291E-003,-1.5865588E-001, 9.2117350E-005, 0.0000000E+000, 0.0000000E+000,-6.6836602E-002, 8.7360593E-002, 8.3005110E-006, 8.3005110E-006
 4.8322479E+001, 3.9460387E-001,-1.6505464E-001, 1.8873720E-003,-1.5717246E-001, 1.7806873E-004, 0.0000000E+000, 0.0000000E+000, 8.4185736E-002, 7.4442207E-002, 1.3337684E-005, 1.3337684E-005
 4.8344494E+001, 4.3011709E-001,-1.3375103E-001, 3.0487783E-003,-1.5240069E-001, 2.0346299E-004, 0.0000000E+000, 0.0000000E+000, 7.1865766E-002, 1.4721762E-001, 1.6137407E-005, 1.6137407E-005
 4.8366512E+001, 4.8997508E-001,-1.9188752E-001, 3.1720089E-003,-1.5185083E-001, 2.1296474E-004, 0.0000000E+000, 0.0000000E+000, 1.4345408E-001, 1.4962171E-001, 1.5741341E-005, 1.5741341E-005
 4.8383968E+001, 5.3999469E-001,-1.9786417E-001, 3.9797205E-003,-1.4901904E-001, 2.4144676E-004, 0.0000000E+000, 0.0000000E+000, 1.4689356E-001, 1.9733265E-001, 1.6907144E-005, 1.6907144E-005
 4.8401421E+001, 5.7996243E-001,-1.9488183E-001, 4.7435642E-003,-1.4769779E-001, 2.7276783E-004, 0.0000000E+000, 0.0000000E+000, 1.9435745E-001, 2.4239914E-001, 1.8274434E-005, 1.8274434E-005
 4.8418877E+001, 6.8730907E-001,-2.2627940E-001, 5.9716440E-003,-1.4688860E-001, 3.0462570E-004, 0.0000000E+000, 0.0000000E+000, 2.3815946E-001, 3.2041734E-001, 1.9157170E-005, 1.9157170E-005
