Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,EVAC,HVAC,GEOM,Total T_USED (s)
    0, 1.247E+00, 2.117E+01, 7.165E+00, 7.209E+00, 1.287E+03, 4.392E+00, 2.362E+00, 1.517E-01, 5.325E+00, 4.005E-01, 1.126E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.348E+03
    1, 1.327E+00, 2.339E+01, 8.108E+00, 9.436E+00, 1.287E+03, 7.650E+00, 1.527E+00, 1.242E-01, 5.698E+00, 1.378E+00, 1.889E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.348E+03
    2, 1.244E+00, 2.050E+01, 7.209E+00, 7.065E+00, 1.287E+03, 4.617E+00, 2.175E+00, 8.764E-02, 5.202E+00, 3.541E-01, 1.223E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.348E+03
    3, 1.246E+00, 2.005E+01, 6.593E+00, 6.654E+00, 1.287E+03, 4.133E+00, 2.296E+00, 8.963E-02, 5.039E+00, 2.718E-01, 1.442E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.348E+03
    4, 1.233E+00, 2.030E+01, 6.923E+00, 6.405E+00, 1.287E+03, 3.809E+00, 2.418E+00, 8.169E-02, 4.990E+00, 2.603E-01, 1.437E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.348E+03
    5, 1.242E+00, 2.175E+01, 7.005E+00, 7.304E+00, 1.287E+03, 4.426E+00, 2.168E+00, 8.934E-02, 5.333E+00, 1.232E+00, 1.017E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.348E+03
    6, 1.203E+00, 2.026E+01, 7.396E+00, 6.702E+00, 1.287E+03, 4.261E+00, 2.325E+00, 8.084E-02, 5.229E+00, 2.368E+00, 1.086E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.348E+03
    7, 1.208E+00, 2.031E+01, 6.765E+00, 6.691E+00, 1.287E+03, 4.145E+00, 2.323E+00, 8.687E-02, 5.296E+00, 1.232E+00, 1.267E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.348E+03
    8, 1.197E+00, 2.032E+01, 7.196E+00, 6.622E+00, 1.287E+03, 4.188E+00, 2.313E+00, 8.732E-02, 5.220E+00, 7.401E-01, 1.283E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.348E+03
    9, 1.218E+00, 2.071E+01, 6.703E+00, 6.432E+00, 1.287E+03, 3.781E+00, 2.435E+00, 8.244E-02, 4.926E+00, 3.116E-01, 1.432E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.348E+03
