s,status
Time,"MY PID"
 4.8000000E+001,-1
 4.8028866E+001,-1
 4.8057735E+001,-1
 4.8086601E+001,-1
 4.8115471E+001,-1
 4.8144337E+001,-1
 4.8173206E+001,-1
 4.8195675E+001,-1
 4.8218147E+001,-1
 4.8240620E+001,-1
 4.8265335E+001,-1
 4.8283760E+001,-1
 4.8302181E+001,-1
 4.8322445E+001,-1
 4.8344734E+001,-1
 4.8367027E+001,-1
 4.8384270E+001,-1
 4.8399334E+001,-1
 4.8412804E+001,-1
 4.8424862E+001,-1
 4.8436920E+001,-1
 4.8447216E+001,-1
 4.8457508E+001,-1
 4.8466694E+001,-1
 4.8475880E+001,-1
 4.8485065E+001,-1
 4.8494251E+001,-1
 4.8503437E+001,-1
 4.8511517E+001,-1
 4.8519592E+001,-1
 4.8527668E+001,-1
 4.8535744E+001,-1
 4.8543823E+001,-1
 4.8551899E+001,-1
 4.8559975E+001,-1
 4.8567207E+001,-1
 4.8574436E+001,-1
 4.8581669E+001,-1
 4.8588898E+001,-1
 4.8596130E+001,-1
 4.8603363E+001,-1
 4.8610592E+001,-1
 4.8617825E+001,-1
 4.8624172E+001,-1
 4.8630520E+001,-1
 4.8636868E+001,-1
 4.8643215E+001,-1
 4.8648823E+001,-1
 4.8654430E+001,-1
 4.8660042E+001,-1
 4.8665649E+001,-1
 4.8671257E+001,-1
 4.8676865E+001,-1
 4.8682476E+001,-1
 4.8688084E+001,-1
 4.8693691E+001,-1
 4.8699299E+001,-1
 4.8704906E+001,-1
 4.8710518E+001,-1
 4.8716125E+001,-1
 4.8721012E+001,-1
 4.8725899E+001,-1
 4.8730785E+001,-1
 4.8735668E+001,-1
 4.8740555E+001,-1
 4.8745441E+001,-1
 4.8750328E+001,-1
 4.8754658E+001,-1
 4.8758987E+001,-1
 4.8763317E+001,-1
 4.8767200E+001,-1
 4.8771080E+001,-1
 4.8774963E+001,-1
 4.8778847E+001,-1
 4.8782730E+001,-1
 4.8786137E+001,-1
 4.8789543E+001,-1
 4.8792953E+001,-1
 4.8796360E+001,-1
 4.8799767E+001,-1
 4.8802830E+001,-1
 4.8805893E+001,-1
 4.8808952E+001,-1
 4.8812016E+001,-1
 4.8815079E+001,-1
 4.8818142E+001,-1
 4.8821201E+001,-1
 4.8824265E+001,-1
 4.8827328E+001,-1
 4.8830391E+001,-1
 4.8833450E+001,-1
 4.8836514E+001,-1
 4.8839252E+001,-1
 4.8841991E+001,-1
 4.8844730E+001,-1
 4.8847466E+001,-1
 4.8850204E+001,-1
 4.8852943E+001,-1
 4.8855682E+001,-1
 4.8858143E+001,-1
 4.8860607E+001,-1
 4.8863068E+001,-1
 4.8865532E+001,-1
 4.8867992E+001,-1
 4.8870457E+001,-1
 4.8872917E+001,-1
 4.8875381E+001,-1
 4.8877548E+001,-1
 4.8879719E+001,-1
 4.8881886E+001,-1
 4.8884056E+001,-1
 4.8886223E+001,-1
 4.8888390E+001,-1
 4.8890560E+001,-1
 4.8892727E+001,-1
 4.8894897E+001,-1
 4.8896847E+001,-1
 4.8898800E+001,-1
 4.8900749E+001,-1
 4.8902702E+001,-1
 4.8904652E+001,-1
 4.8906605E+001,-1
 4.8908554E+001,-1
 4.8910507E+001,-1
 4.8912457E+001,-1
 4.8914410E+001,-1
 4.8916359E+001,-1
 4.8918312E+001,-1
 4.8920261E+001,-1
 4.8922211E+001,-1
 4.8924164E+001,-1
 4.8926113E+001,-1
 4.8928066E+001,-1
 4.8930016E+001,-1
 4.8931969E+001,-1
 4.8933918E+001,-1
 4.8935871E+001,-1
 4.8937820E+001,-1
 4.8939774E+001,-1
 4.8941723E+001,-1
 4.8943676E+001,-1
 4.8945625E+001,-1
 4.8947578E+001,-1
 4.8949528E+001,-1
 4.8951481E+001,-1
 4.8953430E+001,-1
 4.8955383E+001,-1
 4.8957333E+001,-1
 4.8959286E+001,-1
 4.8961235E+001,-1
 4.8963188E+001,-1
 4.8965137E+001,-1
 4.8967091E+001,-1
 4.8969040E+001,-1
 4.8970989E+001,-1
 4.8972942E+001,-1
 4.8974892E+001,-1
 4.8976845E+001,-1
 4.8978794E+001,-1
 4.8980747E+001,-1
 4.8982697E+001,-1
 4.8984650E+001,-1
 4.8986599E+001,-1
 4.8988552E+001,-1
 4.8990501E+001,-1
 4.8992649E+001,-1
 4.8994797E+001,-1
 4.8996941E+001,-1
 4.8999088E+001,-1
 4.9001232E+001,-1
 4.9003380E+001,-1
 4.9005527E+001,-1
 4.9007671E+001,-1
 4.9009819E+001,-1
 4.9011967E+001,-1
 4.9014111E+001,-1
 4.9016258E+001,-1
 4.9018402E+001,-1
 4.9020550E+001,-1
 4.9022697E+001,-1
 4.9024841E+001,-1
 4.9026989E+001,-1
 4.9029137E+001,-1
 4.9031281E+001,-1
 4.9033428E+001,-1
 4.9035576E+001,-1
 4.9037720E+001,-1
 4.9039867E+001,-1
 4.9042011E+001,-1
 4.9044159E+001,-1
 4.9046307E+001,-1
 4.9048450E+001,-1
 4.9050598E+001,-1
 4.9052746E+001,-1
 4.9054890E+001,-1
 4.9057037E+001,-1
 4.9059181E+001,-1
 4.9061329E+001,-1
 4.9063477E+001,-1
 4.9065620E+001,-1
 4.9067768E+001,-1
 4.9069916E+001,-1
 4.9072060E+001,-1
 4.9074207E+001,-1
 4.9076351E+001,-1
 4.9078499E+001,-1
 4.9080647E+001,-1
 4.9082790E+001,-1
 4.9084938E+001,-1
 4.9087086E+001,-1
 4.9089230E+001,-1
 4.9091377E+001,-1
 4.9093521E+001,-1
 4.9095669E+001,-1
 4.9097816E+001,-1
 4.9099960E+001,-1
 4.9102108E+001,-1
 4.9104256E+001,-1
 4.9106400E+001,-1
 4.9108547E+001,-1
 4.9110695E+001,-1
 4.9112839E+001,-1
 4.9114986E+001,-1
 4.9116886E+001,-1
 4.9118782E+001,-1
 4.9120682E+001,-1
 4.9122581E+001,-1
 4.9124481E+001,-1
 4.9126381E+001,-1
 4.9128277E+001,-1
 4.9130177E+001,-1
 4.9132076E+001,-1
 4.9133976E+001,-1
 4.9135872E+001,-1
 4.9137772E+001,-1
 4.9139671E+001,-1
 4.9141571E+001,-1
 4.9143471E+001,-1
 4.9145367E+001,-1
 4.9147266E+001,-1
 4.9149166E+001,-1
 4.9151066E+001,-1
 4.9152966E+001,-1
 4.9154861E+001,-1
 4.9156761E+001,-1
 4.9158661E+001,-1
 4.9160561E+001,-1
 4.9162460E+001,-1
 4.9164356E+001,-1
 4.9166256E+001,-1
 4.9168156E+001,-1
 4.9170055E+001,-1
 4.9171951E+001,-1
 4.9173851E+001,-1
 4.9175751E+001,-1
 4.9177650E+001,-1
 4.9179550E+001,-1
 4.9181446E+001,-1
