,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2020-03-04T01:05:02.369+01:00,   0.289E-01,  48.02887
      2,2020-03-04T01:05:04.110+01:00,   0.289E-01,  48.05774
      3,2020-03-04T01:05:05.781+01:00,   0.289E-01,  48.08660
      4,2020-03-04T01:05:07.522+01:00,   0.289E-01,  48.11547
      5,2020-03-04T01:05:09.208+01:00,   0.289E-01,  48.14434
      6,2020-03-04T01:05:11.058+01:00,   0.289E-01,  48.17321
      7,2020-03-04T01:05:13.570+01:00,   0.225E-01,  48.19568
      8,2020-03-04T01:05:15.280+01:00,   0.225E-01,  48.21815
      9,2020-03-04T01:05:17.033+01:00,   0.225E-01,  48.24062
     10,2020-03-04T01:05:18.817+01:00,   0.247E-01,  48.26534
     20,2020-03-04T01:05:40.504+01:00,   0.121E-01,  48.43692
     30,2020-03-04T01:06:00.862+01:00,   0.808E-02,  48.52767
     40,2020-03-04T01:06:20.233+01:00,   0.723E-02,  48.60336
     50,2020-03-04T01:06:40.605+01:00,   0.561E-02,  48.66565
     60,2020-03-04T01:07:00.071+01:00,   0.489E-02,  48.72101
     70,2020-03-04T01:07:20.737+01:00,   0.388E-02,  48.76720
     80,2020-03-04T01:07:41.364+01:00,   0.306E-02,  48.80283
     90,2020-03-04T01:08:00.557+01:00,   0.306E-02,  48.83345
    100,2020-03-04T01:08:21.419+01:00,   0.246E-02,  48.86061
    200,2020-03-04T01:11:35.283+01:00,   0.215E-02,  49.06777
    300,2020-03-04T01:14:51.056+01:00,   0.166E-02,  49.25608
    400,2020-03-04T01:18:06.946+01:00,   0.192E-02,  49.44186
    500,2020-03-04T01:21:23.154+01:00,   0.203E-02,  49.64018
    600,2020-03-04T01:24:39.213+01:00,   0.195E-02,  49.83561
    700,2020-03-04T01:27:54.364+01:00,   0.195E-02,  50.03079
    800,2020-03-04T01:31:21.257+01:00,   0.564E-03,  50.13463
    900,2020-03-04T01:34:42.814+01:00,   0.110E-02,  50.21966
   1000,2020-03-04T01:38:01.428+01:00,   0.110E-02,  50.32956
   1100,2020-03-04T01:41:19.715+01:00,   0.110E-02,  50.43947
   1200,2020-03-04T01:44:37.640+01:00,   0.110E-02,  50.54937
   1300,2020-03-04T01:47:55.637+01:00,   0.110E-02,  50.65927
   1400,2020-03-04T01:51:13.129+01:00,   0.110E-02,  50.76918
   1500,2020-03-04T01:54:30.497+01:00,   0.110E-02,  50.87908
   1600,2020-03-04T01:57:48.543+01:00,   0.110E-02,  50.98898
   1700,2020-03-04T02:01:06.655+01:00,   0.110E-02,  51.09889
   1800,2020-03-04T02:04:24.818+01:00,   0.110E-02,  51.20879
   1900,2020-03-04T02:07:43.652+01:00,   0.110E-02,  51.31870
   2000,2020-03-04T02:11:01.516+01:00,   0.110E-02,  51.42860
   2100,2020-03-04T02:14:38.070+01:00,   0.701E-03,  51.50666
   2200,2020-03-04T02:18:08.735+01:00,   0.654E-03,  51.59905
   2300,2020-03-04T02:21:59.736+01:00,   0.464E-03,  51.66397
   2400,2020-03-04T02:25:44.285+01:00,   0.516E-03,  51.73270
   2500,2020-03-04T02:29:32.404+01:00,   0.727E-03,  51.79770
   2600,2020-03-04T02:33:21.574+01:00,   0.817E-03,  51.87109
   2700,2020-03-04T02:37:08.142+01:00,   0.377E-03,  51.93229
   2800,2020-03-04T02:40:57.354+01:00,   0.752E-03,  51.99515
   2900,2020-03-04T02:44:49.432+01:00,   0.342E-03,  52.05041
   3000,2020-03-04T02:48:36.168+01:00,   0.674E-03,  52.11147
   3100,2020-03-04T02:52:20.229+01:00,   0.694E-03,  52.18767
   3200,2020-03-04T02:56:06.387+01:00,   0.418E-03,  52.25607
   3300,2020-03-04T02:59:55.465+01:00,   0.770E-03,  52.32346
   3400,2020-03-04T03:03:35.987+01:00,   0.686E-03,  52.39723
   3500,2020-03-04T03:07:20.189+01:00,   0.880E-03,  52.47122
   3600,2020-03-04T03:11:08.705+01:00,   0.602E-03,  52.53618
   3700,2020-03-04T03:14:54.117+01:00,   0.908E-03,  52.60613
   3800,2020-03-04T03:18:35.644+01:00,   0.671E-03,  52.67730
   3900,2020-03-04T03:22:16.699+01:00,   0.653E-03,  52.74826
   4000,2020-03-04T03:25:59.669+01:00,   0.760E-03,  52.81199
   4100,2020-03-04T03:29:46.178+01:00,   0.504E-03,  52.87220
   4200,2020-03-04T03:33:30.933+01:00,   0.624E-03,  52.93508
   4300,2020-03-04T03:37:17.605+01:00,   0.548E-03,  52.99097
   4400,2020-03-04T03:41:05.289+01:00,   0.699E-03,  53.05078
   4500,2020-03-04T03:44:58.335+01:00,   0.587E-03,  53.11105
   4600,2020-03-04T03:48:42.029+01:00,   0.554E-03,  53.17219
   4700,2020-03-04T03:52:31.254+01:00,   0.591E-03,  53.23010
   4800,2020-03-04T03:56:17.040+01:00,   0.551E-03,  53.28891
   4900,2020-03-04T04:00:05.591+01:00,   0.449E-03,  53.34476
   5000,2020-03-04T04:03:53.215+01:00,   0.684E-03,  53.40002
   5100,2020-03-04T04:07:40.338+01:00,   0.509E-03,  53.45437
   5200,2020-03-04T04:11:24.799+01:00,   0.717E-03,  53.51197
   5300,2020-03-04T04:15:11.173+01:00,   0.571E-03,  53.57078
   5400,2020-03-04T04:18:56.825+01:00,   0.543E-03,  53.62880
   5500,2020-03-04T04:22:41.324+01:00,   0.753E-03,  53.68917
   5600,2020-03-04T04:26:31.677+01:00,   0.575E-03,  53.74598
   5700,2020-03-04T04:30:14.973+01:00,   0.608E-03,  53.80494
   5800,2020-03-04T04:33:58.559+01:00,   0.718E-03,  53.86345
   5900,2020-03-04T04:37:49.767+01:00,   0.615E-03,  53.92456
   6000,2020-03-04T04:41:30.994+01:00,   0.646E-03,  53.98307
   6100,2020-03-04T04:45:17.658+01:00,   0.490E-03,  54.03989
   6200,2020-03-04T04:49:03.944+01:00,   0.561E-03,  54.09598
   6300,2020-03-04T04:52:47.919+01:00,   0.527E-03,  54.15303
   6400,2020-03-04T04:56:32.877+01:00,   0.620E-03,  54.20897
   6500,2020-03-04T05:00:18.964+01:00,   0.691E-03,  54.26497
   6600,2020-03-04T05:04:07.954+01:00,   0.592E-03,  54.32021
