Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,EVAC,HVAC,GEOM,Total T_USED (s)
    0, 1.225E+00, 2.125E+01, 7.092E+00, 7.050E+00, 9.467E+02, 4.307E+00, 2.402E+00, 8.729E-02, 5.155E+00, 3.972E-01, 1.120E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.007E+03
    1, 1.339E+00, 2.302E+01, 8.469E+00, 9.405E+00, 9.469E+02, 7.481E+00, 1.612E+00, 1.191E-01, 5.672E+00, 1.339E+00, 1.593E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.007E+03
    2, 1.192E+00, 2.057E+01, 7.078E+00, 6.951E+00, 9.467E+02, 4.550E+00, 2.155E+00, 8.395E-02, 5.083E+00, 3.538E-01, 1.216E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.007E+03
    3, 1.255E+00, 1.973E+01, 6.576E+00, 6.604E+00, 9.466E+02, 4.099E+00, 2.310E+00, 8.763E-02, 4.947E+00, 2.818E-01, 1.443E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.007E+03
    4, 1.205E+00, 1.978E+01, 6.786E+00, 6.376E+00, 9.466E+02, 3.709E+00, 2.410E+00, 7.701E-02, 4.906E+00, 2.526E-01, 1.485E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.007E+03
    5, 1.190E+00, 2.157E+01, 7.229E+00, 7.224E+00, 9.467E+02, 4.360E+00, 2.155E+00, 8.993E-02, 5.142E+00, 1.179E+00, 1.008E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.007E+03
    6, 1.173E+00, 1.996E+01, 7.291E+00, 6.597E+00, 9.467E+02, 4.153E+00, 2.313E+00, 7.862E-02, 5.240E+00, 2.333E+00, 1.104E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.007E+03
    7, 1.179E+00, 2.004E+01, 6.865E+00, 6.670E+00, 9.466E+02, 4.127E+00, 2.285E+00, 8.304E-02, 5.139E+00, 1.207E+00, 1.268E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.007E+03
    8, 1.165E+00, 2.023E+01, 7.044E+00, 6.527E+00, 9.467E+02, 4.106E+00, 2.321E+00, 7.982E-02, 4.996E+00, 7.316E-01, 1.301E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.007E+03
    9, 1.174E+00, 2.062E+01, 6.834E+00, 6.436E+00, 9.466E+02, 3.800E+00, 2.399E+00, 8.462E-02, 5.089E+00, 3.207E-01, 1.357E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.007E+03
