s,kW,
Time,"MY NET HF","TOTAL ENERGY ABORBED"
 4.8000000E+001, 0.0000000E+000, 0.0000000E+000
 4.8028868E+001, 0.0000000E+000, 0.0000000E+000
 4.8057735E+001, 0.0000000E+000, 0.0000000E+000
 4.8086603E+001, 0.0000000E+000, 0.0000000E+000
 4.8115470E+001, 0.0000000E+000, 0.0000000E+000
 4.8144338E+001, 0.0000000E+000, 0.0000000E+000
 4.8173205E+001, 0.0000000E+000, 0.0000000E+000
 4.8195676E+001, 0.0000000E+000, 0.0000000E+000
 4.8218147E+001, 0.0000000E+000, 0.0000000E+000
 4.8240619E+001, 0.0000000E+000, 0.0000000E+000
 4.8265337E+001, 0.0000000E+000, 0.0000000E+000
 4.8283759E+001, 0.0000000E+000, 0.0000000E+000
 4.8302181E+001, 0.0000000E+000, 0.0000000E+000
 4.8322445E+001, 0.0000000E+000, 0.0000000E+000
 4.8344735E+001, 0.0000000E+000, 0.0000000E+000
 4.8367026E+001, 0.0000000E+000, 0.0000000E+000
 4.8384268E+001, 0.0000000E+000, 0.0000000E+000
 4.8399334E+001, 0.0000000E+000, 0.0000000E+000
 4.8412805E+001, 0.0000000E+000, 0.0000000E+000
 4.8424863E+001, 0.0000000E+000, 0.0000000E+000
 4.8436920E+001, 0.0000000E+000, 0.0000000E+000
 4.8447215E+001, 0.0000000E+000, 0.0000000E+000
 4.8457510E+001, 0.0000000E+000, 0.0000000E+000
 4.8466696E+001, 0.0000000E+000, 0.0000000E+000
 4.8485067E+001, 0.0000000E+000, 0.0000000E+000
 4.8503438E+001, 0.0000000E+000, 0.0000000E+000
 4.8527668E+001, 0.0000000E+000, 0.0000000E+000
 4.8543821E+001, 0.0000000E+000, 0.0000000E+000
 4.8567206E+001, 0.0000000E+000, 0.0000000E+000
 4.8581668E+001, 0.0000000E+000, 0.0000000E+000
 4.8603361E+001, 0.0000000E+000, 0.0000000E+000
 4.8624171E+001, 0.0000000E+000, 0.0000000E+000
 4.8643215E+001, 0.0000000E+000, 0.0000000E+000
 4.8660041E+001, 0.0000000E+000, 0.0000000E+000
 4.8682474E+001, 0.0000000E+000, 0.0000000E+000
 4.8704908E+001, 0.0000000E+000, 0.0000000E+000
 4.8721011E+001, 0.0000000E+000, 0.0000000E+000
 4.8740556E+001, 0.0000000E+000, 0.0000000E+000
 4.8763317E+001, 0.0000000E+000, 0.0000000E+000
 4.8782729E+001, 0.0000000E+000, 0.0000000E+000
 4.8802830E+001, 0.0000000E+000, 0.0000000E+000
 4.8821203E+001, 0.0000000E+000, 0.0000000E+000
 4.8841991E+001, 0.0000000E+000, 0.0000000E+000
 4.8860607E+001, 0.0000000E+000, 0.0000000E+000
 4.8881886E+001, 0.0000000E+000, 0.0000000E+000
 4.8900750E+001, 0.0000000E+000, 0.0000000E+000
 4.8920261E+001, 0.0000000E+000, 0.0000000E+000
 4.8941724E+001, 0.0000000E+000, 0.0000000E+000
 4.8961235E+001, 0.0000000E+000, 0.0000000E+000
 4.8980747E+001, 0.0000000E+000, 0.0000000E+000
 4.9001234E+001, 0.0000000E+000, 0.0000000E+000
 4.9020550E+001, 0.0000000E+000, 0.0000000E+000
 4.9042013E+001, 0.0000000E+000, 0.0000000E+000
 4.9061329E+001, 0.0000000E+000, 0.0000000E+000
 4.9080645E+001, 0.0000000E+000, 0.0000000E+000
 4.9102108E+001, 0.0000000E+000, 0.0000000E+000
 4.9120682E+001, 0.0000000E+000, 0.0000000E+000
 4.9141570E+001, 0.0000000E+000, 0.0000000E+000
 4.9160560E+001, 0.0000000E+000, 0.0000000E+000
 4.9181448E+001, 0.0000000E+000, 0.0000000E+000
 4.9200437E+001, 0.0000000E+000, 0.0000000E+000
 4.9221287E+001, 0.0000000E+000, 0.0000000E+000
 4.9241168E+001, 0.0000000E+000, 0.0000000E+000
 4.9261049E+001, 0.0000000E+000, 0.0000000E+000
 4.9280019E+001, 0.0000000E+000, 0.0000000E+000
 4.9300066E+001, 0.0000000E+000, 0.0000000E+000
 4.9320113E+001, 0.0000000E+000, 0.0000000E+000
 4.9340557E+001, 0.0000000E+000, 0.0000000E+000
 4.9360083E+001, 0.0000000E+000, 0.0000000E+000
 4.9380673E+001, 0.0000000E+000, 0.0000000E+000
 4.9401330E+001, 0.0000000E+000, 0.0000000E+000
 4.9420549E+001, 0.0000000E+000, 0.0000000E+000
 4.9441864E+001, 0.0000000E+000, 0.0000000E+000
 4.9461083E+001, 0.0000000E+000, 0.0000000E+000
 4.9480110E+001, 0.0000000E+000, 0.0000000E+000
 4.9501251E+001, 0.0000000E+000, 0.0000000E+000
 4.9520278E+001, 0.0000000E+000, 0.0000000E+000
 4.9541419E+001, 0.0000000E+000, 0.0000000E+000
 4.9560445E+001, 0.0000000E+000, 0.0000000E+000
 4.9581586E+001, 0.0000000E+000, 0.0000000E+000
 4.9600127E+001, 0.0000000E+000, 0.0000000E+000
 4.9620229E+001, 0.0000000E+000, 0.0000000E+000
 4.9640180E+001, 0.0000000E+000, 0.0000000E+000
 4.9660449E+001, 0.0000000E+000, 0.0000000E+000
 4.9680920E+001, 0.0000000E+000, 0.0000000E+000
 4.9700729E+001, 0.0000000E+000, 0.0000000E+000
 4.9720451E+001, 0.0000000E+000, 0.0000000E+000
 4.9741750E+001, 0.0000000E+000, 0.0000000E+000
 4.9761268E+001, 0.0000000E+000, 0.0000000E+000
 4.9780963E+001, 0.0000000E+000, 0.0000000E+000
 4.9800481E+001, 0.0000000E+000, 0.0000000E+000
 4.9821951E+001, 0.0000000E+000, 0.0000000E+000
 4.9841469E+001, 0.0000000E+000, 0.0000000E+000
 4.9860987E+001, 0.0000000E+000, 0.0000000E+000
 4.9880504E+001, 0.0000000E+000, 0.0000000E+000
 4.9900022E+001, 0.0000000E+000, 0.0000000E+000
 4.9921492E+001, 0.0000000E+000, 0.0000000E+000
 4.9941010E+001, 0.0000000E+000, 0.0000000E+000
 4.9960528E+001, 0.0000000E+000, 0.0000000E+000
 4.9980045E+001, 0.0000000E+000, 0.0000000E+000
 5.0001515E+001, 0.0000000E+000, 0.0000000E+000
 5.0021033E+001, 0.0000000E+000, 0.0000000E+000
 5.0040551E+001, 0.0000000E+000, 0.0000000E+000
 5.0060237E+001, 0.0000000E+000, 0.0000000E+000
 5.0080984E+001, 0.0000000E+000, 0.0000000E+000
 5.0100002E+001, 0.0000000E+000, 0.0000000E+000
 5.0120529E+001, 0.0000000E+000, 0.0000000E+000
 5.0140268E+001, 0.0000000E+000, 0.0000000E+000
 5.0160088E+001, 0.0000000E+000, 0.0000000E+000
 5.0180293E+001, 0.0000000E+000, 0.0000000E+000
 5.0200975E+001, 0.0000000E+000, 0.0000000E+000
 5.0220758E+001, 0.0000000E+000, 0.0000000E+000
 5.0240540E+001, 0.0000000E+000, 0.0000000E+000
 5.0260323E+001, 0.0000000E+000, 0.0000000E+000
 5.0280106E+001, 0.0000000E+000, 0.0000000E+000
 5.0300988E+001, 0.0000000E+000, 0.0000000E+000
 5.0320770E+001, 0.0000000E+000, 0.0000000E+000
 5.0340553E+001, 0.0000000E+000, 0.0000000E+000
 5.0360336E+001, 0.0000000E+000, 0.0000000E+000
 5.0380118E+001, 0.0000000E+000, 0.0000000E+000
 5.0401000E+001, 0.0000000E+000, 0.0000000E+000
 5.0420783E+001, 0.0000000E+000, 0.0000000E+000
 5.0440565E+001, 0.0000000E+000, 0.0000000E+000
 5.0460348E+001, 0.0000000E+000, 0.0000000E+000
 5.0480131E+001, 0.0000000E+000, 0.0000000E+000
 5.0501012E+001, 0.0000000E+000, 0.0000000E+000
