s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 4.8000000E+001, 0.0000000E+000,-3.8963496E-006,-5.1732092E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.8964013E-006, 0.0000000E+000, 0.0000000E+000
 4.8028866E+001, 0.0000000E+000, 3.4034057E-005, 1.6760140E-004, 1.4977292E-003, 1.0016855E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7093815E-003, 4.9973719E-006, 4.9973719E-006
 4.8057735E+001, 1.0219877E-001, 3.3938167E-005, 2.4794051E-003, 3.0806530E-003, 3.5301299E-005, 0.0000000E+000, 0.0000000E+000, 1.7831669E-003, 1.0782807E-001, 2.1815357E-005, 2.1815357E-005
 4.8086601E+001, 5.0018628E-001,-3.8157630E-003, 9.1460901E-003, 1.3288821E-003, 6.7243184E-005, 0.0000000E+000, 0.0000000E+000, 1.0806637E-001, 5.0691273E-001, 2.1434020E-005, 2.1434020E-005
 4.8115471E+001, 6.9885048E-001,-1.6444571E-002, 1.2205882E-002,-8.6927690E-003, 2.6685305E-004, 0.0000000E+000, 0.0000000E+000, 5.0591663E-001, 6.8618587E-001, 2.7952345E-005, 2.7952345E-005
 4.8144337E+001, 9.2726880E-001,-6.8817327E-002, 1.4787213E-002,-3.2082237E-002, 3.8419898E-004, 0.0000000E+000, 0.0000000E+000, 6.8287007E-001, 8.4154064E-001, 3.7124022E-005, 3.7124022E-005
 4.8173206E+001, 1.2206730E+000,-2.7712659E-001, 1.5334973E-002,-7.4251087E-002, 5.0723695E-004, 0.0000000E+000, 0.0000000E+000, 8.3430901E-001, 8.8513757E-001, 4.6664040E-005, 4.6664040E-005
 4.8195675E+001, 1.5805780E+000,-7.5782153E-001, 1.2643512E-002,-1.1807123E-001, 5.7563191E-004, 0.0000000E+000, 0.0000000E+000, 8.7931968E-001, 7.1790438E-001, 5.2190806E-005, 5.2190806E-005
 4.8218147E+001, 1.8136968E+000,-1.2665016E+000, 7.8340709E-003,-1.5532473E-001, 4.9247967E-004, 0.0000000E+000, 0.0000000E+000, 7.1548559E-001, 4.0019698E-001, 5.2179734E-005, 5.2179734E-005
 4.8240620E+001, 1.9683017E+000,-1.3660413E+000, 8.1621565E-003,-1.7229459E-001, 3.0798781E-004, 0.0000000E+000, 0.0000000E+000, 4.0213419E-001, 4.3843594E-001, 5.0960460E-005, 5.0960460E-005
 4.8265335E+001, 2.5715329E-001,-2.3893027E-001,-6.7182452E-004,-1.9765364E-001, 3.7714228E-004, 0.0000000E+000, 0.0000000E+000, 4.3400938E-001,-1.7972531E-001, 5.0441903E-005, 5.0441903E-005
 4.8283760E+001, 3.0210636E-001,-1.6995859E-001, 4.7650155E-004,-1.7170010E-001, 1.8146620E-004, 0.0000000E+000, 0.0000000E+000,-1.7420056E-001,-3.8894358E-002, 2.0697760E-005, 2.0697760E-005
 4.8302181E+001, 3.2473723E-001,-1.4334353E-001, 9.8319339E-004,-1.6019553E-001, 1.0160772E-004, 0.0000000E+000, 0.0000000E+000,-3.8853311E-002, 2.2282961E-002, 8.8012228E-006, 8.8012228E-006
 4.8322445E+001, 3.6795214E-001,-1.4866142E-001, 1.7166459E-003,-1.5399354E-001, 1.5191973E-004, 0.0000000E+000, 0.0000000E+000, 2.0152363E-002, 6.7165743E-002, 1.2109724E-005, 1.2109724E-005
 4.8344734E+001, 4.8802467E-001,-1.8087589E-001, 3.1534644E-003,-1.4959679E-001, 1.8698153E-004, 0.0000000E+000, 0.0000000E+000, 6.4709334E-002, 1.6089244E-001, 1.4536823E-005, 1.4536823E-005
 4.8367027E+001, 4.2537052E-001,-1.6356708E-001, 2.7538450E-003,-1.5080484E-001, 2.4294306E-004, 0.0000000E+000, 0.0000000E+000, 1.5821087E-001, 1.1399539E-001, 1.7641535E-005, 1.7641535E-005
 4.8384270E+001, 5.3840656E-001,-1.5589323E-001, 4.5837579E-003,-1.4511441E-001, 2.3662165E-004, 0.0000000E+000, 0.0000000E+000, 1.1187280E-001, 2.4221930E-001, 1.7076986E-005, 1.7076986E-005
 4.8399334E+001, 5.9984199E-001,-1.9245388E-001, 5.0685834E-003,-1.4618248E-001, 2.5590935E-004, 0.0000000E+000, 0.0000000E+000, 2.3947023E-001, 2.6653013E-001, 1.6521968E-005, 1.6521968E-005
 4.8412804E+001, 6.1974304E-001,-2.1641876E-001, 5.1876859E-003,-1.4728933E-001, 3.1351349E-004, 0.0000000E+000, 0.0000000E+000, 2.6392241E-001, 2.6153615E-001, 1.9990894E-005, 1.9990894E-005
 4.8424862E+001, 7.1339878E-001,-2.2107656E-001, 6.5128045E-003,-1.4536303E-001, 3.1875698E-004, 0.0000000E+000, 0.0000000E+000, 2.5945216E-001, 3.5379076E-001, 1.9899499E-005, 1.9899499E-005
 4.8436920E+001, 7.2662011E-001,-2.3346580E-001, 6.6352244E-003,-1.4738232E-001, 3.4662940E-004, 0.0000000E+000, 0.0000000E+000, 3.5143971E-001, 3.5275384E-001, 2.0721578E-005, 2.0721578E-005
 4.8447216E+001, 7.9026018E-001,-2.5379969E-001, 7.3857134E-003,-1.4722320E-001, 3.8567962E-004, 0.0000000E+000, 0.0000000E+000, 3.5022114E-001, 3.9700869E-001, 2.2756355E-005, 2.2756355E-005
