,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2020-03-04T00:43:59.219+01:00,   0.289E-01,  48.02887
      2,2020-03-04T00:44:00.456+01:00,   0.289E-01,  48.05774
      3,2020-03-04T00:44:01.634+01:00,   0.289E-01,  48.08660
      4,2020-03-04T00:44:02.871+01:00,   0.289E-01,  48.11547
      5,2020-03-04T00:44:04.161+01:00,   0.289E-01,  48.14434
      6,2020-03-04T00:44:05.536+01:00,   0.289E-01,  48.17321
      7,2020-03-04T00:44:07.308+01:00,   0.225E-01,  48.19568
      8,2020-03-04T00:44:08.652+01:00,   0.225E-01,  48.21815
      9,2020-03-04T00:44:10.010+01:00,   0.225E-01,  48.24062
     10,2020-03-04T00:44:11.419+01:00,   0.247E-01,  48.26534
     20,2020-03-04T00:44:27.380+01:00,   0.121E-01,  48.43692
     30,2020-03-04T00:44:42.141+01:00,   0.808E-02,  48.52767
     40,2020-03-04T00:44:56.614+01:00,   0.723E-02,  48.60336
     50,2020-03-04T00:45:11.717+01:00,   0.561E-02,  48.66565
     60,2020-03-04T00:45:26.503+01:00,   0.489E-02,  48.72101
     70,2020-03-04T00:45:42.047+01:00,   0.388E-02,  48.76720
     80,2020-03-04T00:45:57.734+01:00,   0.306E-02,  48.80283
     90,2020-03-04T00:46:12.287+01:00,   0.306E-02,  48.83345
    100,2020-03-04T00:46:28.110+01:00,   0.246E-02,  48.86061
    200,2020-03-04T00:48:54.333+01:00,   0.215E-02,  49.06777
    300,2020-03-04T00:51:21.989+01:00,   0.166E-02,  49.25608
    400,2020-03-04T00:53:49.323+01:00,   0.192E-02,  49.44186
    500,2020-03-04T00:56:16.378+01:00,   0.203E-02,  49.64018
    600,2020-03-04T00:58:43.463+01:00,   0.195E-02,  49.83561
    700,2020-03-04T01:01:11.985+01:00,   0.195E-02,  50.03079
    800,2020-03-04T01:03:48.152+01:00,   0.564E-03,  50.13463
    900,2020-03-04T01:06:21.149+01:00,   0.110E-02,  50.21966
   1000,2020-03-04T01:08:52.143+01:00,   0.110E-02,  50.32956
   1100,2020-03-04T01:11:23.763+01:00,   0.110E-02,  50.43947
   1200,2020-03-04T01:13:55.865+01:00,   0.110E-02,  50.54937
   1300,2020-03-04T01:16:28.146+01:00,   0.110E-02,  50.65927
   1400,2020-03-04T01:19:00.583+01:00,   0.110E-02,  50.76918
   1500,2020-03-04T01:21:33.290+01:00,   0.110E-02,  50.87908
   1600,2020-03-04T01:24:05.572+01:00,   0.110E-02,  50.98898
   1700,2020-03-04T01:26:38.019+01:00,   0.110E-02,  51.09889
   1800,2020-03-04T01:29:10.394+01:00,   0.110E-02,  51.20879
   1900,2020-03-04T01:31:41.961+01:00,   0.110E-02,  51.31870
   2000,2020-03-04T01:34:13.407+01:00,   0.121E-02,  51.42882
   2100,2020-03-04T01:36:45.179+01:00,   0.121E-02,  51.54971
   2200,2020-03-04T01:39:20.658+01:00,   0.517E-03,  51.65698
   2300,2020-03-04T01:42:10.780+01:00,   0.671E-03,  51.71634
   2400,2020-03-04T01:44:53.052+01:00,   0.651E-03,  51.78878
   2500,2020-03-04T01:47:44.952+01:00,   0.624E-03,  51.85284
   2600,2020-03-04T01:50:34.789+01:00,   0.701E-03,  51.91827
   2700,2020-03-04T01:53:25.961+01:00,   0.575E-03,  51.98281
   2800,2020-03-04T01:56:12.882+01:00,   0.686E-03,  52.05017
   2900,2020-03-04T01:59:03.573+01:00,   0.727E-03,  52.11221
   3000,2020-03-04T02:01:53.572+01:00,   0.682E-03,  52.16560
   3100,2020-03-04T02:04:38.038+01:00,   0.679E-03,  52.23082
   3200,2020-03-04T02:07:26.658+01:00,   0.669E-03,  52.29628
   3300,2020-03-04T02:10:17.735+01:00,   0.590E-03,  52.35605
   3400,2020-03-04T02:13:06.709+01:00,   0.573E-03,  52.41936
   3500,2020-03-04T02:15:57.318+01:00,   0.746E-03,  52.48052
   3600,2020-03-04T02:18:49.669+01:00,   0.536E-03,  52.53884
   3700,2020-03-04T02:21:36.056+01:00,   0.642E-03,  52.59996
   3800,2020-03-04T02:24:23.712+01:00,   0.569E-03,  52.65930
   3900,2020-03-04T02:27:12.557+01:00,   0.632E-03,  52.71611
   4000,2020-03-04T02:29:53.347+01:00,   0.632E-03,  52.77929
   4100,2020-03-04T02:32:35.672+01:00,   0.628E-03,  52.84263
   4200,2020-03-04T02:35:26.256+01:00,   0.524E-03,  52.90289
   4300,2020-03-04T02:38:18.799+01:00,   0.559E-03,  52.95895
   4400,2020-03-04T02:41:00.587+01:00,   0.656E-03,  53.02032
   4500,2020-03-04T02:43:53.858+01:00,   0.541E-03,  53.07634
   4600,2020-03-04T02:46:48.005+01:00,   0.523E-03,  53.13101
   4700,2020-03-04T02:49:36.637+01:00,   0.542E-03,  53.18995
   4800,2020-03-04T02:52:27.140+01:00,   0.531E-03,  53.24821
   4900,2020-03-04T02:55:16.672+01:00,   0.597E-03,  53.30686
   5000,2020-03-04T02:58:10.399+01:00,   0.558E-03,  53.36140
   5100,2020-03-04T03:01:04.180+01:00,   0.527E-03,  53.41515
   5200,2020-03-04T03:03:56.232+01:00,   0.522E-03,  53.46947
   5300,2020-03-04T03:06:50.616+01:00,   0.451E-03,  53.52276
   5400,2020-03-04T03:09:43.234+01:00,   0.466E-03,  53.57469
   5500,2020-03-04T03:12:35.294+01:00,   0.561E-03,  53.62643
   5600,2020-03-04T03:15:26.170+01:00,   0.633E-03,  53.68235
   5700,2020-03-04T03:18:16.518+01:00,   0.501E-03,  53.73793
   5800,2020-03-04T03:21:10.671+01:00,   0.570E-03,  53.79099
   5900,2020-03-04T03:24:05.030+01:00,   0.522E-03,  53.84331
   6000,2020-03-04T03:26:55.121+01:00,   0.577E-03,  53.89875
   6100,2020-03-04T03:29:47.237+01:00,   0.528E-03,  53.95415
   6200,2020-03-04T03:32:40.766+01:00,   0.580E-03,  54.00583
   6300,2020-03-04T03:35:34.342+01:00,   0.452E-03,  54.05608
   6400,2020-03-04T03:38:27.114+01:00,   0.479E-03,  54.10739
   6500,2020-03-04T03:41:19.839+01:00,   0.597E-03,  54.15952
   6600,2020-03-04T03:44:10.559+01:00,   0.557E-03,  54.21156
   6700,2020-03-04T03:47:02.464+01:00,   0.588E-03,  54.27588
   6800,2020-03-04T03:49:55.462+01:00,   0.608E-03,  54.34238
   6900,2020-03-04T03:52:46.653+01:00,   0.814E-03,  54.41154
   7000,2020-03-04T03:55:31.539+01:00,   0.802E-03,  54.48987
   7100,2020-03-04T03:58:20.250+01:00,   0.575E-03,  54.56006
   7200,2020-03-04T04:01:05.478+01:00,   0.612E-03,  54.62419
   7300,2020-03-04T04:03:59.196+01:00,   0.373E-03,  54.66822
   7400,2020-03-04T04:06:54.623+01:00,   0.367E-03,  54.70816
   7500,2020-03-04T04:09:50.384+01:00,   0.384E-03,  54.74816
   7600,2020-03-04T04:12:41.803+01:00,   0.444E-03,  54.79037
   7700,2020-03-04T04:15:36.413+01:00,   0.482E-03,  54.83310
   7800,2020-03-04T04:18:29.691+01:00,   0.451E-03,  54.87663
   7900,2020-03-04T04:21:23.353+01:00,   0.397E-03,  54.92113
   8000,2020-03-04T04:24:16.447+01:00,   0.441E-03,  54.96520
   8100,2020-03-04T04:27:09.264+01:00,   0.394E-03,  55.00906
   8200,2020-03-04T04:30:04.474+01:00,   0.497E-03,  55.05153
   8300,2020-03-04T04:32:59.402+01:00,   0.473E-03,  55.09485
   8400,2020-03-04T04:35:53.806+01:00,   0.428E-03,  55.14137
   8500,2020-03-04T04:38:44.422+01:00,   0.610E-03,  55.19190
   8600,2020-03-04T04:41:36.689+01:00,   0.503E-03,  55.24257
