,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2020-03-04T12:46:02.817+01:00,   0.289E-01,  48.02887
      2,2020-03-04T12:46:11.906+01:00,   0.289E-01,  48.05774
      3,2020-03-04T12:46:21.328+01:00,   0.289E-01,  48.08660
      4,2020-03-04T12:46:31.336+01:00,   0.289E-01,  48.11547
      5,2020-03-04T12:46:41.113+01:00,   0.289E-01,  48.14434
      6,2020-03-04T12:46:50.709+01:00,   0.289E-01,  48.17321
      7,2020-03-04T12:47:04.382+01:00,   0.222E-01,  48.19540
      8,2020-03-04T12:47:14.144+01:00,   0.222E-01,  48.21759
      9,2020-03-04T12:47:24.190+01:00,   0.222E-01,  48.23978
     10,2020-03-04T12:47:34.045+01:00,   0.222E-01,  48.26197
     20,2020-03-04T12:49:31.778+01:00,   0.121E-01,  48.44276
     30,2020-03-04T12:51:24.900+01:00,   0.666E-02,  48.53112
     40,2020-03-04T12:53:06.959+01:00,   0.580E-02,  48.59173
     50,2020-03-04T12:54:47.345+01:00,   0.580E-02,  48.64976
     60,2020-03-04T12:56:37.231+01:00,   0.452E-02,  48.70134
     70,2020-03-04T12:58:24.637+01:00,   0.401E-02,  48.74555
     80,2020-03-04T13:00:07.139+01:00,   0.356E-02,  48.78388
     90,2020-03-04T13:01:56.054+01:00,   0.261E-02,  48.81467
    100,2020-03-04T13:03:37.522+01:00,   0.261E-02,  48.84080
    200,2020-03-04T13:21:27.735+01:00,   0.203E-02,  49.02941
    300,2020-03-04T13:39:09.627+01:00,   0.198E-02,  49.24449
    400,2020-03-04T13:57:01.082+01:00,   0.196E-02,  49.43191
    500,2020-03-04T14:14:49.451+01:00,   0.190E-02,  49.63422
    600,2020-03-04T14:32:39.467+01:00,   0.178E-02,  49.82744
