Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,EVAC,HVAC,GEOM,Total T_USED (s)
    0, 1.286E+00, 1.816E+01, 5.046E+00, 5.505E+00, 7.002E+02, 2.883E+00, 1.927E+00, 6.661E-02, 4.007E+00, 2.501E-01, 1.068E+01, 0.000E+00, 0.000E+00, 0.000E+00, 7.500E+02
    1, 1.239E+00, 1.757E+01, 5.219E+00, 5.172E+00, 7.003E+02, 3.118E+00, 1.613E+00, 5.801E-02, 4.113E+00, 2.394E-01, 1.140E+01, 0.000E+00, 0.000E+00, 0.000E+00, 7.500E+02
    2, 1.290E+00, 1.952E+01, 6.187E+00, 6.952E+00, 7.004E+02, 5.053E+00, 1.504E+00, 8.415E-02, 5.137E+00, 8.181E-01, 3.103E+00, 0.000E+00, 0.000E+00, 0.000E+00, 7.500E+02
    3, 1.245E+00, 1.862E+01, 6.057E+00, 6.149E+00, 7.003E+02, 4.272E+00, 1.550E+00, 6.892E-02, 4.237E+00, 7.788E-01, 6.765E+00, 0.000E+00, 0.000E+00, 0.000E+00, 7.500E+02
    4, 1.209E+00, 1.788E+01, 5.211E+00, 5.548E+00, 7.003E+02, 3.313E+00, 1.565E+00, 6.547E-02, 4.128E+00, 2.286E-01, 1.061E+01, 0.000E+00, 0.000E+00, 0.000E+00, 7.500E+02
    5, 1.239E+00, 1.729E+01, 5.000E+00, 5.065E+00, 7.002E+02, 2.932E+00, 1.723E+00, 5.841E-02, 4.095E+00, 2.047E-01, 1.218E+01, 0.000E+00, 0.000E+00, 0.000E+00, 7.500E+02
    6, 1.237E+00, 1.711E+01, 4.886E+00, 5.056E+00, 7.002E+02, 2.882E+00, 1.666E+00, 6.477E-02, 3.912E+00, 1.928E-01, 1.277E+01, 0.000E+00, 0.000E+00, 0.000E+00, 7.500E+02
    7, 1.185E+00, 1.788E+01, 5.114E+00, 5.008E+00, 7.003E+02, 3.029E+00, 1.678E+00, 5.771E-02, 4.411E+00, 1.821E-01, 1.113E+01, 0.000E+00, 0.000E+00, 0.000E+00, 7.500E+02
    8, 1.262E+00, 1.766E+01, 5.592E+00, 5.157E+00, 7.003E+02, 2.955E+00, 1.712E+00, 7.044E-02, 4.001E+00, 1.983E-01, 1.114E+01, 0.000E+00, 0.000E+00, 0.000E+00, 7.500E+02
    9, 1.250E+00, 1.736E+01, 5.147E+00, 4.826E+00, 7.001E+02, 2.512E+00, 1.750E+00, 5.508E-02, 3.987E+00, 1.645E-01, 1.285E+01, 0.000E+00, 0.000E+00, 0.000E+00, 7.500E+02
   10, 1.256E+00, 1.843E+01, 5.755E+00, 5.607E+00, 7.002E+02, 2.945E+00, 1.598E+00, 6.709E-02, 3.960E+00, 5.715E-01, 9.616E+00, 0.000E+00, 0.000E+00, 0.000E+00, 7.500E+02
   11, 1.278E+00, 1.763E+01, 5.442E+00, 5.150E+00, 7.002E+02, 3.098E+00, 1.690E+00, 5.816E-02, 4.090E+00, 7.391E-01, 1.060E+01, 0.000E+00, 0.000E+00, 0.000E+00, 7.500E+02
   12, 1.196E+00, 1.754E+01, 5.455E+00, 5.191E+00, 7.002E+02, 2.882E+00, 2.302E+00, 6.262E-02, 4.113E+00, 1.316E+00, 9.726E+00, 0.000E+00, 0.000E+00, 0.000E+00, 7.500E+02
   13, 1.198E+00, 1.749E+01, 5.520E+00, 5.011E+00, 7.003E+02, 2.879E+00, 2.238E+00, 5.563E-02, 4.045E+00, 1.320E+00, 9.979E+00, 0.000E+00, 0.000E+00, 0.000E+00, 7.500E+02
   14, 1.240E+00, 1.801E+01, 5.308E+00, 5.119E+00, 7.004E+02, 2.973E+00, 1.742E+00, 6.405E-02, 4.607E+00, 8.188E-01, 9.784E+00, 0.000E+00, 0.000E+00, 0.000E+00, 7.500E+02
   15, 1.211E+00, 1.726E+01, 5.360E+00, 5.087E+00, 7.002E+02, 2.811E+00, 1.745E+00, 5.445E-02, 3.955E+00, 5.879E-01, 1.177E+01, 0.000E+00, 0.000E+00, 0.000E+00, 7.500E+02
   16, 1.198E+00, 1.789E+01, 5.170E+00, 5.130E+00, 7.003E+02, 2.908E+00, 1.724E+00, 6.460E-02, 4.274E+00, 5.168E-01, 1.086E+01, 0.000E+00, 0.000E+00, 0.000E+00, 7.500E+02
   17, 1.242E+00, 1.754E+01, 5.431E+00, 5.022E+00, 7.002E+02, 2.868E+00, 1.733E+00, 5.684E-02, 3.981E+00, 3.501E-01, 1.157E+01, 0.000E+00, 0.000E+00, 0.000E+00, 7.500E+02
   18, 1.261E+00, 1.782E+01, 5.535E+00, 5.171E+00, 7.002E+02, 2.900E+00, 1.780E+00, 6.746E-02, 3.841E+00, 2.366E-01, 1.121E+01, 0.000E+00, 0.000E+00, 0.000E+00, 7.500E+02
   19, 1.231E+00, 1.754E+01, 5.206E+00, 4.830E+00, 7.001E+02, 2.519E+00, 1.750E+00, 5.282E-02, 3.793E+00, 1.647E-01, 1.282E+01, 0.000E+00, 0.000E+00, 0.000E+00, 7.500E+02
