s,kW,
Time,"MY NET HF","TOTAL ENERGY ABORBED"
 4.8000000E+001, 0.0000000E+000, 0.0000000E+000
 4.8028868E+001, 0.0000000E+000, 0.0000000E+000
 4.8057735E+001, 0.0000000E+000, 0.0000000E+000
 4.8086603E+001, 0.0000000E+000, 0.0000000E+000
 4.8115470E+001, 0.0000000E+000, 0.0000000E+000
 4.8144338E+001, 0.0000000E+000, 0.0000000E+000
 4.8173205E+001, 0.0000000E+000, 0.0000000E+000
 4.8195329E+001, 0.0000000E+000, 0.0000000E+000
 4.8217452E+001, 0.0000000E+000, 0.0000000E+000
 4.8239576E+001, 0.0000000E+000, 0.0000000E+000
 4.8263911E+001, 0.0000000E+000, 0.0000000E+000
 4.8282073E+001, 0.0000000E+000, 0.0000000E+000
 4.8300236E+001, 0.0000000E+000, 0.0000000E+000
 4.8320214E+001, 0.0000000E+000, 0.0000000E+000
 4.8342190E+001, 0.0000000E+000, 0.0000000E+000
 4.8364166E+001, 0.0000000E+000, 0.0000000E+000
 4.8381101E+001, 0.0000000E+000, 0.0000000E+000
 4.8398035E+001, 0.0000000E+000, 0.0000000E+000
 4.8412781E+001, 0.0000000E+000, 0.0000000E+000
 4.8425547E+001, 0.0000000E+000, 0.0000000E+000
 4.8438312E+001, 0.0000000E+000, 0.0000000E+000
 4.8448781E+001, 0.0000000E+000, 0.0000000E+000
 4.8459250E+001, 0.0000000E+000, 0.0000000E+000
 4.8469718E+001, 0.0000000E+000, 0.0000000E+000
 4.8487718E+001, 0.0000000E+000, 0.0000000E+000
 4.8504734E+001, 0.0000000E+000, 0.0000000E+000
 4.8527136E+001, 0.0000000E+000, 0.0000000E+000
 4.8541521E+001, 0.0000000E+000, 0.0000000E+000
 4.8561223E+001, 0.0000000E+000, 0.0000000E+000
 4.8586242E+001, 0.0000000E+000, 0.0000000E+000
 4.8604363E+001, 0.0000000E+000, 0.0000000E+000
 4.8621197E+001, 0.0000000E+000, 0.0000000E+000
 4.8643643E+001, 0.0000000E+000, 0.0000000E+000
 4.8660477E+001, 0.0000000E+000, 0.0000000E+000
 4.8682922E+001, 0.0000000E+000, 0.0000000E+000
 4.8702440E+001, 0.0000000E+000, 0.0000000E+000
 4.8720830E+001, 0.0000000E+000, 0.0000000E+000
 4.8741934E+001, 0.0000000E+000, 0.0000000E+000
 4.8761141E+001, 0.0000000E+000, 0.0000000E+000
 4.8781983E+001, 0.0000000E+000, 0.0000000E+000
 4.8802074E+001, 0.0000000E+000, 0.0000000E+000
 4.8822482E+001, 0.0000000E+000, 0.0000000E+000
 4.8841334E+001, 0.0000000E+000, 0.0000000E+000
 4.8861494E+001, 0.0000000E+000, 0.0000000E+000
 4.8882081E+001, 0.0000000E+000, 0.0000000E+000
 4.8901293E+001, 0.0000000E+000, 0.0000000E+000
 4.8920505E+001, 0.0000000E+000, 0.0000000E+000
 4.8941851E+001, 0.0000000E+000, 0.0000000E+000
 4.8960092E+001, 0.0000000E+000, 0.0000000E+000
 4.8980901E+001, 0.0000000E+000, 0.0000000E+000
 4.9001332E+001, 0.0000000E+000, 0.0000000E+000
 4.9020060E+001, 0.0000000E+000, 0.0000000E+000
 4.9041494E+001, 0.0000000E+000, 0.0000000E+000
 4.9062095E+001, 0.0000000E+000, 0.0000000E+000
 4.9080408E+001, 0.0000000E+000, 0.0000000E+000
 4.9101009E+001, 0.0000000E+000, 0.0000000E+000
 4.9120118E+001, 0.0000000E+000, 0.0000000E+000
 4.9140521E+001, 0.0000000E+000, 0.0000000E+000
 4.9160925E+001, 0.0000000E+000, 0.0000000E+000
 4.9181328E+001, 0.0000000E+000, 0.0000000E+000
 4.9200303E+001, 0.0000000E+000, 0.0000000E+000
 4.9220190E+001, 0.0000000E+000, 0.0000000E+000
 4.9241002E+001, 0.0000000E+000, 0.0000000E+000
 4.9260537E+001, 0.0000000E+000, 0.0000000E+000
 4.9280072E+001, 0.0000000E+000, 0.0000000E+000
 4.9301383E+001, 0.0000000E+000, 0.0000000E+000
 4.9321095E+001, 0.0000000E+000, 0.0000000E+000
 4.9340630E+001, 0.0000000E+000, 0.0000000E+000
 4.9360165E+001, 0.0000000E+000, 0.0000000E+000
 4.9381849E+001, 0.0000000E+000, 0.0000000E+000
 4.9401189E+001, 0.0000000E+000, 0.0000000E+000
 4.9422247E+001, 0.0000000E+000, 0.0000000E+000
 4.9440101E+001, 0.0000000E+000, 0.0000000E+000
 4.9461099E+001, 0.0000000E+000, 0.0000000E+000
 4.9482096E+001, 0.0000000E+000, 0.0000000E+000
 4.9500516E+001, 0.0000000E+000, 0.0000000E+000
 4.9520985E+001, 0.0000000E+000, 0.0000000E+000
 4.9541454E+001, 0.0000000E+000, 0.0000000E+000
 4.9560063E+001, 0.0000000E+000, 0.0000000E+000
 4.9580893E+001, 0.0000000E+000, 0.0000000E+000
 4.9600973E+001, 0.0000000E+000, 0.0000000E+000
 4.9621220E+001, 0.0000000E+000, 0.0000000E+000
 4.9641467E+001, 0.0000000E+000, 0.0000000E+000
 4.9661714E+001, 0.0000000E+000, 0.0000000E+000
 4.9681961E+001, 0.0000000E+000, 0.0000000E+000
 4.9700184E+001, 0.0000000E+000, 0.0000000E+000
 4.9721038E+001, 0.0000000E+000, 0.0000000E+000
 4.9741083E+001, 0.0000000E+000, 0.0000000E+000
 4.9761237E+001, 0.0000000E+000, 0.0000000E+000
 4.9781237E+001, 0.0000000E+000, 0.0000000E+000
 4.9800202E+001, 0.0000000E+000, 0.0000000E+000
 4.9821065E+001, 0.0000000E+000, 0.0000000E+000
 4.9840391E+001, 0.0000000E+000, 0.0000000E+000
 4.9860847E+001, 0.0000000E+000, 0.0000000E+000
 4.9880451E+001, 0.0000000E+000, 0.0000000E+000
 4.9901077E+001, 0.0000000E+000, 0.0000000E+000
 4.9921703E+001, 0.0000000E+000, 0.0000000E+000
 4.9940454E+001, 0.0000000E+000, 0.0000000E+000
 4.9961549E+001, 0.0000000E+000, 0.0000000E+000
 4.9981831E+001, 0.0000000E+000, 0.0000000E+000
 5.0001191E+001, 0.0000000E+000, 0.0000000E+000
 5.0021473E+001, 0.0000000E+000, 0.0000000E+000
 5.0041544E+001, 0.0000000E+000, 0.0000000E+000
 5.0061540E+001, 0.0000000E+000, 0.0000000E+000
 5.0080748E+001, 0.0000000E+000, 0.0000000E+000
 5.0101331E+001, 0.0000000E+000, 0.0000000E+000
 5.0120222E+001, 0.0000000E+000, 0.0000000E+000
 5.0140186E+001, 0.0000000E+000, 0.0000000E+000
 5.0160184E+001, 0.0000000E+000, 0.0000000E+000
 5.0180959E+001, 0.0000000E+000, 0.0000000E+000
 5.0200864E+001, 0.0000000E+000, 0.0000000E+000
 5.0220769E+001, 0.0000000E+000, 0.0000000E+000
 5.0240674E+001, 0.0000000E+000, 0.0000000E+000
 5.0260578E+001, 0.0000000E+000, 0.0000000E+000
 5.0280798E+001, 0.0000000E+000, 0.0000000E+000
 5.0300388E+001, 0.0000000E+000, 0.0000000E+000
 5.0321131E+001, 0.0000000E+000, 0.0000000E+000
 5.0340722E+001, 0.0000000E+000, 0.0000000E+000
 5.0360312E+001, 0.0000000E+000, 0.0000000E+000
 5.0381055E+001, 0.0000000E+000, 0.0000000E+000
 5.0400646E+001, 0.0000000E+000, 0.0000000E+000
 5.0420236E+001, 0.0000000E+000, 0.0000000E+000
 5.0440979E+001, 0.0000000E+000, 0.0000000E+000
 5.0460570E+001, 0.0000000E+000, 0.0000000E+000
 5.0480160E+001, 0.0000000E+000, 0.0000000E+000
 5.0500903E+001, 0.0000000E+000, 0.0000000E+000
