s,kW,
Time,"MY NET HF","TOTAL ENERGY ABORBED"
 4.8000000E+001, 0.0000000E+000, 0.0000000E+000
 4.8028868E+001, 0.0000000E+000, 0.0000000E+000
 4.8057735E+001, 0.0000000E+000, 0.0000000E+000
 4.8086603E+001, 0.0000000E+000, 0.0000000E+000
 4.8115470E+001, 0.0000000E+000, 0.0000000E+000
 4.8144338E+001, 0.0000000E+000, 0.0000000E+000
 4.8173205E+001, 0.0000000E+000, 0.0000000E+000
 4.8195698E+001, 0.0000000E+000, 0.0000000E+000
 4.8218191E+001, 0.0000000E+000, 0.0000000E+000
 4.8240685E+001, 0.0000000E+000, 0.0000000E+000
 4.8265427E+001, 0.0000000E+000, 0.0000000E+000
 4.8284013E+001, 0.0000000E+000, 0.0000000E+000
 4.8302599E+001, 0.0000000E+000, 0.0000000E+000
 4.8323043E+001, 0.0000000E+000, 0.0000000E+000
 4.8345532E+001, 0.0000000E+000, 0.0000000E+000
 4.8368020E+001, 0.0000000E+000, 0.0000000E+000
 4.8390509E+001, 0.0000000E+000, 0.0000000E+000
 4.8409183E+001, 0.0000000E+000, 0.0000000E+000
 4.8424257E+001, 0.0000000E+000, 0.0000000E+000
 4.8439331E+001, 0.0000000E+000, 0.0000000E+000
 4.8451782E+001, 0.0000000E+000, 0.0000000E+000
 4.8464233E+001, 0.0000000E+000, 0.0000000E+000
 4.8475366E+001, 0.0000000E+000, 0.0000000E+000
 4.8486499E+001, 0.0000000E+000, 0.0000000E+000
 4.8497632E+001, 0.0000000E+000, 0.0000000E+000
 4.8507615E+001, 0.0000000E+000, 0.0000000E+000
 4.8526434E+001, 0.0000000E+000, 0.0000000E+000
 4.8544105E+001, 0.0000000E+000, 0.0000000E+000
 4.8560568E+001, 0.0000000E+000, 0.0000000E+000
 4.8583447E+001, 0.0000000E+000, 0.0000000E+000
 4.8606326E+001, 0.0000000E+000, 0.0000000E+000
 4.8626225E+001, 0.0000000E+000, 0.0000000E+000
 4.8645447E+001, 0.0000000E+000, 0.0000000E+000
 4.8663315E+001, 0.0000000E+000, 0.0000000E+000
 4.8684637E+001, 0.0000000E+000, 0.0000000E+000
 4.8704250E+001, 0.0000000E+000, 0.0000000E+000
 4.8722154E+001, 0.0000000E+000, 0.0000000E+000
 4.8743176E+001, 0.0000000E+000, 0.0000000E+000
 4.8763293E+001, 0.0000000E+000, 0.0000000E+000
 4.8783409E+001, 0.0000000E+000, 0.0000000E+000
 4.8802627E+001, 0.0000000E+000, 0.0000000E+000
 4.8820494E+001, 0.0000000E+000, 0.0000000E+000
 4.8841440E+001, 0.0000000E+000, 0.0000000E+000
 4.8860491E+001, 0.0000000E+000, 0.0000000E+000
 4.8882263E+001, 0.0000000E+000, 0.0000000E+000
 4.8902024E+001, 0.0000000E+000, 0.0000000E+000
 4.8921520E+001, 0.0000000E+000, 0.0000000E+000
 4.8941016E+001, 0.0000000E+000, 0.0000000E+000
 4.8960512E+001, 0.0000000E+000, 0.0000000E+000
 4.8981834E+001, 0.0000000E+000, 0.0000000E+000
 4.9001217E+001, 0.0000000E+000, 0.0000000E+000
 4.9020600E+001, 0.0000000E+000, 0.0000000E+000
 4.9041921E+001, 0.0000000E+000, 0.0000000E+000
 4.9061305E+001, 0.0000000E+000, 0.0000000E+000
 4.9080688E+001, 0.0000000E+000, 0.0000000E+000
 4.9100071E+001, 0.0000000E+000, 0.0000000E+000
 4.9121392E+001, 0.0000000E+000, 0.0000000E+000
 4.9140775E+001, 0.0000000E+000, 0.0000000E+000
 4.9160159E+001, 0.0000000E+000, 0.0000000E+000
 4.9181480E+001, 0.0000000E+000, 0.0000000E+000
 4.9200863E+001, 0.0000000E+000, 0.0000000E+000
 4.9220246E+001, 0.0000000E+000, 0.0000000E+000
 4.9241568E+001, 0.0000000E+000, 0.0000000E+000
 4.9260951E+001, 0.0000000E+000, 0.0000000E+000
 4.9280334E+001, 0.0000000E+000, 0.0000000E+000
 4.9301655E+001, 0.0000000E+000, 0.0000000E+000
 4.9320429E+001, 0.0000000E+000, 0.0000000E+000
 4.9341250E+001, 0.0000000E+000, 0.0000000E+000
 4.9360335E+001, 0.0000000E+000, 0.0000000E+000
 4.9381156E+001, 0.0000000E+000, 0.0000000E+000
 4.9400242E+001, 0.0000000E+000, 0.0000000E+000
 4.9421410E+001, 0.0000000E+000, 0.0000000E+000
 4.9440496E+001, 0.0000000E+000, 0.0000000E+000
 4.9461490E+001, 0.0000000E+000, 0.0000000E+000
 4.9480385E+001, 0.0000000E+000, 0.0000000E+000
 4.9501379E+001, 0.0000000E+000, 0.0000000E+000
 4.9520274E+001, 0.0000000E+000, 0.0000000E+000
 4.9541269E+001, 0.0000000E+000, 0.0000000E+000
 4.9560164E+001, 0.0000000E+000, 0.0000000E+000
 4.9581158E+001, 0.0000000E+000, 0.0000000E+000
 4.9601708E+001, 0.0000000E+000, 0.0000000E+000
 4.9620481E+001, 0.0000000E+000, 0.0000000E+000
 4.9640099E+001, 0.0000000E+000, 0.0000000E+000
 4.9660148E+001, 0.0000000E+000, 0.0000000E+000
 4.9681534E+001, 0.0000000E+000, 0.0000000E+000
 4.9701751E+001, 0.0000000E+000, 0.0000000E+000
 4.9720681E+001, 0.0000000E+000, 0.0000000E+000
 4.9740291E+001, 0.0000000E+000, 0.0000000E+000
 4.9760305E+001, 0.0000000E+000, 0.0000000E+000
 4.9780320E+001, 0.0000000E+000, 0.0000000E+000
 4.9800334E+001, 0.0000000E+000, 0.0000000E+000
 4.9821403E+001, 0.0000000E+000, 0.0000000E+000
 4.9841304E+001, 0.0000000E+000, 0.0000000E+000
 4.9861634E+001, 0.0000000E+000, 0.0000000E+000
 4.9881072E+001, 0.0000000E+000, 0.0000000E+000
 4.9900510E+001, 0.0000000E+000, 0.0000000E+000
 4.9921716E+001, 0.0000000E+000, 0.0000000E+000
 4.9941154E+001, 0.0000000E+000, 0.0000000E+000
 4.9960592E+001, 0.0000000E+000, 0.0000000E+000
 4.9980561E+001, 0.0000000E+000, 0.0000000E+000
 5.0001943E+001, 0.0000000E+000, 0.0000000E+000
 5.0021381E+001, 0.0000000E+000, 0.0000000E+000
 5.0040820E+001, 0.0000000E+000, 0.0000000E+000
 5.0060258E+001, 0.0000000E+000, 0.0000000E+000
 5.0081640E+001, 0.0000000E+000, 0.0000000E+000
 5.0100630E+001, 0.0000000E+000, 0.0000000E+000
 5.0120412E+001, 0.0000000E+000, 0.0000000E+000
 5.0140449E+001, 0.0000000E+000, 0.0000000E+000
 5.0160364E+001, 0.0000000E+000, 0.0000000E+000
 5.0180908E+001, 0.0000000E+000, 0.0000000E+000
 5.0200431E+001, 0.0000000E+000, 0.0000000E+000
 5.0220981E+001, 0.0000000E+000, 0.0000000E+000
 5.0240504E+001, 0.0000000E+000, 0.0000000E+000
 5.0260026E+001, 0.0000000E+000, 0.0000000E+000
 5.0280577E+001, 0.0000000E+000, 0.0000000E+000
 5.0300099E+001, 0.0000000E+000, 0.0000000E+000
 5.0320444E+001, 0.0000000E+000, 0.0000000E+000
 5.0340788E+001, 0.0000000E+000, 0.0000000E+000
 5.0360003E+001, 0.0000000E+000, 0.0000000E+000
 5.0380347E+001, 0.0000000E+000, 0.0000000E+000
 5.0400692E+001, 0.0000000E+000, 0.0000000E+000
 5.0421037E+001, 0.0000000E+000, 0.0000000E+000
 5.0440251E+001, 0.0000000E+000, 0.0000000E+000
 5.0460595E+001, 0.0000000E+000, 0.0000000E+000
 5.0480940E+001, 0.0000000E+000, 0.0000000E+000
 5.0500154E+001, 0.0000000E+000, 0.0000000E+000
