,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2020-03-03T20:44:15.298+01:00,   0.289E-01,  48.02887
      2,2020-03-03T20:44:22.087+01:00,   0.289E-01,  48.05774
      3,2020-03-03T20:44:28.795+01:00,   0.289E-01,  48.08660
      4,2020-03-03T20:44:35.647+01:00,   0.289E-01,  48.11547
      5,2020-03-03T20:44:42.269+01:00,   0.289E-01,  48.14434
      6,2020-03-03T20:44:49.041+01:00,   0.289E-01,  48.17321
      7,2020-03-03T20:44:58.483+01:00,   0.225E-01,  48.19570
      8,2020-03-03T20:45:05.423+01:00,   0.225E-01,  48.21819
      9,2020-03-03T20:45:12.255+01:00,   0.225E-01,  48.24068
     10,2020-03-03T20:45:18.993+01:00,   0.247E-01,  48.26543
     20,2020-03-03T20:46:37.364+01:00,   0.125E-01,  48.45178
     30,2020-03-03T20:47:53.921+01:00,   0.884E-02,  48.55294
     40,2020-03-03T20:49:08.973+01:00,   0.663E-02,  48.62623
     50,2020-03-03T20:50:24.093+01:00,   0.533E-02,  48.68464
     60,2020-03-03T20:51:36.081+01:00,   0.448E-02,  48.73111
     70,2020-03-03T20:52:48.665+01:00,   0.402E-02,  48.77134
     80,2020-03-03T20:54:02.308+01:00,   0.357E-02,  48.80977
     90,2020-03-03T20:55:18.886+01:00,   0.272E-02,  48.84144
    100,2020-03-03T20:56:31.355+01:00,   0.272E-02,  48.86866
    200,2020-03-03T21:08:48.201+01:00,   0.194E-02,  49.07681
    300,2020-03-03T21:22:42.631+01:00,   0.194E-02,  49.27064
    400,2020-03-03T21:37:12.544+01:00,   0.210E-02,  49.45309
    500,2020-03-03T21:51:33.073+01:00,   0.167E-02,  49.65347
    600,2020-03-03T22:05:56.538+01:00,   0.177E-02,  49.85457
    700,2020-03-03T22:20:16.366+01:00,   0.194E-02,  50.03693
    800,2020-03-03T22:35:38.022+01:00,   0.527E-03,  50.13834
    900,2020-03-03T22:50:43.676+01:00,   0.103E-02,  50.21893
   1000,2020-03-03T23:05:29.314+01:00,   0.113E-02,  50.32496
   1100,2020-03-03T23:20:16.968+01:00,   0.113E-02,  50.43799
   1200,2020-03-03T23:34:56.170+01:00,   0.113E-02,  50.55102
   1300,2020-03-03T23:49:37.753+01:00,   0.113E-02,  50.66404
   1400,2020-03-04T00:04:14.482+01:00,   0.113E-02,  50.77707
   1500,2020-03-04T00:18:46.793+01:00,   0.113E-02,  50.89009
   1600,2020-03-04T00:33:18.011+01:00,   0.113E-02,  51.00312
