s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 4.8000000E+001, 0.0000000E+000,-1.8019989E-017, 5.6678881E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.6678863E-011, 0.0000000E+000, 0.0000000E+000
 4.8028866E+001, 0.0000000E+000, 8.2426050E-005, 1.6837974E-004, 1.4977332E-003, 1.0760524E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7592995E-003, 4.9973719E-006, 4.9973719E-006
 4.8057735E+001, 1.0219877E-001, 8.2327303E-005, 2.4796334E-003, 3.0806307E-003, 3.8138464E-005, 0.0000000E+000, 0.0000000E+000, 1.8323898E-003, 1.0787950E-001, 2.1815374E-005, 2.1815374E-005
 4.8086601E+001, 5.0018259E-001,-3.8127799E-003, 9.1456662E-003, 1.3292368E-003, 6.9409090E-005, 0.0000000E+000, 0.0000000E+000, 1.0811543E-001, 5.0691412E-001, 2.1433444E-005, 2.1433444E-005
 4.8115471E+001, 6.9886191E-001,-1.6391763E-002, 1.2206985E-002,-8.6928976E-003, 2.6677494E-004, 0.0000000E+000, 0.0000000E+000, 5.0591611E-001, 6.8625101E-001, 2.7953405E-005, 2.7953405E-005
 4.8144337E+001, 9.2732552E-001,-6.8770382E-002, 1.4789268E-002,-3.2078132E-002, 3.8404611E-004, 0.0000000E+000, 0.0000000E+000, 6.8293522E-001, 8.4165032E-001, 3.7126379E-005, 3.7126379E-005
 4.8173206E+001, 1.2207598E+000,-2.7700164E-001, 1.5339325E-002,-7.4220318E-002, 5.0695564E-004, 0.0000000E+000, 0.0000000E+000, 8.3441956E-001, 8.8538411E-001, 4.6666349E-005, 4.6666349E-005
 4.8195698E+001, 1.5806154E+000,-7.5757808E-001, 1.2648556E-002,-1.1808514E-001, 5.7515232E-004, 0.0000000E+000, 0.0000000E+000, 8.7954938E-001, 7.1817591E-001, 5.2185027E-005, 5.2185027E-005
 4.8218193E+001, 1.8138660E+000,-1.2664413E+000, 7.8376651E-003,-1.5535858E-001, 4.9114670E-004, 0.0000000E+000, 0.0000000E+000, 7.1575693E-001, 4.0039488E-001, 5.2165898E-005, 5.2165898E-005
 4.8240685E+001, 1.9699360E+000,-1.3657066E+000, 8.1886959E-003,-1.7232280E-001, 3.1179943E-004, 0.0000000E+000, 0.0000000E+000, 4.0231922E-001, 4.4040705E-001, 5.0848135E-005, 5.0848135E-005
 4.8265427E+001, 2.5651438E-001,-2.3945613E-001,-6.8374643E-004,-1.9787224E-001, 3.7900338E-004, 0.0000000E+000, 0.0000000E+000, 4.3594122E-001,-1.8111873E-001, 5.0592606E-005, 5.0592606E-005
 4.8284012E+001, 3.0454477E-001,-1.6734791E-001, 5.4629321E-004,-1.7153771E-001, 1.8034419E-004, 0.0000000E+000, 0.0000000E+000,-1.7560154E-001,-3.3614217E-002, 2.0435399E-005, 2.0435399E-005
 4.8302597E+001, 3.3345611E-001,-1.4722495E-001, 1.0490645E-003,-1.6033905E-001, 1.0188599E-004, 0.0000000E+000, 0.0000000E+000,-3.3696287E-002, 2.7043058E-002, 8.7509269E-006, 8.7509269E-006
 4.8323044E+001, 4.1554568E-001,-1.5032403E-001, 2.3563243E-003,-1.5441392E-001, 1.5259845E-004, 0.0000000E+000, 0.0000000E+000, 2.4881310E-002, 1.1331665E-001, 1.2270650E-005, 1.2270650E-005
 4.8345531E+001, 3.7481066E-001,-1.5028538E-001, 2.0109892E-003,-1.5363686E-001, 2.0690422E-004, 0.0000000E+000, 0.0000000E+000, 1.1040315E-001, 7.3106304E-002, 1.5794235E-005, 1.5794235E-005
 4.8368019E+001, 5.2617136E-001,-1.7582022E-001, 3.9209418E-003,-1.4687390E-001, 2.0148194E-004, 0.0000000E+000, 0.0000000E+000, 7.1116909E-002, 2.0759966E-001, 1.5086599E-005, 1.5086599E-005
 4.8390511E+001, 4.9196726E-001,-1.8682821E-001, 3.4996275E-003,-1.5006847E-001, 2.4599014E-004, 0.0000000E+000, 0.0000000E+000, 2.0496990E-001, 1.5881620E-001, 1.7502153E-005, 1.7502153E-005
 4.8409184E+001, 5.9451486E-001,-1.8473731E-001, 5.1323232E-003,-1.4494900E-001, 2.6067524E-004, 0.0000000E+000, 0.0000000E+000, 1.5663543E-001, 2.7022155E-001, 1.8246956E-005, 1.8246956E-005
 4.8424255E+001, 6.3512450E-001,-2.0731322E-001, 5.5150118E-003,-1.4644058E-001, 2.8039911E-004, 0.0000000E+000, 0.0000000E+000, 2.6782766E-001, 2.8716611E-001, 1.7972281E-005, 1.7972281E-005
 4.8439331E+001, 6.9187758E-001,-2.1595252E-001, 6.3489388E-003,-1.4616418E-001, 3.3367237E-004, 0.0000000E+000, 0.0000000E+000, 2.8461942E-001, 3.3644350E-001, 2.0804351E-005, 2.0804351E-005
 4.8451782E+001, 7.4537910E-001,-2.2256394E-001, 7.1302063E-003,-1.4588190E-001, 3.4239892E-004, 0.0000000E+000, 0.0000000E+000, 3.3392332E-001, 3.8440587E-001, 2.0712818E-005, 2.0712818E-005
 4.8464233E+001, 8.0978269E-001,-2.6402376E-001, 7.5833243E-003,-1.4714145E-001, 3.7569102E-004, 0.0000000E+000, 0.0000000E+000, 3.8203103E-001, 4.0657650E-001, 2.2070736E-005, 2.2070736E-005
 4.8475365E+001, 7.7346115E-001,-2.5379378E-001, 7.3455453E-003,-1.4798644E-001, 4.1375113E-004, 0.0000000E+000, 0.0000000E+000, 4.0440353E-001, 3.7944023E-001, 2.4027279E-005, 2.4027279E-005
