,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2020-03-04T01:05:03.797+01:00,   0.289E-01,  48.02887
      2,2020-03-04T01:05:07.496+01:00,   0.289E-01,  48.05774
      3,2020-03-04T01:05:11.067+01:00,   0.289E-01,  48.08660
      4,2020-03-04T01:05:14.800+01:00,   0.289E-01,  48.11547
      5,2020-03-04T01:05:18.446+01:00,   0.289E-01,  48.14434
      6,2020-03-04T01:05:22.129+01:00,   0.289E-01,  48.17321
      7,2020-03-04T01:05:27.520+01:00,   0.222E-01,  48.19540
      8,2020-03-04T01:05:31.164+01:00,   0.222E-01,  48.21759
      9,2020-03-04T01:05:34.878+01:00,   0.222E-01,  48.23978
     10,2020-03-04T01:05:38.653+01:00,   0.222E-01,  48.26197
     20,2020-03-04T01:06:23.907+01:00,   0.121E-01,  48.44276
     30,2020-03-04T01:07:07.834+01:00,   0.666E-02,  48.53112
     40,2020-03-04T01:07:47.601+01:00,   0.580E-02,  48.59173
     50,2020-03-04T01:08:26.197+01:00,   0.580E-02,  48.64976
     60,2020-03-04T01:09:08.084+01:00,   0.452E-02,  48.70134
     70,2020-03-04T01:09:48.297+01:00,   0.401E-02,  48.74555
     80,2020-03-04T01:10:28.834+01:00,   0.356E-02,  48.78388
     90,2020-03-04T01:11:11.381+01:00,   0.261E-02,  48.81467
    100,2020-03-04T01:11:50.818+01:00,   0.261E-02,  48.84080
    200,2020-03-04T01:18:48.371+01:00,   0.203E-02,  49.02941
    300,2020-03-04T01:25:46.839+01:00,   0.198E-02,  49.24449
    400,2020-03-04T01:32:48.500+01:00,   0.196E-02,  49.43191
    500,2020-03-04T01:39:49.099+01:00,   0.190E-02,  49.63422
    600,2020-03-04T01:46:52.920+01:00,   0.178E-02,  49.82744
    700,2020-03-04T01:53:52.754+01:00,   0.176E-02,  50.00150
    800,2020-03-04T02:01:17.003+01:00,   0.521E-03,  50.12902
    900,2020-03-04T02:08:36.414+01:00,   0.110E-02,  50.21131
   1000,2020-03-04T02:15:38.647+01:00,   0.110E-02,  50.32151
   1100,2020-03-04T02:22:43.742+01:00,   0.110E-02,  50.43172
   1200,2020-03-04T02:29:49.853+01:00,   0.110E-02,  50.54192
   1300,2020-03-04T02:36:53.545+01:00,   0.110E-02,  50.65213
   1400,2020-03-04T02:43:58.257+01:00,   0.110E-02,  50.76233
   1500,2020-03-04T02:51:05.113+01:00,   0.110E-02,  50.87254
   1600,2020-03-04T02:58:10.490+01:00,   0.110E-02,  50.98274
   1700,2020-03-04T03:05:14.103+01:00,   0.121E-02,  51.10044
   1800,2020-03-04T03:12:18.866+01:00,   0.121E-02,  51.22167
   1900,2020-03-04T03:19:22.217+01:00,   0.121E-02,  51.34289
   2000,2020-03-04T03:26:26.500+01:00,   0.121E-02,  51.46412
   2100,2020-03-04T03:33:30.331+01:00,   0.121E-02,  51.58534
   2200,2020-03-04T03:40:36.854+01:00,   0.121E-02,  51.70657
   2300,2020-03-04T03:47:44.295+01:00,   0.116E-02,  51.81425
   2400,2020-03-04T03:54:51.799+01:00,   0.116E-02,  51.93046
   2500,2020-03-04T04:01:58.303+01:00,   0.116E-02,  52.04667
   2600,2020-03-04T04:09:05.004+01:00,   0.116E-02,  52.16289
   2700,2020-03-04T04:16:12.937+01:00,   0.116E-02,  52.27910
   2800,2020-03-04T04:23:19.181+01:00,   0.116E-02,  52.39531
   2900,2020-03-04T04:30:24.287+01:00,   0.116E-02,  52.51153
   3000,2020-03-04T04:37:31.437+01:00,   0.116E-02,  52.62774
   3100,2020-03-04T04:44:57.953+01:00,   0.742E-03,  52.73040
   3200,2020-03-04T04:52:41.807+01:00,   0.742E-03,  52.80463
   3300,2020-03-04T05:00:27.623+01:00,   0.742E-03,  52.87886
