,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2020-03-04T13:24:05.121+01:00,   0.289E-01,  48.02887
      2,2020-03-04T13:24:07.705+01:00,   0.289E-01,  48.05774
      3,2020-03-04T13:24:10.225+01:00,   0.289E-01,  48.08660
      4,2020-03-04T13:24:13.004+01:00,   0.289E-01,  48.11547
      5,2020-03-04T13:24:15.633+01:00,   0.289E-01,  48.14434
      6,2020-03-04T13:24:18.452+01:00,   0.289E-01,  48.17321
      7,2020-03-04T13:24:22.348+01:00,   0.222E-01,  48.19540
      8,2020-03-04T13:24:25.286+01:00,   0.222E-01,  48.21759
      9,2020-03-04T13:24:28.139+01:00,   0.222E-01,  48.23978
     10,2020-03-04T13:24:31.026+01:00,   0.222E-01,  48.26197
     20,2020-03-04T13:25:04.458+01:00,   0.121E-01,  48.44276
     30,2020-03-04T13:25:37.242+01:00,   0.666E-02,  48.53112
     40,2020-03-04T13:26:06.883+01:00,   0.580E-02,  48.59173
     50,2020-03-04T13:26:36.178+01:00,   0.580E-02,  48.64976
     60,2020-03-04T13:27:08.227+01:00,   0.452E-02,  48.70134
     70,2020-03-04T13:27:38.926+01:00,   0.401E-02,  48.74555
     80,2020-03-04T13:28:09.686+01:00,   0.356E-02,  48.78388
     90,2020-03-04T13:28:42.157+01:00,   0.261E-02,  48.81467
    100,2020-03-04T13:29:12.661+01:00,   0.261E-02,  48.84080
    200,2020-03-04T13:34:31.643+01:00,   0.203E-02,  49.02941
    300,2020-03-04T13:39:46.646+01:00,   0.198E-02,  49.24449
    400,2020-03-04T13:45:03.935+01:00,   0.196E-02,  49.43191
    500,2020-03-04T13:50:20.397+01:00,   0.190E-02,  49.63422
    600,2020-03-04T13:55:49.297+01:00,   0.178E-02,  49.82744
    700,2020-03-04T14:01:05.658+01:00,   0.263E-03,  50.00000
