s,Pa,m/s,Pa,Pa
Time,"Pressure","Velocity","Pressure Ambient","Pressure Compartment"
 0.0000000E+000,-2.5122720E-005, 0.0000000E+000, 1.0132031E+005, 1.0131093E+005
 1.5016602E+001, 9.5807760E+002,-1.7251947E+000, 1.0131996E+005, 1.0225176E+005
 3.0045639E+001, 9.9899857E+002,-3.6187729E-001, 1.0132025E+005, 1.0231319E+005
 4.5035963E+001, 9.9353394E+002, 5.2453349E-001, 1.0132023E+005, 1.0230795E+005
 6.0045476E+001, 9.9257328E+002, 6.2291323E-001, 1.0132025E+005, 1.0230715E+005
 7.5004181E+001, 9.9193888E+002, 6.7187382E-001, 1.0132022E+005, 1.0230636E+005
 9.0058558E+001, 9.9016607E+002, 7.6327654E-001, 1.0132019E+005, 1.0230464E+005
 1.0501466E+002, 9.9063211E+002, 7.3608737E-001, 1.0131987E+005, 1.0230481E+005
 1.2000270E+002, 9.8921929E+002, 5.9200788E-001, 1.0131995E+005, 1.0230322E+005
 1.3501613E+002, 9.8396973E+002, 4.2059395E-001, 1.0131993E+005, 1.0229783E+005
 1.5001153E+002, 9.8974085E+002, 5.1116871E-001, 1.0131986E+005, 1.0230380E+005
 1.6502135E+002, 9.8887709E+002, 5.8223596E-001, 1.0132008E+005, 1.0230248E+005
 1.8000554E+002, 9.8897891E+002, 2.8704452E-001, 1.0132004E+005, 1.0230262E+005
 1.9504616E+002, 9.8544529E+002, 6.4773673E-001, 1.0132005E+005, 1.0229921E+005
 2.1000732E+002, 9.9082687E+002, 4.7119326E-001, 1.0132007E+005, 1.0230468E+005
 2.2502705E+002, 9.8942530E+002, 6.2485187E-001, 1.0131982E+005, 1.0230333E+005
 2.4002874E+002, 9.8971377E+002, 6.8573828E-001, 1.0132000E+005, 1.0230340E+005
 2.5503441E+002, 9.9268977E+002, 6.3608958E-001, 1.0131980E+005, 1.0230658E+005
 2.7002914E+002, 9.8902061E+002, 5.8421304E-001, 1.0132015E+005, 1.0230270E+005
 2.8504130E+002, 9.8967136E+002, 4.8617940E-001, 1.0131944E+005, 1.0230339E+005
 3.0003749E+002, 9.9114628E+002, 6.1081072E-001, 1.0131987E+005, 1.0230488E+005
 3.1502674E+002, 9.9270650E+002, 6.7834219E-001, 1.0131997E+005, 1.0230647E+005
 3.3003061E+002, 9.9246687E+002, 6.7303357E-001, 1.0132019E+005, 1.0230636E+005
 3.4502966E+002, 9.9162503E+002, 7.0628531E-001, 1.0132008E+005, 1.0230536E+005
 3.6002675E+002, 9.9124891E+002, 5.9644034E-001, 1.0132018E+005, 1.0230513E+005
 3.7501207E+002, 9.9156375E+002, 6.0691041E-001, 1.0132018E+005, 1.0230532E+005
 3.9004543E+002, 9.9049969E+002, 5.7062638E-001, 1.0131973E+005, 1.0230431E+005
 4.0505800E+002, 9.9133867E+002, 7.3780824E-001, 1.0132020E+005, 1.0230509E+005
 4.2002911E+002, 9.9288514E+002, 4.7983709E-001, 1.0132003E+005, 1.0230680E+005
 4.3500172E+002, 9.9172215E+002, 6.5149319E-001, 1.0132002E+005, 1.0230557E+005
 4.5000996E+002, 9.9087594E+002, 6.9800468E-001, 1.0132017E+005, 1.0230476E+005
 4.6500222E+002, 9.9187976E+002, 6.4168025E-001, 1.0132019E+005, 1.0230565E+005
 4.8001071E+002, 9.9207320E+002, 6.3394180E-001, 1.0132016E+005, 1.0230587E+005
 4.9504614E+002, 9.9218230E+002, 6.7736211E-001, 1.0132020E+005, 1.0230605E+005
 5.1004483E+002, 9.8984684E+002, 6.8513577E-001, 1.0132015E+005, 1.0230358E+005
 5.2500893E+002, 9.9124344E+002, 4.4166783E-001, 1.0131979E+005, 1.0230499E+005
 5.4001635E+002, 9.9069645E+002, 4.9554082E-001, 1.0131977E+005, 1.0230442E+005
 5.5503343E+002, 9.8773607E+002, 6.1985841E-001, 1.0131948E+005, 1.0230141E+005
 5.7005097E+002, 9.9233487E+002, 5.9048928E-001, 1.0131991E+005, 1.0230602E+005
 5.8501519E+002, 9.9080368E+002, 5.9617842E-001, 1.0132011E+005, 1.0230480E+005
 6.0000710E+002, 9.8934260E+002, 6.5547053E-001, 1.0132014E+005, 1.0230318E+005
