s,Pa,m/s,Pa,Pa
Time,"Pressure","Velocity","Pressure Ambient","Pressure Compartment"
 0.0000000E+000,-2.5122720E-005, 0.0000000E+000, 1.0132031E+005, 1.0131093E+005
 1.5016602E+001, 9.5807760E+002,-1.7251947E+000, 1.0131996E+005, 1.0225176E+005
 3.0045640E+001, 9.9899857E+002,-3.6187733E-001, 1.0132025E+005, 1.0231319E+005
 4.5036290E+001, 9.9353372E+002, 5.2452725E-001, 1.0132023E+005, 1.0230795E+005
 6.0034561E+001, 9.9260315E+002, 6.2175896E-001, 1.0132025E+005, 1.0230716E+005
 7.5039770E+001, 9.9092924E+002, 6.6831055E-001, 1.0132021E+005, 1.0230549E+005
 9.0015163E+001, 9.9123029E+002, 6.2824090E-001, 1.0131985E+005, 1.0230557E+005
 1.0501706E+002, 9.8794546E+002, 7.4891165E-001, 1.0132003E+005, 1.0230240E+005
 1.2002525E+002, 9.8929542E+002, 4.9278419E-001, 1.0131988E+005, 1.0230279E+005
 1.3500673E+002, 9.8737296E+002, 6.7411210E-001, 1.0132006E+005, 1.0230154E+005
 1.5005755E+002, 9.8802994E+002, 7.3110100E-001, 1.0132008E+005, 1.0230190E+005
 1.6505303E+002, 9.9046056E+002, 3.4273490E-001, 1.0132006E+005, 1.0230426E+005
 1.8005151E+002, 9.8777827E+002, 4.6583768E-001, 1.0131893E+005, 1.0230136E+005
 1.9502230E+002, 9.9118008E+002, 6.1918598E-001, 1.0131998E+005, 1.0230494E+005
 2.1000327E+002, 9.9087861E+002, 6.8555587E-001, 1.0132018E+005, 1.0230465E+005
 2.2503390E+002, 9.9018292E+002, 6.1757894E-001, 1.0132003E+005, 1.0230399E+005
 2.4003488E+002, 9.9209493E+002, 6.6810295E-001, 1.0132011E+005, 1.0230604E+005
 2.5501740E+002, 9.9202483E+002, 7.0641560E-001, 1.0132002E+005, 1.0230578E+005
 2.7003528E+002, 9.9151692E+002, 6.1426245E-001, 1.0132015E+005, 1.0230537E+005
 2.8500196E+002, 9.8957822E+002, 5.0480831E-001, 1.0132005E+005, 1.0230318E+005
 3.0001300E+002, 9.9110098E+002, 4.9645037E-001, 1.0132008E+005, 1.0230495E+005
 3.1503129E+002, 9.9070124E+002, 7.0453843E-001, 1.0131994E+005, 1.0230449E+005
 3.3001845E+002, 9.9063490E+002, 5.7757673E-001, 1.0132000E+005, 1.0230437E+005
 3.4501810E+002, 9.9068051E+002, 6.2583165E-001, 1.0132016E+005, 1.0230457E+005
 3.6002243E+002, 9.9138283E+002, 5.6104015E-001, 1.0132009E+005, 1.0230531E+005
 3.7504339E+002, 9.9021317E+002, 5.4986336E-001, 1.0131983E+005, 1.0230399E+005
 3.9006823E+002, 9.8414847E+002, 4.0662063E-001, 1.0131339E+005, 1.0229634E+005
 4.0503771E+002, 9.9109040E+002, 6.9087512E-001, 1.0132012E+005, 1.0230488E+005
 4.2005219E+002, 9.8931374E+002, 5.9074755E-001, 1.0131975E+005, 1.0230318E+005
 4.3501845E+002, 9.9103841E+002, 7.1611249E-001, 1.0132020E+005, 1.0230493E+005
 4.5003035E+002, 9.9080339E+002, 6.4829659E-001, 1.0131993E+005, 1.0230449E+005
 4.6502748E+002, 9.9176615E+002, 6.0556416E-001, 1.0132016E+005, 1.0230564E+005
 4.8003618E+002, 9.8879019E+002, 5.9743535E-001, 1.0131934E+005, 1.0230243E+005
 4.9500841E+002, 9.9001811E+002, 3.7857637E-001, 1.0131837E+005, 1.0230307E+005
 5.1000020E+002, 9.8956787E+002, 7.1474397E-001, 1.0132009E+005, 1.0230357E+005
 5.2503499E+002, 9.9089028E+002, 7.4678721E-001, 1.0132016E+005, 1.0230465E+005
 5.4000793E+002, 9.9252783E+002, 5.0891669E-001, 1.0131994E+005, 1.0230614E+005
 5.5502758E+002, 9.9072768E+002, 6.6658853E-001, 1.0131983E+005, 1.0230463E+005
 5.7003698E+002, 9.9162187E+002, 4.9879143E-001, 1.0131981E+005, 1.0230535E+005
 5.8501128E+002, 9.8997651E+002, 6.6164243E-001, 1.0132007E+005, 1.0230361E+005
 6.0002314E+002, 9.9187025E+002, 4.2859990E-001, 1.0131968E+005, 1.0230564E+005
