,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2020-02-19T19:33:26.381+01:00,   0.177E+00,   0.17678
      2,2020-02-19T19:33:26.417+01:00,   0.177E+00,   0.35355
      3,2020-02-19T19:33:26.451+01:00,   0.177E+00,   0.53033
      4,2020-02-19T19:33:26.495+01:00,   0.177E+00,   0.70711
      5,2020-02-19T19:33:26.529+01:00,   0.177E+00,   0.88388
      6,2020-02-19T19:33:26.577+01:00,   0.643E-01,   0.94819
      7,2020-02-19T19:33:26.626+01:00,   0.643E-01,   1.01250
      8,2020-02-19T19:33:26.663+01:00,   0.643E-01,   1.07681
      9,2020-02-19T19:33:26.711+01:00,   0.539E-01,   1.13066
     10,2020-02-19T19:33:26.756+01:00,   0.539E-01,   1.18451
     20,2020-02-19T19:33:27.157+01:00,   0.366E-01,   1.63352
     30,2020-02-19T19:33:27.523+01:00,   0.366E-01,   1.99961
     40,2020-02-19T19:33:27.890+01:00,   0.403E-01,   2.37303
     50,2020-02-19T19:33:28.248+01:00,   0.403E-01,   2.77573
     60,2020-02-19T19:33:28.613+01:00,   0.403E-01,   3.17843
     70,2020-02-19T19:33:28.982+01:00,   0.403E-01,   3.58113
     80,2020-02-19T19:33:29.355+01:00,   0.403E-01,   3.98383
     90,2020-02-19T19:33:29.713+01:00,   0.403E-01,   4.38653
    100,2020-02-19T19:33:30.082+01:00,   0.403E-01,   4.78923
    200,2020-02-19T19:33:33.720+01:00,   0.403E-01,   8.81623
    300,2020-02-19T19:33:37.371+01:00,   0.403E-01,  12.84323
    400,2020-02-19T19:33:41.202+01:00,   0.412E-01,  17.01598
    500,2020-02-19T19:33:44.980+01:00,   0.452E-01,  21.77774
    600,2020-02-19T19:33:48.803+01:00,   0.438E-01,  26.64241
    700,2020-02-19T19:33:52.605+01:00,   0.518E-01,  31.48772
    800,2020-02-19T19:33:56.480+01:00,   0.423E-01,  36.06032
    900,2020-02-19T19:34:00.348+01:00,   0.423E-01,  40.83110
   1000,2020-02-19T19:34:04.167+01:00,   0.583E-01,  46.08479
   1100,2020-02-19T19:34:07.979+01:00,   0.495E-01,  51.43156
   1200,2020-02-19T19:34:11.785+01:00,   0.614E-01,  56.96900
   1300,2020-02-19T19:34:15.587+01:00,   0.533E-01,  62.40483
   1400,2020-02-19T19:34:19.420+01:00,   0.474E-01,  67.56743
   1500,2020-02-19T19:34:23.265+01:00,   0.606E-01,  72.69545
   1600,2020-02-19T19:34:27.226+01:00,   0.644E-01,  78.10503
   1700,2020-02-19T19:34:31.441+01:00,   0.528E-01,  83.55488
   1800,2020-02-19T19:34:35.531+01:00,   0.648E-01,  89.27977
   1900,2020-02-19T19:34:39.455+01:00,   0.576E-01,  95.07502
   2000,2020-02-19T19:34:43.440+01:00,   0.684E-01, 100.74984
   2100,2020-02-19T19:34:47.460+01:00,   0.550E-01, 106.73532
   2200,2020-02-19T19:34:51.432+01:00,   0.584E-01, 112.75400
   2300,2020-02-19T19:34:55.576+01:00,   0.663E-01, 118.63716
   2400,2020-02-19T19:34:59.588+01:00,   0.685E-01, 124.37299
   2500,2020-02-19T19:35:03.578+01:00,   0.664E-01, 130.21442
   2600,2020-02-19T19:35:07.577+01:00,   0.623E-01, 135.75570
   2700,2020-02-19T19:35:11.498+01:00,   0.689E-01, 142.16019
   2800,2020-02-19T19:35:15.509+01:00,   0.533E-01, 148.07892
   2900,2020-02-19T19:35:19.418+01:00,   0.579E-01, 153.52707
   3000,2020-02-19T19:35:23.394+01:00,   0.682E-01, 159.90603
   3100,2020-02-19T19:35:27.321+01:00,   0.644E-01, 165.63267
   3200,2020-02-19T19:35:31.230+01:00,   0.617E-01, 171.84867
   3300,2020-02-19T19:35:36.139+01:00,   0.521E-01, 176.03447
   3400,2020-02-19T19:35:40.076+01:00,   0.603E-01, 182.05767
   3500,2020-02-19T19:35:44.129+01:00,   0.589E-01, 188.30239
   3600,2020-02-19T19:35:48.214+01:00,   0.546E-01, 194.22375
   3700,2020-02-19T19:35:52.203+01:00,   0.568E-01, 200.29079
   3800,2020-02-19T19:35:56.119+01:00,   0.793E-01, 207.24838
   3900,2020-02-19T19:35:59.976+01:00,   0.580E-01, 212.08186
   4000,2020-02-19T19:36:04.125+01:00,   0.720E-01, 218.51400
   4100,2020-02-19T19:36:08.011+01:00,   0.674E-01, 224.41382
   4200,2020-02-19T19:36:12.054+01:00,   0.656E-01, 231.30591
   4300,2020-02-19T19:36:15.951+01:00,   0.371E-01, 236.12937
   4400,2020-02-19T19:36:19.724+01:00,   0.543E-01, 240.60293
   4500,2020-02-19T19:36:23.821+01:00,   0.494E-01, 246.29796
   4600,2020-02-19T19:36:27.629+01:00,   0.523E-01, 250.74933
   4700,2020-02-19T19:36:31.646+01:00,   0.417E-01, 256.96009
   4800,2020-02-19T19:36:35.439+01:00,   0.496E-01, 261.27649
   4900,2020-02-19T19:36:39.339+01:00,   0.479E-01, 266.75339
   5000,2020-02-19T19:36:43.258+01:00,   0.427E-01, 271.53134
   5100,2020-02-19T19:36:47.316+01:00,   0.506E-01, 277.41730
   5200,2020-02-19T19:36:51.302+01:00,   0.559E-01, 281.60844
   5300,2020-02-19T19:36:55.294+01:00,   0.559E-01, 286.04284
   5400,2020-02-19T19:36:59.385+01:00,   0.487E-01, 290.51822
   5500,2020-02-19T19:37:03.321+01:00,   0.475E-01, 295.99401
