,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-10-13T16:34:46.702+02:00,   0.112E+00,   0.11180,  49.79417
      2,2020-10-13T16:34:47.717+02:00,   0.112E+00,   0.22361,  53.83681
      3,2020-10-13T16:34:48.891+02:00,   0.112E+00,   0.33541,  58.51454
      4,2020-10-13T16:34:49.877+02:00,   0.112E+00,   0.44721,  62.44630
      5,2020-10-13T16:34:50.827+02:00,   0.112E+00,   0.55902,  66.23400
      6,2020-10-13T16:34:52.050+02:00,   0.112E+00,   0.67082,  71.06696
      7,2020-10-13T16:34:52.982+02:00,   0.112E+00,   0.78262,  74.77966
      8,2020-10-13T16:34:53.968+02:00,   0.112E+00,   0.89443,  78.71466
      9,2020-10-13T16:34:55.181+02:00,   0.112E+00,   1.00623,  83.53702
     10,2020-10-13T16:34:56.167+02:00,   0.112E+00,   1.11803,  87.47119
     20,2020-10-13T16:35:06.500+02:00,   0.112E+00,   2.23607, 128.64375
     30,2020-10-13T16:35:17.082+02:00,   0.112E+00,   3.35410, 170.76085
     40,2020-10-13T16:35:27.440+02:00,   0.112E+00,   4.47214, 212.04364
     50,2020-10-13T16:35:37.765+02:00,   0.112E+00,   5.59017, 253.21313
     60,2020-10-13T16:35:48.320+02:00,   0.112E+00,   6.70820, 295.33466
     70,2020-10-13T16:35:58.695+02:00,   0.112E+00,   7.82624, 336.68968
     80,2020-10-13T16:36:09.056+02:00,   0.112E+00,   8.94427, 378.07667
     90,2020-10-13T16:36:19.742+02:00,   0.112E+00,  10.06231, 420.76658
    100,2020-10-13T16:36:30.168+02:00,   0.112E+00,  11.18034, 462.27214
    200,2020-10-13T16:38:14.865+02:00,   0.112E+00,  22.36068, 880.33563
    300,2020-10-13T16:40:00.207+02:00,   0.100E+00,  32.84169,1300.68383
    400,2020-10-13T16:41:45.395+02:00,   0.884E-01,  41.81797,1720.62437
    500,2020-10-13T16:43:30.308+02:00,   0.861E-01,  50.44531,2139.62544
    600,2020-10-13T16:45:17.538+02:00,   0.700E-01,  58.18713,2568.01328
    700,2020-10-13T16:47:03.946+02:00,   0.756E-01,  65.58350,2992.92245
    800,2020-10-13T16:48:52.752+02:00,   0.662E-01,  72.54246,3427.58376
    900,2020-10-13T16:50:40.506+02:00,   0.698E-01,  79.34784,3857.91314
   1000,2020-10-13T16:52:28.490+02:00,   0.646E-01,  85.59496,4289.36587
   1100,2020-10-13T16:54:17.419+02:00,   0.601E-01,  91.73737,4724.42895
   1200,2020-10-13T16:56:06.980+02:00,   0.604E-01,  97.70150,5162.11189
   1300,2020-10-13T16:57:56.878+02:00,   0.559E-01, 103.31014,5601.11011
   1400,2020-10-13T16:59:47.012+02:00,   0.589E-01, 108.84886,6040.99501
   1500,2020-10-13T17:01:37.610+02:00,   0.458E-01, 114.56445,6482.80378
   1600,2020-10-13T17:03:28.411+02:00,   0.454E-01, 119.72186,6925.46905
   1700,2020-10-13T17:05:18.921+02:00,   0.412E-01, 124.78949,7366.55756
   1800,2020-10-13T17:07:10.175+02:00,   0.495E-01, 129.85638,7810.93072
   1900,2020-10-13T17:09:01.553+02:00,   0.524E-01, 134.78599,8255.78665
   2000,2020-10-13T17:10:52.788+02:00,   0.483E-01, 139.87977,8699.95559
   2100,2020-10-13T17:12:44.278+02:00,   0.453E-01, 144.62260,9145.15936
   2200,2020-10-13T17:14:34.039+02:00,   0.462E-01, 149.40350,9583.39722
   2300,2020-10-13T17:16:24.123+02:00,   0.506E-01, 153.91027,**********
   2400,2020-10-13T17:18:15.666+02:00,   0.446E-01, 158.29466,**********
