,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-10-12T14:25:38.186+02:00,   0.112E+00,   0.11180,  70.81022
      2,2020-10-12T14:25:43.752+02:00,   0.112E+00,   0.22361,  81.90517
      3,2020-10-12T14:25:48.989+02:00,   0.112E+00,   0.33541,  92.37281
      4,2020-10-12T14:25:54.859+02:00,   0.112E+00,   0.44721, 104.02160
      5,2020-10-12T14:25:59.827+02:00,   0.112E+00,   0.55902, 113.95389
      6,2020-10-12T14:26:04.920+02:00,   0.112E+00,   0.67082, 124.12312
      7,2020-10-12T14:26:10.611+02:00,   0.112E+00,   0.78262, 135.49764
      8,2020-10-12T14:26:15.731+02:00,   0.112E+00,   0.89443, 145.70001
      9,2020-10-12T14:26:20.846+02:00,   0.112E+00,   1.00623, 155.77067
     10,2020-10-12T14:26:26.813+02:00,   0.112E+00,   1.11803, 167.57590
     20,2020-10-12T14:27:20.573+02:00,   0.112E+00,   2.23607, 274.80093
     30,2020-10-12T14:28:16.878+02:00,   0.112E+00,   3.35410, 386.93581
     40,2020-10-12T14:29:10.262+02:00,   0.112E+00,   4.47214, 493.20981
     50,2020-10-12T14:30:02.479+02:00,   0.112E+00,   5.59017, 597.19756
     60,2020-10-12T14:30:54.882+02:00,   0.112E+00,   6.70820, 701.50876
     70,2020-10-12T14:31:47.634+02:00,   0.112E+00,   7.82624, 806.56772
     80,2020-10-12T14:32:39.819+02:00,   0.112E+00,   8.94427, 910.54850
     90,2020-10-12T14:33:32.491+02:00,   0.112E+00,  10.06231,1015.46908
    100,2020-10-12T14:34:25.564+02:00,   0.112E+00,  11.18034,1121.24387
    200,2020-10-12T14:43:14.544+02:00,   0.112E+00,  22.36068,2174.96563
    300,2020-10-12T14:52:13.481+02:00,   0.967E-01,  33.11963,3247.86958
    400,2020-10-12T15:01:43.501+02:00,   0.878E-01,  42.08543,4383.38431
    500,2020-10-12T15:11:41.841+02:00,   0.783E-01,  50.31921,5575.18899
    600,2020-10-12T15:22:34.709+02:00,   0.665E-01,  57.69173,6876.12749
    700,2020-10-12T15:33:58.979+02:00,   0.742E-01,  64.58820,8239.57254
    800,2020-10-12T15:46:13.658+02:00,   0.587E-01,  71.00241,9703.10996
    900,2020-10-12T15:58:49.649+02:00,   0.545E-01,  77.16103,**********
   1000,2020-10-12T16:11:51.178+02:00,   0.627E-01,  83.12235,**********
   1100,2020-10-12T16:24:50.023+02:00,   0.447E-01,  89.06304,**********
   1200,2020-10-12T16:38:11.898+02:00,   0.570E-01,  94.80162,**********
   1300,2020-10-12T16:52:15.649+02:00,   0.470E-01, 100.40133,**********
   1400,2020-10-12T17:06:42.146+02:00,   0.482E-01, 105.77131,**********
   1500,2020-10-12T17:21:22.549+02:00,   0.522E-01, 111.15669,**********
   1600,2020-10-12T17:36:51.276+02:00,   0.482E-01, 116.40940,**********
   1700,2020-10-12T17:51:59.224+02:00,   0.474E-01, 121.64962,**********
   1800,2020-10-12T18:07:29.284+02:00,   0.522E-01, 126.76463,**********
   1900,2020-10-12T18:23:56.502+02:00,   0.483E-01, 131.58463,**********
   2000,2020-10-12T18:40:14.054+02:00,   0.434E-01, 136.24780,**********
   2100,2020-10-12T18:55:43.181+02:00,   0.502E-01, 140.80013,**********
   2200,2020-10-12T19:12:05.516+02:00,   0.535E-01, 145.48989,**********
   2300,2020-10-12T19:29:02.278+02:00,   0.463E-01, 150.12520,**********
   2400,2020-10-12T19:46:00.865+02:00,   0.387E-01, 154.54974,**********
   2500,2020-10-12T20:03:20.331+02:00,   0.439E-01, 158.96504,**********
   2600,2020-10-12T20:20:56.711+02:00,   0.438E-01, 163.29206,**********
   2700,2020-10-12T20:39:25.282+02:00,   0.405E-01, 167.67405,**********
   2800,2020-10-12T20:56:51.055+02:00,   0.472E-01, 172.04330,**********
   2900,2020-10-12T21:13:36.644+02:00,   0.421E-01, 176.34788,**********
   3000,2020-10-12T21:30:06.902+02:00,   0.412E-01, 180.59655,**********
   3100,2020-10-12T21:46:51.283+02:00,   0.398E-01, 184.87627,**********
   3200,2020-10-12T22:04:55.608+02:00,   0.397E-01, 189.12381,**********
   3300,2020-10-12T22:22:37.779+02:00,   0.445E-01, 193.35327,**********
