s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000, 2.3338304E+001, 2.1876251E-002,-1.4459458E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3215586E+001, 0.0000000E+000, 0.0000000E+000
 1.0062306E+000, 2.3126141E+000, 2.4993900E+001, 4.9236948E-001, 1.5752747E+000,-5.3861671E-004, 0.0000000E+000, 0.0000000E+000, 2.6132114E+001, 2.9373620E+001, 1.2751097E-004, 1.2751097E-004
 2.0124612E+000, 7.7477450E+000, 2.2729981E+001, 5.3857915E-001, 1.2398716E+000,-1.3388355E-003, 0.0000000E+000, 0.0000000E+000, 3.1742083E+001, 3.2254838E+001, 3.4002926E-004, 3.4002926E-004
 3.0186918E+000, 1.3901434E+001, 2.2776462E+001, 6.3189110E-001, 8.6720879E-001,-2.3723291E-003, 0.0000000E+000, 0.0000000E+000, 3.7477906E+001, 3.8174624E+001, 5.9505121E-004, 5.9505121E-004
 4.0249224E+000, 1.9989522E+001, 2.2730036E+001, 7.2166272E-001, 8.3788368E-001,-3.5299011E-003, 0.0000000E+000, 0.0000000E+000, 4.3455995E+001, 4.4275575E+001, 8.2882133E-004, 8.2882133E-004
 5.0311527E+000, 2.5786251E+001, 1.9415513E+001, 7.3915327E-001, 6.4597835E-001,-4.6923063E-003, 0.0000000E+000, 0.0000000E+000, 4.6648034E+001, 4.6582203E+001, 1.0413396E-003, 1.0413396E-003
 6.0373836E+000, 3.1832029E+001, 1.5240125E+001, 7.3313256E-001, 2.7296541E-001,-5.8666105E-003, 0.0000000E+000, 0.0000000E+000, 4.7744805E+001, 4.8072385E+001, 1.2751097E-003, 1.2751097E-003
 7.0436139E+000, 3.7378990E+001, 1.2920079E+001, 7.4065425E-001, 8.7377171E-002,-6.8609832E-003, 0.0000000E+000, 0.0000000E+000, 5.0822264E+001, 5.1120240E+001, 1.4876280E-003, 1.4876280E-003
 8.0498447E+000, 4.3545185E+001, 1.0541010E+001, 7.4319847E-001, 8.2347530E-004,-8.0326082E-003, 0.0000000E+000, 0.0000000E+000, 5.4403308E+001, 5.4822185E+001, 1.7426500E-003, 1.7426500E-003
 9.0560751E+000, 4.9607063E+001, 6.6155763E+000, 6.9275906E-001,-3.4754132E-001,-9.1050443E-003, 0.0000000E+000, 0.0000000E+000, 5.6252753E+001, 5.6558752E+001, 1.9764201E-003, 1.9764201E-003
 1.0062305E+001, 5.5417880E+001, 3.5968471E+000, 6.3048070E-001,-9.5961817E-001,-1.0072823E-002, 0.0000000E+000, 0.0000000E+000, 5.8326028E+001, 5.8675517E+001, 2.1889384E-003, 2.1889384E-003
 1.1068537E+001, 6.1463073E+001, 1.4488565E+000, 5.6414751E-001,-1.6033244E+000,-1.1134980E-002, 0.0000000E+000, 0.0000000E+000, 6.1534250E+001, 6.1861617E+001, 2.4227085E-003, 2.4227085E-003
 1.2074767E+001, 6.7008146E+001,-3.2784615E-001, 4.6537116E-001,-2.2106894E+000,-1.2115712E-002, 0.0000000E+000, 0.0000000E+000, 6.4515905E+001, 6.4922866E+001, 2.6352268E-003, 2.6352268E-003
 1.3080997E+001, 7.3163710E+001,-2.1422711E+000, 3.4582544E-001,-2.9227611E+000,-1.3274682E-002, 0.0000000E+000, 0.0000000E+000, 6.7973487E+001, 6.8431229E+001, 2.8902487E-003, 2.8902487E-003
 1.4087228E+001, 7.9252339E+001,-4.1244065E+000, 2.0405858E-001,-3.6722611E+000,-1.4341656E-002, 0.0000000E+000, 0.0000000E+000, 7.1043034E+001, 7.1645388E+001, 3.1240189E-003, 3.1240189E-003
 1.5093459E+001, 8.5048743E+001,-5.6260482E+000, 7.0774756E-002,-4.2405602E+000,-1.5304755E-002, 0.0000000E+000, 0.0000000E+000, 7.4758127E+001, 7.5237604E+001, 3.3365371E-003, 3.3365371E-003
 1.6099689E+001, 9.1110497E+001,-7.3803724E+000,-4.9711266E-002,-4.8874324E+000,-1.6367403E-002, 0.0000000E+000, 0.0000000E+000, 7.8413383E+001, 7.8776614E+001, 3.5703073E-003, 3.5703073E-003
 1.7105921E+001, 9.6644528E+001,-9.7596104E+000,-1.7417310E-001,-5.6544584E+000,-1.7337204E-002, 0.0000000E+000, 0.0000000E+000, 8.0717905E+001, 8.1038949E+001, 3.7828256E-003, 3.7828256E-003
 1.8000347E+001, 1.0194467E+002,-1.1875142E+001,-2.7907751E-001,-6.3504801E+000,-1.8264900E-002, 0.0000000E+000, 0.0000000E+000, 8.2992091E+001, 8.3421706E+001, 3.9926874E-003, 3.9926874E-003
