Time Step,Iteration,Total,Mesh,I,J,K,Velocity Error,Mesh,I,J,K,Pressure Error
      1,      1,      1,      1,     27,     31,     20,  0.34694470E-17,      2,     45,     13,     11,  0.31786579E+07
      1,      2,      2,      1,     27,     31,     20,  0.34694470E-17,      2,     45,     13,     11,  0.13905833E+15
      1,      3,      3,      1,     27,     31,     20,  0.34694470E-17,      2,     45,     13,     11,  0.67923799E+22
      1,      4,      4,      1,     27,     31,     20,  0.34694470E-17,      2,     45,     13,     11,  0.37443486E+30
      1,      5,      5,      1,     27,     31,     20,  0.34694470E-17,      2,     45,     13,     11,  0.20008297E+38
      1,      6,      6,      1,     27,     31,     20,  0.34694470E-17,      2,     45,     13,     11,  0.10173611E+46
      1,      7,      7,      1,     27,     31,     20,  0.34694470E-17,      2,     45,     13,     11,  0.48788345E+53
      1,      8,      8,      1,     27,     31,     20,  0.34694470E-17,      2,     45,     13,     11,  0.22562188E+61
      1,      9,      9,      1,     27,     31,     20,  0.34694470E-17,      2,     45,     13,     11,  0.11625859E+69
      1,     10,     10,      1,     27,     31,     20,  0.34694470E-17,      2,     45,     13,     11,  0.50894723E+76
      1,      1,     11,      1,     42,     47,      8,  0.86736174E-18,      2,     45,     13,     11,  0.37321320+133
      1,      2,     12,      1,     42,     47,      8,  0.86736174E-18,      2,     57,      9,      1,  0.13077666+139
      1,      3,     13,      1,     42,     47,      8,  0.86736174E-18,      2,     57,      9,      1,  0.13077666+139
      1,      4,     14,      1,     42,     47,      8,  0.86736174E-18,      2,     57,      9,      1,  0.13077666+139
      1,      5,     15,      1,     42,     47,      8,  0.86736174E-18,      2,     57,      9,      1,  0.13077666+139
      1,      6,     16,      1,     42,     47,      8,  0.86736174E-18,      2,     57,      9,      1,  0.13077666+139
      1,      7,     17,      1,     42,     47,      8,  0.86736174E-18,      2,     57,      9,      1,  0.13077666+139
      1,      8,     18,      1,     42,     47,      8,  0.86736174E-18,      2,     57,      9,      1,  0.13077666+139
      1,      9,     19,      1,     42,     47,      8,  0.86736174E-18,      2,     57,      9,      1,  0.13077666+139
      1,     10,     20,      1,     42,     47,      8,  0.86736174E-18,      2,     57,      9,      1,  0.13077666+139
