Time Step,Iteration,Total,Mesh,I,J,K,Velocity Error,Mesh,I,J,K,Pressure Error
      1,      1,      1,      1,     27,     31,     20,  0.34694470E-17,      1,     60,     32,     22,  0.77970975E-05
      1,      1,      2,      1,     42,     47,      8,  0.86736174E-18,      2,     69,     16,     40,  0.34067720E-03
      2,      1,      3,      1,     79,     28,     31,  0.21684043E-18,      1,     66,     30,     17,  0.85244685E-05
      2,      1,      4,      1,     79,     32,     18,  0.21684043E-18,      1,     48,     32,     22,  0.98405941E-04
      3,      1,      5,      1,     79,      7,     15,  0.21684043E-18,      1,     48,     32,     20,  0.10430454E-03
      3,      1,      6,      1,     79,     33,      1,  0.21684043E-18,      1,     35,     32,     20,  0.89016834E-04
      4,      1,      7,      1,     79,     33,      1,  0.21684043E-18,      1,     33,     32,     20,  0.82676541E-04
      4,      1,      8,      1,     79,     29,     17,  0.21684043E-18,      1,     60,     32,     20,  0.20488654E-03
      5,      1,      9,      1,     79,     33,      1,  0.21684043E-18,      2,      7,     32,     22,  0.24227784E-03
      5,      1,     10,      1,     79,     13,     17,  0.21684043E-18,      1,     66,     21,      8,  0.36468195E-03
      6,      1,     11,      1,     79,     25,      3,  0.21684043E-18,      2,      7,     32,     22,  0.49128772E-03
      6,      1,     12,      1,     79,     25,      3,  0.21684043E-18,      1,     65,     21,      8,  0.68062110E-03
      7,      1,     13,      1,     79,     25,      3,  0.21684043E-18,      1,     65,     21,      8,  0.86821339E-03
      7,      1,     14,      1,     79,     25,      3,  0.21684043E-18,      1,     65,     21,      8,  0.82072946E-03
      8,      1,     15,      1,     79,     31,      3,  0.21684043E-18,      1,     65,     21,      8,  0.98142879E-03
      8,      1,     16,      1,     79,     49,     38,  0.43368087E-18,      1,     65,     21,      8,  0.76336257E-03
      9,      1,     17,      1,     79,     11,     15,  0.21684043E-18,      1,     65,     21,      8,  0.81635243E-03
      9,      1,     18,      1,     79,     45,      7,  0.21684043E-18,      2,     20,     32,     22,  0.92319749E-03
     10,      1,     19,      1,     79,     59,     22,  0.21684043E-18,      2,     20,     32,     22,  0.81399441E-03
     10,      1,     20,      1,     79,     25,      3,  0.21684043E-18,      2,     20,     32,     22,  0.96265599E-03
     11,      1,     21,      1,     79,     46,      7,  0.43368087E-18,      2,      7,     32,     22,  0.10017217E-02
     11,      1,     22,      1,     79,     46,      7,  0.43368087E-18,      2,     20,     32,     22,  0.12142832E-02
     12,      1,     23,      1,     79,     49,     38,  0.43368087E-18,      2,      7,     32,     22,  0.12297591E-02
     12,      1,     24,      1,     79,     11,     15,  0.21684043E-18,      1,     65,     21,      8,  0.66170538E-02
     13,      1,     25,      1,     79,     25,      3,  0.21684043E-18,      1,     62,     15,      8,  0.75526514E-02
     13,      1,     26,      1,     79,     25,      3,  0.21684043E-18,      1,     65,     21,      8,  0.12729482E-01
     14,      1,     27,      1,     79,     33,      1,  0.21684043E-18,      1,     65,     21,      8,  0.14007884E-01
     14,      1,     28,      1,     79,     10,      3,  0.21684043E-18,      1,     65,     21,      8,  0.91453234E-02
     15,      1,     29,      1,     79,     59,     22,  0.21684043E-18,      1,     62,     16,      8,  0.88491521E-02
     15,      1,     30,      1,     79,     13,     17,  0.21684043E-18,      1,     66,     16,      8,  0.60276528E-02
     16,      1,     31,      1,     79,     15,     15,  0.21684043E-18,      1,     65,     16,      9,  0.36988196E-02
     16,      1,     32,      1,     79,     15,     15,  0.21684043E-18,      1,     70,     21,      8,  0.73169376E-02
     17,      1,     33,      1,     79,     13,     17,  0.21684043E-18,      1,     70,     21,      8,  0.36451698E-02
     17,      1,     34,      1,     79,     13,     17,  0.21684043E-18,      1,     70,     21,      8,  0.87959579E-02
     18,      1,     35,      1,     79,     33,      6,  0.21684043E-18,      1,     70,     21,      8,  0.71751220E-02
     18,      1,     36,      1,     79,     37,     36,  0.43368087E-18,      1,     62,     21,      8,  0.94957427E-02
     19,      1,     37,      1,     79,      7,     15,  0.21684043E-18,      1,     70,     21,      8,  0.14714552E-01
     19,      1,     38,      1,     79,     14,      8,  0.21684043E-18,      1,     64,     21,      8,  0.23932865E-01
     20,      1,     39,      1,     79,     31,      3,  0.21684043E-18,      1,     64,     21,      8,  0.18169318E-01
     20,      1,     40,      1,     79,     29,     17,  0.21684043E-18,      1,     64,     21,      8,  0.37950098E-01
     21,      1,     41,      1,     79,     10,      3,  0.21684043E-18,      1,     64,     21,      8,  0.31748764E-01
     21,      1,     42,      1,     79,     31,      3,  0.21684043E-18,      1,     66,     16,      8,  0.26718951E-01
     22,      1,     43,      1,     79,     49,     38,  0.43368087E-18,      1,     65,     16,      9,  0.15806677E-01
     22,      1,     44,      1,     79,      4,     20,  0.21684043E-18,      1,     62,     21,      8,  0.29086341E-01
     23,      1,     45,      1,     79,     15,      7,  0.21684043E-18,      1,     70,     21,      8,  0.16600820E-01
     23,      1,     46,      1,     79,     51,      7,  0.21684043E-18,      1,     70,     21,      8,  0.33345591E-01
     24,      1,     47,      1,     79,     33,      1,  0.21684043E-18,      1,     70,     21,      8,  0.27895948E-01
     24,      1,     48,      1,     79,     33,      1,  0.21684043E-18,      1,     62,     21,      8,  0.37170467E-01
     25,      1,     49,      1,     79,     49,     38,  0.43368087E-18,      1,     70,     21,      8,  0.41483817E-01
     25,      1,     50,      1,     79,     49,     38,  0.43368087E-18,      1,     70,     21,      8,  0.45705008E-01
     26,      1,     51,      1,     79,      7,     15,  0.21684043E-18,      1,     70,     21,      8,  0.48080599E-01
     26,      1,     52,      1,     79,     19,     10,  0.21684043E-18,      1,     70,     21,      8,  0.53021389E-01
     27,      1,     53,      1,     79,     33,      6,  0.21684043E-18,      1,     62,     10,      8,  0.58786691E-01
     27,      1,     54,      1,     79,      7,     15,  0.43368087E-18,      1,     62,     21,      8,  0.73922230E-01
     28,      1,     55,      1,     79,      4,      3,  0.21684043E-18,      1,     65,     16,      9,  0.36632154E-01
     28,      1,     56,      1,     79,     10,      3,  0.21684043E-18,      1,     66,     16,      8,  0.10070583E+00
     29,      1,     57,      1,     79,     18,     15,  0.43368087E-18,      1,     65,     16,      9,  0.60872752E-01
     29,      1,     58,      1,     79,     19,     10,  0.43368087E-18,      1,     62,     21,      8,  0.90940419E-01
     30,      1,     59,      1,     79,     18,      9,  0.21684043E-18,      1,     70,     10,      8,  0.55422270E-01
     30,      1,     60,      1,     79,     17,     12,  0.43368087E-18,      1,     62,     21,      8,  0.98247866E-01
     31,      1,     61,      1,     79,     33,      1,  0.21684043E-18,      1,     62,     10,      8,  0.80577263E-01
     31,      1,     62,      1,     79,     31,      3,  0.21684043E-18,      1,     62,     10,      8,  0.10724646E+00
     32,      1,     63,      1,     79,     24,     15,  0.43368087E-18,      1,     70,     10,      8,  0.10450204E+00
     32,      1,     64,      1,     79,      4,      3,  0.21684043E-18,      1,     62,     10,      8,  0.11819787E+00
     33,      1,     65,      1,     79,     19,     13,  0.43368087E-18,      1,     70,     10,      8,  0.12353485E+00
     33,      1,     66,      1,     79,     47,     22,  0.43368087E-18,      1,     70,     10,      8,  0.13352925E+00
     34,      1,     67,      1,     79,     13,     13,  0.43368087E-18,      1,     62,     10,      8,  0.13436833E+00
     34,      1,     68,      1,     79,     18,     12,  0.43368087E-18,      1,     66,     16,      8,  0.17475324E+00
     35,      1,     69,      1,     79,     33,      1,  0.21684043E-18,      1,     70,     10,      8,  0.10721572E+00
     35,      1,     70,      1,     79,     14,     14,  0.43368087E-18,      1,     66,     16,      8,  0.22632310E+00
     36,      1,     71,      1,     79,     24,     11,  0.43368087E-18,      1,     68,     17,      9,  0.11473533E+00
     36,      1,     72,      1,     79,     24,     12,  0.43368087E-18,      1,     66,     16,      8,  0.20631927E+00
