,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-07-15T16:45:55.902+02:00,   0.106E-01,   0.01055,   0.84562
      2,2020-07-15T16:45:55.919+02:00,   0.116E-01,   0.02216,   0.90982
      3,2020-07-15T16:45:55.970+02:00,   0.106E-01,   0.03271,   1.10235
      4,2020-07-15T16:45:55.986+02:00,   0.116E-01,   0.04432,   1.16684
      5,2020-07-15T16:45:56.007+02:00,   0.106E-01,   0.05488,   1.24976
      6,2020-07-15T16:45:56.023+02:00,   0.116E-01,   0.06649,   1.31100
      7,2020-07-15T16:45:56.044+02:00,   0.106E-01,   0.07704,   1.39464
      8,2020-07-15T16:45:56.060+02:00,   0.116E-01,   0.08865,   1.45671
      9,2020-07-15T16:45:56.080+02:00,   0.106E-01,   0.09920,   1.53955
     10,2020-07-15T16:45:56.096+02:00,   0.116E-01,   0.11081,   1.60115
     20,2020-07-15T16:45:56.295+02:00,   0.116E-01,   0.22162,   2.37488
     30,2020-07-15T16:45:56.493+02:00,   0.116E-01,   0.33243,   3.14661
     40,2020-07-15T16:45:56.687+02:00,   0.116E-01,   0.44325,   3.91576
     50,2020-07-15T16:45:56.921+02:00,   0.116E-01,   0.55406,   4.82996
     60,2020-07-15T16:45:57.116+02:00,   0.116E-01,   0.66487,   5.59006
     70,2020-07-15T16:45:57.310+02:00,   0.116E-01,   0.77569,   6.34546
     80,2020-07-15T16:45:57.490+02:00,   0.116E-01,   0.88650,   7.05806
     90,2020-07-15T16:45:57.689+02:00,   0.116E-01,   0.99731,   7.83139
    100,2020-07-15T16:45:57.895+02:00,   0.116E-01,   1.10812,   8.62842
    200,2020-07-15T16:45:59.757+02:00,   0.116E-01,   2.21624,  15.97587
    300,2020-07-15T16:46:02.408+02:00,   0.116E-01,   3.32436,  26.28431
    400,2020-07-15T16:46:05.744+02:00,   0.116E-01,   4.43248,  38.50221
    500,2020-07-15T16:46:09.132+02:00,   0.116E-01,   5.54060,  50.77404
    567,2020-07-15T16:46:11.018+02:00,   0.112E-01,   6.28318,  58.08736
