s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0303847E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.2638078E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0361002E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.2955461E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0143968E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.5304573E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3022363E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0563533E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5946253E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2799916E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8300649E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.4830917E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0898615E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.7065020E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4425783E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.9095208E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1358967E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.1328416E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5250077E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.3359050E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7321109E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.5592747E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5651712E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.7625084E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8193243E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.9860654E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1155103E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.1893027E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1927701E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.4128636E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1154739E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.6159286E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1050538E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.8393000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7508184E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.0423185E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1647634E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.2656389E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7104918E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.4687369E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2538698E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.6921447E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0177515E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.8954481E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.6050969E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.1190817E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.3204141E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.3222579E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.7145657E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.5457520E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2902639E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.7487917E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6876410E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.9721351E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.0721834E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.1751628E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7918607E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.3984936E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6289643E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.6016364E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.9542565E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.8250930E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4420699E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.0284468E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.3669657E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.2521359E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2527065E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.4552619E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.0594991E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.6787001E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.1056811E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.8817230E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.1676021E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.1050491E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2580010E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.3080965E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.2709211E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.5314482E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.1080401E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.7346447E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.1614968E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.9581609E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1800194E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.1614383E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.6060512E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.3850440E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.9482955E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.5881289E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.5089692E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.8115218E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.9211711E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0014539E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.8557496E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0237858E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.5525100E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0440934E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0748623E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0664318E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.1071723E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0867578E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.9219837E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1091164E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.1355103E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1294376E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.9512217E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1517909E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4240580E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1720961E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.2707347E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1944320E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.7725736E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2147341E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0751536E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2370664E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.1088272E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2573779E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.9554854E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2797204E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.9201478E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3000538E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1629575E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3224206E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.6927987E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3427360E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.0291750E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3650830E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.8838485E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3853861E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.8234459E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.4077196E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.2940417E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.4280231E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.5110735E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.4503568E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.3301111E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.4706731E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.9243456E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.4930210E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.4766778E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
