Time, u-vel
   0.000,   1.39018
   0.020,   1.42834
   0.043,   1.46951
   0.063,   1.50616
   0.086,   1.54552
   0.106,   1.58055
   0.129,   1.61797
   0.150,   1.65106
   0.172,   1.68621
   0.193,   1.71712
   0.216,   1.74977
   0.237,   1.77830
   0.260,   1.80822
   0.281,   1.83417
   0.304,   1.86114
   0.325,   1.88428
   0.348,   1.90806
   0.369,   1.92821
   0.392,   1.94862
   0.413,   1.96564
   0.437,   1.98254
   0.458,   1.99631
   0.482,   2.00959
   0.503,   2.02001
   0.527,   2.02956
   0.548,   2.03653
   0.572,   2.04227
   0.593,   2.04575
   0.617,   2.04765
   0.639,   2.04763
   0.663,   2.04569
   0.684,   2.04217
   0.709,   2.03641
   0.730,   2.02944
   0.755,   2.01991
   0.777,   2.00956
   0.801,   1.99637
   0.823,   1.98273
   0.847,   1.96601
   0.869,   1.94920
   0.894,   1.92908
   0.916,   1.90925
   0.941,   1.88591
   0.963,   1.86328
   0.988,   1.83698
   1.010,   1.81174
   1.035,   1.78270
   1.058,   1.75506
   1.083,   1.72353
   1.105,   1.69374
   1.130,   1.65999
   1.153,   1.62838
   1.178,   1.59280
   1.201,   1.55964
   1.226,   1.52253
   1.249,   1.48813
   1.275,   1.44981
   1.298,   1.41444
   1.323,   1.37525
   1.347,   1.33932
   1.372,   1.29970
   1.396,   1.26354
   1.421,   1.22385
   1.445,   1.18776
   1.471,   1.14835
   1.494,   1.11267
   1.520,   1.07389
   1.544,   1.03900
   1.570,   1.00127
   1.594,   0.96751
   1.620,   0.93120
   1.644,   0.89886
   1.670,   0.86428
   1.694,   0.83365
   1.720,   0.80112
   1.745,   0.77254
   1.771,   0.74241
   1.795,   0.71615
   1.822,   0.68870
   1.846,   0.66499
   1.873,   0.64047
   1.898,   0.61952
   1.924,   0.59814
   1.949,   0.58017
   1.976,   0.56216
   2.001,   0.54734
   2.028,   0.53285
   2.053,   0.52129
   2.080,   0.51044
   2.105,   0.50223
   2.132,   0.49510
   2.157,   0.49031
   2.185,   0.48695
   2.210,   0.48561
   2.237,   0.48602
   2.263,   0.48809
   2.290,   0.49222
   2.316,   0.49767
   2.344,   0.50545
   2.369,   0.51416
   2.397,   0.52546
   2.423,   0.53730
   2.451,   0.55195
   2.477,   0.56676
   2.505,   0.58457
   2.531,   0.60215
   2.559,   0.62287
   2.585,   0.64297
   2.613,   0.66631
   2.639,   0.68867
   2.668,   0.71433
   2.694,   0.73867
   2.723,   0.76635
   2.749,   0.79233
   2.778,   0.82163
   2.805,   0.84892
   2.834,   0.87944
   2.860,   0.90770
   2.889,   0.93909
   2.916,   0.96797
   2.945,   0.99984
   2.972,   1.02892
   3.001,   1.06080
   3.028,   1.08971
   3.058,   1.12121
   3.085,   1.14962
   3.114,   1.18036
   3.141,   1.20788
   3.171,   1.23745
   3.198,   1.26370
   3.228,   1.29170
   3.256,   1.31638
   3.286,   1.34247
   3.313,   1.36527
   3.343,   1.38914
   3.371,   1.40973
   3.401,   1.43103
   3.429,   1.44917
   3.459,   1.46765
   3.487,   1.48312
   3.518,   1.49856
   3.545,   1.51118
   3.576,   1.52338
   3.604,   1.53298
   3.635,   1.54181
   3.663,   1.54828
   3.694,   1.55364
   3.722,   1.55693
   3.754,   1.55878
   3.782,   1.55886
   3.813,   1.55721
   3.842,   1.55411
   3.873,   1.54900
   3.902,   1.54280
   3.933,   1.53434
   3.962,   1.52515
   3.994,   1.51349
   4.022,   1.50148
   4.054,   1.48683
   4.083,   1.47220
   4.115,   1.45479
   4.144,   1.43776
   4.176,   1.41788
   4.205,   1.39875
   4.238,   1.37673
   4.267,   1.35580
   4.299,   1.33197
   4.329,   1.30955
   4.361,   1.28428
   4.391,   1.26076
   4.423,   1.23448
   4.453,   1.21022
   4.486,   1.18333
   4.515,   1.15867
   4.548,   1.13156
   4.578,   1.10693
   4.611,   1.08006
   4.641,   1.05583
   4.674,   1.02960
   4.704,   1.00612
   4.738,   0.98092
   4.768,   0.95857
   4.801,   0.93479
   4.832,   0.91391
   4.865,   0.89193
   4.896,   0.87281
   4.929,   0.85292
   4.960,   0.83587
   4.994,   0.81838
   5.024,   0.80363
   5.058,   0.78879
   5.089,   0.77655
   5.123,   0.76455
   5.154,   0.75498
   5.188,   0.74599
   5.220,   0.73920
   5.254,   0.73332
   5.285,   0.72938
   5.319,   0.72665
   5.351,   0.72559
   5.385,   0.72599
   5.417,   0.72777
   5.451,   0.73126
   5.483,   0.73580
   5.518,   0.74225
   5.550,   0.74942
   5.584,   0.75867
   5.616,   0.76830
   5.651,   0.78013
   5.683,   0.79199
   5.718,   0.80615
   5.751,   0.82000
   5.786,   0.83619
   5.818,   0.85173
   5.853,   0.86959
   5.886,   0.88651
   5.921,   0.90571
   5.954,   0.92367
   5.989,   0.94382
   6.022,   0.96246
   6.058,   0.98314
   6.090,   1.00210
   6.126,   1.02294
   6.159,   1.04185
   6.195,   1.06243
   6.228,   1.08092
   6.264,   1.10084
   6.283,   1.11105
