,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-06-26T16:17:43.334+02:00,   0.204E-01,   0.02044,   1.12332
      2,2020-06-26T16:17:43.351+02:00,   0.225E-01,   0.04292,   1.19070
      3,2020-06-26T16:17:43.373+02:00,   0.205E-01,   0.06339,   1.27669
      4,2020-06-26T16:17:43.390+02:00,   0.225E-01,   0.08590,   1.34454
      5,2020-06-26T16:17:43.411+02:00,   0.206E-01,   0.10647,   1.42895
      6,2020-06-26T16:17:43.428+02:00,   0.226E-01,   0.12909,   1.49681
      7,2020-06-26T16:17:43.449+02:00,   0.206E-01,   0.14974,   1.57965
      8,2020-06-26T16:17:43.700+02:00,   0.227E-01,   0.17245,   2.37670
      9,2020-06-26T16:17:43.722+02:00,   0.207E-01,   0.19318,   2.46463
     10,2020-06-26T16:17:43.740+02:00,   0.228E-01,   0.21598,   2.53438
     20,2020-06-26T16:17:43.942+02:00,   0.233E-01,   0.43677,   3.32609
     30,2020-06-26T16:17:44.132+02:00,   0.239E-01,   0.66267,   4.07850
     40,2020-06-26T16:17:44.316+02:00,   0.244E-01,   0.89382,   4.80415
     50,2020-06-26T16:17:44.506+02:00,   0.250E-01,   1.13035,   5.54885
     60,2020-06-26T16:17:44.681+02:00,   0.256E-01,   1.37232,   6.24407
     70,2020-06-26T16:17:44.925+02:00,   0.262E-01,   1.61985,   7.21876
     80,2020-06-26T16:17:45.008+02:00,   0.268E-01,   1.87309,   7.55051
     90,2020-06-26T16:17:45.091+02:00,   0.274E-01,   2.13218,   7.88090
    100,2020-06-26T16:17:45.203+02:00,   0.280E-01,   2.39714,   8.30138
    200,2020-06-26T16:17:46.079+02:00,   0.345E-01,   5.38531,  11.76270
    227,2020-06-26T16:17:46.300+02:00,   0.189E-01,   6.28318,  12.64111
