s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0587018E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.2232737E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.2324927E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.2825194E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6062253E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.4476893E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.8056825E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.5094283E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2830424E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.6773415E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4017230E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.7414028E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.4021279E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.9118704E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1655530E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.9783570E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6203109E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1151493E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4730099E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2220509E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.1046646E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3396426E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0109285E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.4468077E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2730290E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.5646891E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6232112E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.6720873E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.4684464E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.7902251E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0024492E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.8978642E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0278766E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0162672E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2275918E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.1241577E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1917438E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.2428374E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.6634397E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.3509903E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.4093429E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.4699585E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9112143E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.5783592E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.8730886E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.6975998E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8136939E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.8062400E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.5344482E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.9257447E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.3716091E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.0346355E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5034230E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.1544155E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.3538441E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.2635677E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6543612E-027, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.3836350E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2877271E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.4930483E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0781172E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.6134028E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4181727E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.7230551E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.7324630E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.8436726E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9604856E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.9535743E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.8894920E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.0744665E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.3854379E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.1846290E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.4582006E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.3058079E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.9778558E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.4162425E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.7766499E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.5377204E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.7167546E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.6483946E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9168027E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.7701359E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.0800831E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.8810592E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.3134721E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0030744E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.3978141E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.1142585E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.0716659E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.2365607E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.6849700E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.3480160E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.7328936E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.4706168E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.8960968E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.5823225E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.5594645E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.7051986E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.4410369E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.8171529E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.1431289E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.9403032E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.3233654E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.0525185E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.8093138E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.1759549E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.8314181E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.2884420E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6681578E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.4121777E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2050891E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.5249240E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4200238E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.6489446E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2733557E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.7619401E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1732151E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.8862355E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5610279E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.9994915E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6500335E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.1240735E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1901103E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.2376025E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0027817E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.3624843E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8207107E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.4762803E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5984678E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.6014555E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5984678E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.7155012E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7544617E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.8409517E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2324731E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.9552591E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.9565744E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.0809969E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6166247E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
