,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2020-02-19T19:30:37.422+01:00,   0.106E-01,   0.01059
      2,2020-02-19T19:30:37.452+01:00,   0.116E-01,   0.02223
      3,2020-02-19T19:30:37.509+01:00,   0.106E-01,   0.03283
      4,2020-02-19T19:30:37.523+01:00,   0.117E-01,   0.04448
      5,2020-02-19T19:30:37.542+01:00,   0.106E-01,   0.05509
      6,2020-02-19T19:30:37.556+01:00,   0.117E-01,   0.06677
      7,2020-02-19T19:30:37.574+01:00,   0.106E-01,   0.07741
      8,2020-02-19T19:30:37.588+01:00,   0.117E-01,   0.08912
      9,2020-02-19T19:30:37.607+01:00,   0.107E-01,   0.09978
     10,2020-02-19T19:30:37.620+01:00,   0.117E-01,   0.11151
     20,2020-02-19T19:30:37.803+01:00,   0.119E-01,   0.22428
     30,2020-02-19T19:30:37.981+01:00,   0.120E-01,   0.33836
     40,2020-02-19T19:30:38.148+01:00,   0.121E-01,   0.45377
     50,2020-02-19T19:30:38.330+01:00,   0.123E-01,   0.57052
     60,2020-02-19T19:30:38.508+01:00,   0.124E-01,   0.68862
     70,2020-02-19T19:30:38.685+01:00,   0.126E-01,   0.80810
     80,2020-02-19T19:30:38.845+01:00,   0.127E-01,   0.92897
     90,2020-02-19T19:30:39.024+01:00,   0.129E-01,   1.05124
    100,2020-02-19T19:30:39.222+01:00,   0.130E-01,   1.17492
    200,2020-02-19T19:30:41.023+01:00,   0.146E-01,   2.49255
    300,2020-02-19T19:30:45.220+01:00,   0.162E-01,   3.96414
    400,2020-02-19T19:30:49.580+01:00,   0.179E-01,   5.59379
    440,2020-02-19T19:30:50.729+01:00,   0.127E-01,   6.28318
