s,m/s,Pa,kg/m/s,,,
Time,"UVEL","PRES","VISC","scarc-iter","scarc-rate","scarc-res"
 0.0000000E+000, 1.0981353E+000,-1.9903472E+000, 1.0000000E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1325849E-002, 1.1150805E+000,-3.9868788E+000, 1.0000000E-010, 9.2428571E+001, 6.4284280E-001, 6.2794343E-015
 1.6719182E-002, 1.1314470E+000,-3.9833331E+000, 1.0000000E-010, 9.4000000E+001, 6.4567669E-001, 4.5049792E-015
 2.2651848E-002, 1.1432472E+000,-3.9811562E+000, 1.0000000E-010, 9.1000000E+001, 6.4132106E-001, 9.0177703E-015
 2.8045202E-002, 1.1539633E+000,-3.9778581E+000, 1.0000000E-010, 9.4000000E+001, 6.4456667E-001, 3.8138908E-015
 3.3977891E-002, 1.1657369E+000,-3.9752433E+000, 1.0000000E-010, 9.1000000E+001, 6.3875188E-001, 6.2259032E-015
 3.9371161E-002, 1.1764258E+000,-3.9713666E+000, 1.0000000E-010, 9.4000000E+001, 6.4450741E-001, 3.7601044E-015
 4.5303758E-002, 1.1881665E+000,-3.9683145E+000, 1.0000000E-010, 9.1000000E+001, 6.3573388E-001, 4.0219785E-015
 5.0697010E-002, 1.1988230E+000,-3.9638614E+000, 1.0000000E-010, 9.4000000E+001, 6.4519761E-001, 4.1318479E-015
 5.6629588E-002, 1.2105250E+000,-3.9603726E+000, 1.0000000E-010, 9.1000000E+001, 6.3436725E-001, 3.2844644E-015
 6.7955520E-002, 1.2272499E+000,-3.9532898E+000, 1.0000000E-010, 9.2428571E+001, 6.3958733E-001, 3.7405729E-015
 7.3348918E-002, 1.2433765E+000,-3.9458227E+000, 1.0000000E-010, 9.1000000E+001, 6.4177608E-001, 9.3414212E-015
 7.9281654E-002, 1.2549835E+000,-3.9414630E+000, 1.0000000E-010, 9.1000000E+001, 6.3311356E-001, 2.7003072E-015
