s,m/s,Pa,kg/m/s,,,
Time,"UVEL","PRES","VISC","scarc-iter","scarc-rate","scarc-res"
 0.0000000E+000, 1.0981353E+000,-1.9903472E+000, 1.0000000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1343808E-002, 1.1149082E+000,-3.9834806E+000, 1.0000000E-001, 9.2428571E+001, 6.4284516E-001, 6.1276736E-015
 1.6747004E-002, 1.1310629E+000,-3.9698006E+000, 1.0000000E-001, 9.4000000E+001, 6.4554511E-001, 4.3899936E-015
 2.2690520E-002, 1.1426756E+000,-3.9612168E+000, 1.0000000E-001, 9.1000000E+001, 6.4133477E-001, 8.9537064E-015
 2.8099996E-002, 1.1532092E+000,-3.9509158E+000, 1.0000000E-001, 9.4000000E+001, 6.4465662E-001, 3.8210486E-015
 3.4050419E-002, 1.1647557E+000,-3.9419354E+000, 1.0000000E-001, 9.1000000E+001, 6.3916008E-001, 6.5092546E-015
 3.9466081E-002, 1.1752262E+000,-3.9311103E+000, 1.0000000E-001, 9.4000000E+001, 6.4451785E-001, 3.7067882E-015
 4.5423309E-002, 1.1867003E+000,-3.9217381E+000, 1.0000000E-001, 9.1000000E+001, 6.3840761E-001, 5.7863203E-015
 5.0845231E-002, 1.1971025E+000,-3.9103968E+000, 1.0000000E-001, 9.4000000E+001, 6.4545192E-001, 4.2012664E-015
 5.6809346E-002, 1.2084985E+000,-3.9006378E+000, 1.0000000E-001, 9.1000000E+001, 6.3908047E-001, 6.2967220E-015
 6.8208687E-002, 1.2247525E+000,-3.8834764E+000, 1.0000000E-001, 9.2428571E+001, 6.4081309E-001, 4.2650397E-015
 7.3643328E-002, 1.2403890E+000,-3.8662979E+000, 1.0000000E-001, 9.4000000E+001, 6.4636551E-001, 4.6838507E-015
 7.9621433E-002, 1.2516116E+000,-3.8557801E+000, 1.0000000E-001, 9.1000000E+001, 6.4114453E-001, 8.2349886E-015
 8.5062269E-002, 1.2617768E+000,-3.8429391E+000, 1.0000000E-001, 9.4000000E+001, 6.4667913E-001, 4.8374702E-015
 9.1047188E-002, 1.2729037E+000,-3.8320502E+000, 1.0000000E-001, 9.1000000E+001, 6.3831360E-001, 5.4300132E-015
 9.6494294E-002, 1.2829793E+000,-3.8187273E+000, 1.0000000E-001, 9.4000000E+001, 6.4701210E-001, 5.0059518E-015
 1.0248611E-001, 1.2940048E+000,-3.8074726E+000, 1.0000000E-001, 9.1000000E+001, 6.3859136E-001, 5.5674945E-015
 1.0793956E-001, 1.3039857E+000,-3.7936770E+000, 1.0000000E-001, 9.4000000E+001, 6.4823664E-001, 5.8907426E-015
 1.1393836E-001, 1.3149042E+000,-3.7820619E+000, 1.0000000E-001, 9.1000000E+001, 6.3879207E-001, 5.6413200E-015
 1.1939823E-001, 1.3247855E+000,-3.7678031E+000, 1.0000000E-001, 9.4000000E+001, 6.4912467E-001, 6.5945156E-015
 1.3087022E-001, 1.3402496E+000,-3.7488230E+000, 1.0000000E-001, 9.2429430E+001, 6.4344953E-001, 5.8238283E-015
 1.3688297E-001, 1.3560553E+000,-3.7288021E+000, 1.0000000E-001, 9.1000000E+001, 6.4007636E-001, 6.5500909E-015
