,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-06-26T16:17:43.458+02:00,   0.539E-02,   0.00539,   1.57653
      2,2020-06-26T16:17:43.516+02:00,   0.593E-02,   0.01133,   1.80944
      3,2020-06-26T16:17:43.600+02:00,   0.539E-02,   0.01672,   2.14501
      4,2020-06-26T16:17:43.675+02:00,   0.593E-02,   0.02265,   2.42993
      5,2020-06-26T16:17:43.760+02:00,   0.539E-02,   0.02805,   2.77036
      6,2020-06-26T16:17:43.818+02:00,   0.593E-02,   0.03398,   3.00219
      7,2020-06-26T16:17:43.902+02:00,   0.539E-02,   0.03937,   3.33778
      8,2020-06-26T16:17:43.980+02:00,   0.593E-02,   0.04530,   3.63105
      9,2020-06-26T16:17:44.081+02:00,   0.539E-02,   0.05070,   4.03495
     10,2020-06-26T16:17:44.140+02:00,   0.593E-02,   0.05663,   4.26880
     20,2020-06-26T16:17:44.896+02:00,   0.593E-02,   0.11326,   7.24075
     30,2020-06-26T16:17:45.639+02:00,   0.593E-02,   0.16989,  10.17689
     40,2020-06-26T16:17:46.384+02:00,   0.593E-02,   0.22652,  13.12174
     50,2020-06-26T16:17:47.130+02:00,   0.593E-02,   0.28315,  16.08110
     60,2020-06-26T16:17:47.868+02:00,   0.593E-02,   0.33978,  19.00766
     70,2020-06-26T16:17:48.757+02:00,   0.593E-02,   0.39641,  22.48275
     80,2020-06-26T16:17:49.737+02:00,   0.593E-02,   0.45304,  26.37011
     90,2020-06-26T16:17:50.738+02:00,   0.593E-02,   0.50967,  30.24063
    100,2020-06-26T16:17:51.698+02:00,   0.593E-02,   0.56630,  34.01572
    200,2020-06-26T16:18:01.930+02:00,   0.593E-02,   1.13259,  73.90940
    300,2020-06-26T16:18:11.896+02:00,   0.593E-02,   1.69889, 112.09192
    400,2020-06-26T16:18:22.479+02:00,   0.593E-02,   2.26519, 152.91352
    500,2020-06-26T16:18:33.340+02:00,   0.593E-02,   2.83148, 195.47288
    600,2020-06-26T16:18:44.961+02:00,   0.593E-02,   3.39778, 240.93823
    700,2020-06-26T16:18:56.598+02:00,   0.593E-02,   3.96408, 286.38817
    800,2020-06-26T16:19:07.682+02:00,   0.593E-02,   4.53037, 329.79173
    900,2020-06-26T16:19:18.929+02:00,   0.593E-02,   5.09667, 373.79835
   1000,2020-06-26T16:19:30.491+02:00,   0.593E-02,   5.66297, 418.80446
   1100,2020-06-26T16:19:42.843+02:00,   0.593E-02,   6.22926, 467.37125
   1110,2020-06-26T16:19:43.953+02:00,   0.322E-02,   6.28318, 471.73128
