s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-7.0665196E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.0665196E-005, 0.0000000E+000, 0.0000000E+000
 7.9056941E-002, 7.7185510E+000,-1.6204970E-006, 1.3006408E-001, 9.5921514E-009,-1.0369754E-003, 0.0000000E+000, 0.0000000E+000,-1.5768059E-003, 7.8475764E+000, 6.1743502E-004, 6.1743502E-004
 1.5811388E-001, 2.6565359E+001,-3.4517809E-001, 4.4057880E-001,-4.8565324E-002,-1.8104661E-003, 0.0000000E+000, 0.0000000E+000, 7.8146656E+000, 2.6610384E+001, 1.2272317E-003, 1.2272317E-003
 2.3717083E-001, 5.0213522E+001,-3.2458427E+000, 7.6342562E-001,-4.1918116E-001,-3.2770437E-003, 0.0000000E+000, 0.0000000E+000, 2.6093091E+001, 4.7308647E+001, 1.8221250E-003, 1.8221250E-003
 3.1622776E-001, 7.5617098E+001,-3.8029048E+001, 5.4583861E-001,-1.4948319E+000,-4.5077685E-003, 0.0000000E+000, 0.0000000E+000, 4.4496898E+001, 3.6634549E+001, 2.3955586E-003, 2.3955586E-003
 3.8369071E-001, 9.9795945E+001,-9.6395256E+001, 1.8402833E-002,-2.2685358E+000,-5.1354029E-003, 0.0000000E+000, 0.0000000E+000, 3.5297634E+001, 1.1454208E+000, 2.8636967E-003, 2.8636967E-003
 4.3248305E-001, 2.3810905E+001,-1.0503274E+001, 1.5563213E-001,-1.8417906E+000,-5.7613354E-003, 0.0000000E+000, 0.0000000E+000, 1.4407054E+000, 1.1615712E+001, 3.1883772E-003, 3.1883772E-003
 4.8127538E-001, 1.8435401E+001,-1.1451652E+001, 6.6947542E-002,-1.6820631E+000,-6.3472221E-003, 0.0000000E+000, 0.0000000E+000, 1.1516125E+001, 5.3622866E+000, 3.5004113E-003, 3.5004113E-003
 5.2209663E-001, 3.5822057E+001,-9.4570007E+000, 3.5804581E-001,-1.3921321E+000,-6.9892911E-003, 0.0000000E+000, 0.0000000E+000, 5.3016867E+000, 2.5323981E+001, 3.7512600E-003, 3.7512600E-003
 5.5373818E-001, 3.5188730E+001,-1.6932946E+001, 2.5955464E-001,-1.4042842E+000,-7.6838193E-003, 0.0000000E+000, 0.0000000E+000, 2.4674410E+001, 1.7103371E+001, 3.9390909E-003, 3.9390909E-003
 5.8537966E-001, 3.8806922E+001,-1.3081193E+001, 3.7839578E-001,-1.2613166E+000,-8.3723428E-003, 0.0000000E+000, 0.0000000E+000, 1.6922274E+001, 2.4834436E+001, 4.1210347E-003, 4.1210347E-003
 6.1098284E-001, 6.0547072E+001,-1.5388029E+001, 6.5224472E-001,-1.2211136E+000,-8.8365257E-003, 0.0000000E+000, 0.0000000E+000, 2.4704028E+001, 4.4581338E+001, 4.2638961E-003, 4.2638961E-003
 6.3658601E-001, 5.8310440E+001,-2.3618419E+001, 5.2409780E-001,-1.3236808E+000,-9.4148299E-003, 0.0000000E+000, 0.0000000E+000, 4.3974771E+001, 3.3883024E+001, 4.4028275E-003, 4.4028275E-003
 6.6218913E-001, 6.4046779E+001,-2.0552432E+001, 6.5711150E-001,-1.2606020E+000,-9.7833968E-003, 0.0000000E+000, 0.0000000E+000, 3.3696260E+001, 4.2881073E+001, 4.5378144E-003, 4.5378144E-003
 6.8338042E-001, 7.2337733E+001,-2.3162961E+001, 7.4056008E-001,-1.2579020E+000,-1.0130258E-002, 0.0000000E+000, 0.0000000E+000, 4.2730478E+001, 4.8647300E+001, 4.6465543E-003, 4.6465543E-003
 7.0457178E-001, 7.8195925E+001,-2.6096655E+001, 7.9526265E-001,-1.2579750E+000,-1.0575400E-002, 0.0000000E+000, 0.0000000E+000, 4.8350162E+001, 5.1625983E+001, 4.7525923E-003, 4.7525923E-003
 7.2576308E-001, 8.5742187E+001,-2.6750357E+001, 9.0064554E-001,-1.2314821E+000,-1.1000518E-002, 0.0000000E+000, 0.0000000E+000, 5.1363674E+001, 5.8649993E+001, 4.8559363E-003, 4.8559363E-003
 7.4453378E-001, 8.9094891E+001,-2.8829454E+001, 9.2891114E-001,-1.2216795E+000,-1.1341941E-002, 0.0000000E+000, 0.0000000E+000, 5.8303480E+001, 5.9961326E+001, 4.9452351E-003, 4.9452351E-003
 7.6330441E-001, 9.1079681E+001,-3.0152089E+001, 9.4633998E-001,-1.1904924E+000,-1.1707677E-002, 0.0000000E+000, 0.0000000E+000, 5.9765102E+001, 6.0671731E+001, 5.0324407E-003, 5.0324407E-003
 7.8207511E-001, 9.8336501E+001,-3.1118793E+001, 1.0393694E+000,-1.1627999E+000,-1.2049261E-002, 0.0000000E+000, 0.0000000E+000, 6.0461150E+001, 6.7082228E+001, 5.1175665E-003, 5.1175665E-003
 8.0084580E-001, 1.0395102E+002,-3.2080106E+001, 1.1102120E+000,-1.1881332E+000,-1.2350245E-002, 0.0000000E+000, 0.0000000E+000, 6.6616946E+001, 7.1780639E+001, 5.2006283E-003, 5.2006283E-003
 8.1961650E-001, 1.1935705E+002,-3.4761437E+001, 1.2806672E+000,-1.2250309E+000,-1.2544445E-002, 0.0000000E+000, 0.0000000E+000, 7.1437404E+001, 8.4638703E+001, 5.2816436E-003, 5.2816436E-003
 8.3627504E-001, 1.2222509E+002,-3.9234844E+001, 1.2756004E+000,-1.3153909E+000,-1.2717816E-002, 0.0000000E+000, 0.0000000E+000, 8.4119671E+001, 8.2937735E+001, 5.3518449E-003, 5.3518449E-003
 8.5293359E-001, 1.1977542E+002,-3.7404141E+001, 1.2775674E+000,-1.3804515E+000,-1.2836716E-002, 0.0000000E+000, 0.0000000E+000, 8.2792722E+001, 8.2255562E+001, 5.4204649E-003, 5.4204649E-003
 8.6959213E-001, 1.2782517E+002,-3.8789834E+001, 1.3786440E+000,-1.4177717E+000,-1.3017195E-002, 0.0000000E+000, 0.0000000E+000, 8.2086560E+001, 8.8983186E+001, 5.4875196E-003, 5.4875196E-003
 8.8625067E-001, 1.3733436E+002,-3.8776936E+001, 1.5176773E+000,-1.4609384E+000,-1.3209861E-002, 0.0000000E+000, 0.0000000E+000, 8.8798443E+001, 9.8600953E+001, 5.5530262E-003, 5.5530262E-003
 9.0290928E-001, 1.5012467E+002,-4.1890160E+001, 1.6558656E+000,-1.5250049E+000,-1.3376752E-002, 0.0000000E+000, 0.0000000E+000, 9.8381765E+001, 1.0835199E+002, 5.6170024E-003, 5.6170024E-003
 9.1680288E-001, 1.5104820E+002,-4.5855615E+001, 1.6322060E+000,-1.6041100E+000,-1.3465038E-002, 0.0000000E+000, 0.0000000E+000, 1.0792245E+002, 1.0520721E+002, 5.6692031E-003, 5.6692031E-003
 9.3069649E-001, 1.5239386E+002,-4.5004351E+001, 1.6731700E+000,-1.6578875E+000,-1.3598699E-002, 0.0000000E+000, 0.0000000E+000, 1.0500035E+002, 1.0739120E+002, 5.7203637E-003, 5.7203637E-003
 9.4170135E-001, 1.6638433E+002,-4.7167126E+001, 1.8416547E+000,-1.6924768E+000,-1.3631490E-002, 0.0000000E+000, 0.0000000E+000, 1.0712323E+002, 1.1935275E+002, 5.7601564E-003, 5.7601564E-003
