Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,EVAC,HVAC,GEOM,Total T_USED (s)
    0, 5.901E+00, 6.129E+01, 2.159E+01, 4.079E+01, 4.189E+01, 1.297E+01, 1.592E+01, 0.000E+00, 2.362E+01, 3.268E+00, 4.737E+01, 0.000E+00, 0.000E+00, 0.000E+00, 2.746E+02
    1, 5.969E+00, 5.977E+01, 2.176E+01, 4.181E+01, 4.469E+01, 1.387E+01, 1.688E+01, 0.000E+00, 2.373E+01, 6.090E+00, 4.003E+01, 0.000E+00, 0.000E+00, 0.000E+00, 2.746E+02
    2, 5.936E+00, 5.824E+01, 2.138E+01, 4.154E+01, 4.318E+01, 1.380E+01, 1.506E+01, 0.000E+00, 2.310E+01, 9.664E+00, 4.270E+01, 0.000E+00, 0.000E+00, 0.000E+00, 2.746E+02
    3, 5.935E+00, 5.863E+01, 2.177E+01, 4.183E+01, 4.330E+01, 1.394E+01, 1.327E+01, 0.000E+00, 2.347E+01, 1.290E+01, 3.955E+01, 0.000E+00, 0.000E+00, 0.000E+00, 2.746E+02
    4, 5.931E+00, 5.881E+01, 2.158E+01, 4.176E+01, 4.317E+01, 1.426E+01, 1.453E+01, 0.000E+00, 2.337E+01, 1.340E+01, 3.778E+01, 0.000E+00, 0.000E+00, 0.000E+00, 2.746E+02
    5, 5.894E+00, 5.913E+01, 2.211E+01, 4.148E+01, 4.333E+01, 1.442E+01, 1.232E+01, 0.000E+00, 2.331E+01, 1.062E+01, 4.198E+01, 0.000E+00, 0.000E+00, 0.000E+00, 2.746E+02
    6, 5.978E+00, 6.062E+01, 2.201E+01, 4.222E+01, 4.446E+01, 1.397E+01, 1.558E+01, 0.000E+00, 2.371E+01, 7.761E+00, 3.829E+01, 0.000E+00, 0.000E+00, 0.000E+00, 2.746E+02
    7, 5.975E+00, 5.933E+01, 2.163E+01, 4.153E+01, 4.340E+01, 1.370E+01, 1.445E+01, 0.000E+00, 2.331E+01, 4.918E+00, 4.635E+01, 0.000E+00, 0.000E+00, 0.000E+00, 2.746E+02
    8, 5.958E+00, 6.132E+01, 2.214E+01, 4.223E+01, 4.490E+01, 1.386E+01, 1.747E+01, 0.000E+00, 2.396E+01, 3.609E+00, 3.914E+01, 0.000E+00, 0.000E+00, 0.000E+00, 2.746E+02
    9, 5.940E+00, 5.905E+01, 2.094E+01, 4.019E+01, 4.175E+01, 1.252E+01, 1.483E+01, 0.000E+00, 2.358E+01, 2.136E+00, 5.365E+01, 0.000E+00, 0.000E+00, 0.000E+00, 2.746E+02
