s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-4.2827899E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.2827899E-003, 0.0000000E+000, 0.0000000E+000
 7.9056941E-002, 0.0000000E+000,-1.3079775E-003,-7.2699373E-001, 0.0000000E+000,-1.0045618E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.2930627E-001, 6.1743502E-004, 6.1743502E-004
 1.5811388E-001, 2.3040817E+001,-1.3078457E-003,-1.1671978E+000, 2.9873072E-007,-1.3954818E-003, 0.0000000E+000, 0.0000000E+000,-5.9237879E-003, 2.1870916E+001, 1.2272317E-003, 1.2272317E-003
 2.3717083E-001, 4.8421415E+001,-1.0163285E+000,-1.3939425E+000,-2.2830068E-001,-2.9006680E-003, 0.0000000E+000, 0.0000000E+000, 2.3100617E+001, 4.5779943E+001, 1.8221250E-003, 1.8221250E-003
 3.1622776E-001, 7.4470309E+001,-2.0363773E+001,-1.4955922E+000,-1.1830991E+000,-4.3434671E-003, 0.0000000E+000, 0.0000000E+000, 4.4502555E+001, 5.1423502E+001, 2.3955586E-003, 2.3955586E-003
 3.8541630E-001, 1.0062765E+002,-1.1814347E+002,-1.4807454E+000,-2.4515882E+000,-5.0244855E-003, 0.0000000E+000, 0.0000000E+000, 5.0823598E+001,-2.1453181E+001, 2.8753861E-003, 2.8753861E-003
 4.4251797E-001, 2.9423210E+001,-1.1094497E+001,-1.3896762E+000,-1.4236571E+000,-5.7229581E-003, 0.0000000E+000, 0.0000000E+000,-1.8176704E+001, 1.5509656E+001, 3.2536097E-003, 3.2536097E-003
 4.8602900E-001, 2.5562391E+001,-1.6000823E+001,-1.2556804E+000,-1.4115739E+000,-6.4824161E-003, 0.0000000E+000, 0.0000000E+000, 1.5639258E+001, 6.8878312E+000, 3.5301087E-003, 3.5301087E-003
 5.2954006E-001, 2.4432206E+001,-9.1075591E+000,-1.0876727E+000,-1.1706105E+000,-7.1730198E-003, 0.0000000E+000, 0.0000000E+000, 7.7560556E+000, 1.3059190E+001, 3.7959702E-003, 3.7959702E-003
 5.5899918E-001, 3.6388734E+001,-9.9890864E+000,-9.5147095E-001,-1.0768853E+000,-7.9295177E-003, 0.0000000E+000, 0.0000000E+000, 1.3564679E+001, 2.4363362E+001, 3.9697532E-003, 3.9697532E-003
 5.8432084E-001, 3.6348739E+001,-1.3424843E+001,-8.1970352E-001,-1.0931257E+000,-8.7379912E-003, 0.0000000E+000, 0.0000000E+000, 2.4581396E+001, 2.1002329E+001, 4.1150425E-003, 4.1150425E-003
 6.0964251E-001, 5.0144809E+001,-1.3983210E+001,-6.7515184E-001,-1.0389389E+000,-9.0726657E-003, 0.0000000E+000, 0.0000000E+000, 2.1615285E+001, 3.4438436E+001, 4.2565146E-003, 4.2565146E-003
 6.3496417E-001, 5.7939720E+001,-1.9619201E+001,-5.0968428E-001,-1.0899672E+000,-9.6657853E-003, 0.0000000E+000, 0.0000000E+000, 3.4488782E+001, 3.6711202E+001, 4.3941438E-003, 4.3941438E-003
 6.6028577E-001, 5.9111932E+001,-2.1672604E+001,-3.1784320E-001,-1.1119336E+000,-1.0023278E-002, 0.0000000E+000, 0.0000000E+000, 3.7139959E+001, 3.5999528E+001, 4.5279153E-003, 4.5279153E-003
 6.8560743E-001, 6.6611665E+001,-2.2168445E+001,-9.3269591E-002,-1.0827310E+000,-1.0435584E-002, 0.0000000E+000, 0.0000000E+000, 3.6581376E+001, 4.3256784E+001, 4.6578247E-003, 4.6578247E-003
 7.0695251E-001, 7.7368531E+001,-2.5486554E+001, 1.3125294E-001,-1.0865686E+000,-1.0858896E-002, 0.0000000E+000, 0.0000000E+000, 4.3450794E+001, 5.0915802E+001, 4.7643368E-003, 4.7643368E-003
 7.2616285E-001, 8.3220771E+001,-2.7794963E+001, 3.5695598E-001,-1.1095025E+000,-1.1175578E-002, 0.0000000E+000, 0.0000000E+000, 5.0856273E+001, 5.4662086E+001, 4.8578599E-003, 4.8578599E-003
 7.4537313E-001, 8.6768365E+001,-2.9911524E+001, 5.9415703E-001,-1.1183924E+000,-1.1494574E-002, 0.0000000E+000, 0.0000000E+000, 5.4718150E+001, 5.6321111E+001, 4.9491793E-003, 4.9491793E-003
 7.6458341E-001, 8.8560179E+001,-3.0582409E+001, 8.3849762E-001,-1.1096557E+000,-1.1778268E-002, 0.0000000E+000, 0.0000000E+000, 5.6446567E+001, 5.7694833E+001, 5.0383069E-003, 5.0383069E-003
 7.8379375E-001, 9.9479978E+001,-3.0945278E+001, 1.0822355E+000,-1.0883655E+000,-1.2056399E-002, 0.0000000E+000, 0.0000000E+000, 5.7749265E+001, 6.8516514E+001, 5.1252571E-003, 5.1252571E-003
 8.0300403E-001, 1.0487313E+002,-3.3585120E+001, 1.3167880E+000,-1.1289069E+000,-1.2271393E-002, 0.0000000E+000, 0.0000000E+000, 6.7786203E+001, 7.1463616E+001, 5.2100471E-003, 5.2100471E-003
 8.2221431E-001, 1.1535395E+002,-3.7590753E+001, 1.5384433E+000,-1.1603392E+000,-1.2483167E-002, 0.0000000E+000, 0.0000000E+000, 7.1114481E+001, 7.8128814E+001, 5.2926960E-003, 5.2926960E-003
 8.4142464E-001, 1.2332181E+002,-3.9686329E+001, 1.7410816E+000,-1.2230083E+000,-1.2683086E-002, 0.0000000E+000, 0.0000000E+000, 7.7386907E+001, 8.4140873E+001, 5.3732253E-003, 5.3732253E-003
 8.5479283E-001, 1.3792036E+002,-4.0987749E+001, 1.8587476E+000,-1.2583128E+000,-1.2763078E-002, 0.0000000E+000, 0.0000000E+000, 8.3552469E+001, 9.7520281E+001, 5.4280260E-003, 5.4280260E-003
