,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-06-26T16:17:47.524+02:00,   0.791E-01,   0.07906,   4.99270
      2,2020-06-26T16:17:47.593+02:00,   0.791E-01,   0.15811,   5.11661
      3,2020-06-26T16:17:47.645+02:00,   0.791E-01,   0.23717,   5.22071
      4,2020-06-26T16:17:47.708+02:00,   0.791E-01,   0.31623,   5.34629
      5,2020-06-26T16:17:47.777+02:00,   0.692E-01,   0.38542,   5.48487
      6,2020-06-26T16:17:47.846+02:00,   0.571E-01,   0.44252,   5.62329
      7,2020-06-26T16:17:47.927+02:00,   0.435E-01,   0.48603,   5.78369
      8,2020-06-26T16:17:47.981+02:00,   0.435E-01,   0.52954,   5.89147
      9,2020-06-26T16:17:48.068+02:00,   0.295E-01,   0.55900,   6.05061
     10,2020-06-26T16:17:48.150+02:00,   0.253E-01,   0.58432,   6.21267
     20,2020-06-26T16:17:48.684+02:00,   0.192E-01,   0.80300,   7.27954
     30,2020-06-26T16:17:49.298+02:00,   0.134E-01,   0.94837,   8.43983
     40,2020-06-26T16:17:49.888+02:00,   0.108E-01,   1.06770,   9.60630
     50,2020-06-26T16:17:50.391+02:00,   0.968E-02,   1.16564,  10.59595
     60,2020-06-26T16:17:50.976+02:00,   0.968E-02,   1.26247,  11.72312
     70,2020-06-26T16:17:51.538+02:00,   0.686E-02,   1.34543,  12.84568
     80,2020-06-26T16:17:52.089+02:00,   0.754E-02,   1.42018,  13.93056
     90,2020-06-26T16:17:52.615+02:00,   0.754E-02,   1.49561,  14.98019
    100,2020-06-26T16:17:53.162+02:00,   0.754E-02,   1.57104,  16.07175
    200,2020-06-26T16:17:59.158+02:00,   0.626E-02,   2.20671,  27.86873
    300,2020-06-26T16:18:05.303+02:00,   0.581E-02,   2.80422,  39.93033
    400,2020-06-26T16:18:11.024+02:00,   0.703E-02,   3.43026,  51.27744
    500,2020-06-26T16:18:17.048+02:00,   0.666E-02,   4.06673,  63.20039
    600,2020-06-26T16:18:23.759+02:00,   0.773E-02,   4.75025,  75.61094
    700,2020-06-26T16:18:30.346+02:00,   0.693E-02,   5.44003,  88.56111
    800,2020-06-26T16:18:37.041+02:00,   0.750E-02,   6.12555, 101.70746
    900,2020-06-26T16:18:43.366+02:00,   0.775E-02,   6.86262, 114.13963
   1000,2020-06-26T16:18:50.151+02:00,   0.708E-02,   7.56195, 127.15915
   1100,2020-06-26T16:18:57.370+02:00,   0.701E-02,   8.31717, 140.78470
   1200,2020-06-26T16:19:04.150+02:00,   0.734E-02,   9.07318, 154.08322
   1300,2020-06-26T16:19:10.666+02:00,   0.614E-02,   9.75977, 166.79609
   1400,2020-06-26T16:19:17.319+02:00,   0.532E-02,  10.48548, 179.93851
   1500,2020-06-26T16:19:23.808+02:00,   0.758E-02,  11.17102, 192.80572
   1600,2020-06-26T16:19:30.765+02:00,   0.766E-02,  11.94267, 206.34923
   1700,2020-06-26T16:19:37.976+02:00,   0.744E-02,  12.69110, 219.97808
   1800,2020-06-26T16:19:44.562+02:00,   0.767E-02,  13.43444, 232.99077
   1900,2020-06-26T16:19:51.253+02:00,   0.802E-02,  14.17004, 246.11099
   2000,2020-06-26T16:19:58.234+02:00,   0.617E-02,  14.91989, 259.61785
   2100,2020-06-26T16:20:04.521+02:00,   0.693E-02,  15.63153, 272.05529
   2200,2020-06-26T16:20:11.361+02:00,   0.760E-02,  16.36429, 285.49122
   2300,2020-06-26T16:20:18.119+02:00,   0.802E-02,  17.14551, 298.81770
   2400,2020-06-26T16:20:24.174+02:00,   0.648E-02,  17.85630, 310.75176
   2500,2020-06-26T16:20:30.466+02:00,   0.672E-02,  18.52179, 323.14531
   2600,2020-06-26T16:20:36.270+02:00,   0.586E-02,  19.17006, 334.62730
   2700,2020-06-26T16:20:42.235+02:00,   0.600E-02,  19.78152, 346.43612
   2800,2020-06-26T16:20:48.165+02:00,   0.614E-02,  20.40204, 358.08543
   2900,2020-06-26T16:20:54.162+02:00,   0.716E-02,  21.00044, 369.97451
   3000,2020-06-26T16:21:00.326+02:00,   0.632E-02,  21.64236, 382.05535
   3100,2020-06-26T16:21:06.839+02:00,   0.739E-02,  22.33615, 394.76873
   3200,2020-06-26T16:21:12.848+02:00,   0.579E-02,  23.01089, 406.65132
   3300,2020-06-26T16:21:19.255+02:00,   0.771E-02,  23.73699, 419.30261
   3400,2020-06-26T16:21:25.891+02:00,   0.729E-02,  24.44298, 432.26914
   3500,2020-06-26T16:21:32.684+02:00,   0.668E-02,  25.15707, 445.53243
   3600,2020-06-26T16:21:38.988+02:00,   0.693E-02,  25.85771, 457.98408
   3700,2020-06-26T16:21:45.611+02:00,   0.807E-02,  26.57624, 471.00404
   3800,2020-06-26T16:21:52.246+02:00,   0.697E-02,  27.33049, 484.07125
   3900,2020-06-26T16:21:58.924+02:00,   0.708E-02,  28.04957, 497.23082
   4000,2020-06-26T16:22:05.279+02:00,   0.723E-02,  28.79277, 509.79242
   4100,2020-06-26T16:22:11.573+02:00,   0.817E-02,  29.53556, 522.19134
   4157,2020-06-26T16:22:15.428+02:00,   0.122E-02,  30.00000, 529.72080
