s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
 0.0000000E+000, 0.0000000E+000,-2.4266733E-018, 0.0000000E+000,-9.2403229E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.3507056E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.3245553E-001, 0.0000000E+000,-7.1432898E-007,-7.1727209E-005,-6.8220296E-007, 0.0000000E+000, 1.6765131E-003, 0.0000000E+000, 1.4239039E-003, 1.6033894E-003, 0.0000000E+000, 1.4152000E-005, 1.5691756E+002
 1.2649111E+000, 0.0000000E+000,-4.2314553E-006,-1.8361353E-004,-3.9838307E-006, 0.0000000E+000, 4.3336984E-003, 0.0000000E+000, 4.0389237E-003, 4.1418696E-003, 0.0000000E+000, 3.6592000E-005, 6.0232874E+002
 1.8183097E+000, 0.0000000E+000,-8.4329568E-006,-1.9685738E-004,-8.4993571E-006, 0.0000000E+000, 4.7356477E-003, 0.0000000E+000, 4.5222352E-003, 4.5218580E-003, 0.0000000E+000, 4.0000000E-005, 1.0391192E+003
 2.4507651E+000, 0.0000000E+000,-1.1589824E-005,-1.9079659E-004,-1.2524701E-005, 0.0000000E+000, 4.7351660E-003, 0.0000000E+000, 4.5204080E-003, 4.5202549E-003, 0.0000000E+000, 4.0000000E-005, 1.5382470E+003
 3.0041637E+000, 0.0000000E+000,-1.3877856E-005,-1.8255597E-004,-1.5624495E-005, 0.0000000E+000, 4.7361869E-003, 0.0000000E+000, 4.5237965E-003, 4.5241286E-003, 0.0000000E+000, 4.0000000E-005, 1.9750728E+003
 3.6366193E+000, 0.0000000E+000,-1.5588533E-005,-1.7226663E-004,-1.7769995E-005, 0.0000000E+000, 4.7387364E-003, 0.0000000E+000, 4.5324340E-003, 4.5331112E-003, 0.0000000E+000, 4.0000000E-005, 2.4745588E+003
 4.2690749E+000, 0.0000000E+000,-1.6886423E-005,-1.5991053E-004,-1.9416311E-005, 0.0000000E+000, 4.7424495E-003, 0.0000000E+000, 4.5454215E-003, 4.5462363E-003, 0.0000000E+000, 4.0000000E-005, 2.9744304E+003
 4.8224735E+000, 0.0000000E+000,-1.7822961E-005,-1.4726788E-004,-2.0418699E-005, 0.0000000E+000, 4.7466602E-003, 0.0000000E+000, 4.5598838E-003, 4.5611507E-003, 0.0000000E+000, 4.0000000E-005, 3.4121977E+003
 5.4549289E+000, 0.0000000E+000,-1.8436454E-005,-1.3418490E-004,-2.1220149E-005, 0.0000000E+000, 4.7512708E-003, 0.0000000E+000, 4.5763324E-003, 4.5774293E-003, 0.0000000E+000, 4.0000000E-005, 3.9129914E+003
 6.0083275E+000, 0.0000000E+000,-1.8891166E-005,-1.2067003E-004,-2.1800750E-005, 0.0000000E+000, 4.7561571E-003, 0.0000000E+000, 4.5936998E-003, 4.5947951E-003, 0.0000000E+000, 4.0000000E-005, 4.3516404E+003
 6.6407833E+000, 0.0000000E+000,-1.9331955E-005,-1.0660258E-004,-2.2070390E-005, 0.0000000E+000, 4.7614530E-003, 0.0000000E+000, 4.6120884E-003, 4.6134481E-003, 0.0000000E+000, 4.0000000E-005, 4.8535042E+003
 7.2732387E+000, 0.0000000E+000,-1.9664280E-005,-9.1473342E-005,-2.2315604E-005, 0.0000000E+000, 4.7672384E-003, 0.0000000E+000, 4.6325711E-003, 4.6337852E-003, 0.0000000E+000, 4.0000000E-005, 5.3559767E+003
 7.8266373E+000, 0.0000000E+000,-1.9971018E-005,-7.7011852E-005,-2.2391016E-005, 0.0000000E+000, 4.7727816E-003, 0.0000000E+000, 4.6518590E-003, 4.6534078E-003, 0.0000000E+000, 4.0000000E-005, 5.7961462E+003
 8.4590931E+000, 0.0000000E+000,-2.0133124E-005,-6.2676337E-005,-2.2560789E-005, 0.0000000E+000, 4.7783161E-003, 0.0000000E+000, 4.6715744E-003, 4.6729459E-003, 0.0000000E+000, 4.0000000E-005, 6.2997853E+003
 9.0124912E+000, 0.0000000E+000,-2.0267023E-005,-4.8278010E-005,-2.2692867E-005, 0.0000000E+000, 4.7838867E-003, 0.0000000E+000, 4.6914776E-003, 4.6926488E-003, 0.0000000E+000, 4.0000000E-005, 6.7409887E+003
 9.6449471E+000, 0.0000000E+000,-2.0486104E-005,-3.3599338E-005,-2.2642988E-005, 0.0000000E+000, 4.7896185E-003, 0.0000000E+000, 4.7114044E-003, 4.7128901E-003, 0.0000000E+000, 4.0000000E-005, 7.2458186E+003
 1.0277402E+001, 0.0000000E+000,-2.0648888E-005,-1.8051163E-005,-2.2640954E-005, 0.0000000E+000, 4.7957334E-003, 0.0000000E+000, 4.7330689E-003, 4.7343924E-003, 0.0000000E+000, 4.0000000E-005, 7.7512930E+003
 1.0830801E+001, 0.0000000E+000,-2.0847044E-005,-3.3671241E-006,-2.2521800E-005, 0.0000000E+000, 4.8015245E-003, 0.0000000E+000, 4.7532904E-003, 4.7547885E-003, 0.0000000E+000, 4.0000000E-005, 8.1941124E+003
 1.1463257E+001, 0.0000000E+000,-2.0940200E-005, 1.1019539E-005,-2.2460087E-005, 0.0000000E+000, 4.8071595E-003, 0.0000000E+000, 4.7733145E-003, 4.7747787E-003, 0.0000000E+000, 4.0000000E-005, 8.7007910E+003
 1.2016655E+001, 0.0000000E+000,-2.1050071E-005, 2.5276055E-005,-2.2274995E-005, 0.0000000E+000, 4.8128295E-003, 0.0000000E+000, 4.7936200E-003, 4.7947805E-003, 0.0000000E+000, 4.0000000E-005, 9.1446631E+003
 1.2649111E+001, 0.0000000E+000,-2.1295726E-005, 3.9573900E-005,-2.1855984E-005, 0.0000000E+000, 4.8185421E-003, 0.0000000E+000, 4.8135564E-003, 4.8149642E-003, 0.0000000E+000, 4.0000000E-005, 9.6525427E+003
 1.3202509E+001, 0.0000000E+000,-2.1569826E-005, 5.3717011E-005,-2.1437064E-005, 0.0000000E+000, 4.8242312E-003, 0.0000000E+000, 4.8334511E-003, 4.8349413E-003, 0.0000000E+000, 4.0000000E-005, 1.0097457E+004
 1.3834965E+001, 0.0000000E+000,-2.1761181E-005, 6.7552473E-005,-2.1209305E-005, 0.0000000E+000, 4.8297080E-003, 0.0000000E+000, 4.8530581E-003, 4.8542900E-003, 0.0000000E+000, 4.0000000E-005, 1.0606515E+004
 1.4467421E+001, 0.0000000E+000,-2.2033432E-005, 8.2417122E-005,-2.0968259E-005, 0.0000000E+000, 4.8355299E-003, 0.0000000E+000, 4.8735285E-003, 4.8749453E-003, 0.0000000E+000, 4.0000000E-005, 1.1116186E+004
 1.5020819E+001, 0.0000000E+000,-2.2234104E-005, 9.6278152E-005,-2.0897761E-005, 0.0000000E+000, 4.8409534E-003, 0.0000000E+000, 4.8929404E-003, 4.8940997E-003, 0.0000000E+000, 4.0000000E-005, 1.1562653E+004
 1.5653275E+001, 0.0000000E+000,-2.2528349E-005, 1.1044873E-004,-2.0753392E-005, 0.0000000E+000, 4.8465141E-003, 0.0000000E+000, 4.9123857E-003, 4.9136811E-003, 0.0000000E+000, 4.0000000E-005, 1.2073482E+004
 1.6206673E+001, 0.0000000E+000,-2.2806662E-005, 1.2469886E-004,-2.0644864E-005, 0.0000000E+000, 4.8520886E-003, 0.0000000E+000, 4.9317823E-003, 4.9333360E-003, 0.0000000E+000, 4.0000000E-005, 1.2520966E+004
 1.6839128E+001, 0.0000000E+000,-2.2961307E-005, 1.3877302E-004,-2.0692437E-005, 0.0000000E+000, 4.8575688E-003, 0.0000000E+000, 4.9514315E-003, 4.9526881E-003, 0.0000000E+000, 4.0000000E-005, 1.3032959E+004
 1.7471584E+001, 0.0000000E+000,-2.3169605E-005, 1.5394392E-004,-2.0654194E-005, 0.0000000E+000, 4.8634701E-003, 0.0000000E+000, 4.9722268E-003, 4.9735902E-003, 0.0000000E+000, 4.0000000E-005, 1.3545576E+004
 1.8024982E+001, 0.0000000E+000,-2.3302376E-005, 1.6802174E-004,-2.0682606E-005, 0.0000000E+000, 4.8689429E-003, 0.0000000E+000, 4.9917048E-003, 4.9929797E-003, 0.0000000E+000, 4.0000000E-005, 1.3994624E+004
 1.8657438E+001, 0.0000000E+000,-2.3536755E-005, 1.8227714E-004,-2.0557255E-005, 0.0000000E+000, 4.8745880E-003, 0.0000000E+000, 5.0115271E-003, 5.0127712E-003, 0.0000000E+000, 4.0000000E-005, 1.4508412E+004
 1.9210836E+001, 0.0000000E+000,-2.3766048E-005, 1.9650800E-004,-2.0425032E-005, 0.0000000E+000, 4.8801529E-003, 0.0000000E+000, 5.0309512E-003, 5.0324699E-003, 0.0000000E+000, 4.0000000E-005, 1.4958485E+004
