,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2020-02-19T19:24:14.348+01:00,   0.791E-01,   0.07906
      2,2020-02-19T19:24:14.358+01:00,   0.791E-01,   0.15811
      3,2020-02-19T19:24:14.366+01:00,   0.791E-01,   0.23717
      4,2020-02-19T19:24:14.374+01:00,   0.791E-01,   0.31623
      5,2020-02-19T19:24:14.381+01:00,   0.791E-01,   0.39528
      6,2020-02-19T19:24:14.389+01:00,   0.791E-01,   0.47434
      7,2020-02-19T19:24:14.396+01:00,   0.791E-01,   0.55340
      8,2020-02-19T19:24:14.405+01:00,   0.791E-01,   0.63246
      9,2020-02-19T19:24:14.411+01:00,   0.791E-01,   0.71151
     10,2020-02-19T19:24:14.419+01:00,   0.791E-01,   0.79057
     20,2020-02-19T19:24:14.490+01:00,   0.791E-01,   1.58114
     30,2020-02-19T19:24:14.545+01:00,   0.791E-01,   2.37171
     40,2020-02-19T19:24:14.600+01:00,   0.791E-01,   3.16228
     50,2020-02-19T19:24:14.654+01:00,   0.791E-01,   3.95285
     60,2020-02-19T19:24:14.708+01:00,   0.791E-01,   4.74342
     70,2020-02-19T19:24:14.779+01:00,   0.791E-01,   5.53399
     80,2020-02-19T19:24:14.833+01:00,   0.791E-01,   6.32456
     90,2020-02-19T19:24:14.887+01:00,   0.791E-01,   7.11512
    100,2020-02-19T19:24:14.943+01:00,   0.791E-01,   7.90569
    200,2020-02-19T19:24:15.500+01:00,   0.791E-01,  15.81139
    300,2020-02-19T19:24:16.074+01:00,   0.791E-01,  23.71708
    400,2020-02-19T19:24:16.636+01:00,   0.791E-01,  31.62278
    500,2020-02-19T19:24:17.227+01:00,   0.791E-01,  39.52847
    600,2020-02-19T19:24:17.789+01:00,   0.791E-01,  47.43416
    700,2020-02-19T19:24:18.368+01:00,   0.791E-01,  55.33986
    800,2020-02-19T19:24:18.950+01:00,   0.791E-01,  63.24555
    900,2020-02-19T19:24:19.514+01:00,   0.791E-01,  71.15125
   1000,2020-02-19T19:24:20.123+01:00,   0.791E-01,  79.05694
   1100,2020-02-19T19:24:20.803+01:00,   0.791E-01,  86.96264
   1200,2020-02-19T19:24:21.615+01:00,   0.791E-01,  94.86833
   1300,2020-02-19T19:24:22.339+01:00,   0.791E-01, 102.77402
   1400,2020-02-19T19:24:23.152+01:00,   0.791E-01, 110.67972
   1500,2020-02-19T19:24:24.365+01:00,   0.791E-01, 118.58541
   1600,2020-02-19T19:24:25.033+01:00,   0.791E-01, 126.49111
   1700,2020-02-19T19:24:25.685+01:00,   0.791E-01, 134.39680
   1800,2020-02-19T19:24:26.383+01:00,   0.791E-01, 142.30249
   1900,2020-02-19T19:24:26.960+01:00,   0.791E-01, 150.20819
   2000,2020-02-19T19:24:27.743+01:00,   0.791E-01, 158.11388
   2100,2020-02-19T19:24:28.563+01:00,   0.791E-01, 166.01958
   2200,2020-02-19T19:24:29.210+01:00,   0.791E-01, 173.92527
   2300,2020-02-19T19:24:30.052+01:00,   0.791E-01, 181.83097
   2400,2020-02-19T19:24:30.696+01:00,   0.791E-01, 189.73666
   2500,2020-02-19T19:24:31.404+01:00,   0.791E-01, 197.64235
   2600,2020-02-19T19:24:31.986+01:00,   0.791E-01, 205.54805
   2700,2020-02-19T19:24:32.664+01:00,   0.791E-01, 213.45374
   2800,2020-02-19T19:24:33.552+01:00,   0.791E-01, 221.35944
   2900,2020-02-19T19:24:34.336+01:00,   0.791E-01, 229.26513
   3000,2020-02-19T19:24:35.071+01:00,   0.791E-01, 237.17082
   3100,2020-02-19T19:24:35.766+01:00,   0.791E-01, 245.07652
   3200,2020-02-19T19:24:36.492+01:00,   0.791E-01, 252.98221
   3300,2020-02-19T19:24:37.076+01:00,   0.791E-01, 260.88791
   3400,2020-02-19T19:24:37.793+01:00,   0.791E-01, 268.79360
   3500,2020-02-19T19:24:38.540+01:00,   0.791E-01, 276.69930
   3600,2020-02-19T19:24:39.154+01:00,   0.791E-01, 284.60499
   3700,2020-02-19T19:24:39.870+01:00,   0.791E-01, 292.51068
   3800,2020-02-19T19:24:40.537+01:00,   0.791E-01, 300.41638
   3900,2020-02-19T19:24:41.101+01:00,   0.791E-01, 308.32207
   4000,2020-02-19T19:24:43.867+01:00,   0.791E-01, 316.22777
   4100,2020-02-19T19:24:46.498+01:00,   0.791E-01, 324.13346
   4200,2020-02-19T19:24:49.269+01:00,   0.791E-01, 332.03915
   4300,2020-02-19T19:24:51.950+01:00,   0.791E-01, 339.94485
   4400,2020-02-19T19:24:54.619+01:00,   0.791E-01, 347.85054
   4500,2020-02-19T19:24:57.452+01:00,   0.791E-01, 355.75624
   4600,2020-02-19T19:24:59.972+01:00,   0.791E-01, 363.66193
   4700,2020-02-19T19:25:02.528+01:00,   0.791E-01, 371.56763
   4800,2020-02-19T19:25:04.992+01:00,   0.791E-01, 379.47332
   4900,2020-02-19T19:25:07.637+01:00,   0.791E-01, 387.37901
   5000,2020-02-19T19:25:09.289+01:00,   0.791E-01, 395.28471
   5100,2020-02-19T19:25:11.769+01:00,   0.791E-01, 403.19040
   5200,2020-02-19T19:25:14.536+01:00,   0.791E-01, 411.09610
   5300,2020-02-19T19:25:17.061+01:00,   0.791E-01, 419.00179
   5400,2020-02-19T19:25:19.618+01:00,   0.791E-01, 426.90748
   5500,2020-02-19T19:25:22.079+01:00,   0.791E-01, 434.81318
   5600,2020-02-19T19:25:24.840+01:00,   0.791E-01, 442.71887
   5700,2020-02-19T19:25:27.421+01:00,   0.791E-01, 450.62457
   5800,2020-02-19T19:25:30.043+01:00,   0.791E-01, 458.53026
   5900,2020-02-19T19:25:32.665+01:00,   0.791E-01, 466.43595
   6000,2020-02-19T19:25:35.471+01:00,   0.791E-01, 474.34165
   6100,2020-02-19T19:25:37.594+01:00,   0.791E-01, 482.24734
   6200,2020-02-19T19:25:38.399+01:00,   0.791E-01, 490.15304
   6300,2020-02-19T19:25:39.374+01:00,   0.791E-01, 498.05873
   6400,2020-02-19T19:25:40.225+01:00,   0.791E-01, 505.96443
   6500,2020-02-19T19:25:41.722+01:00,   0.791E-01, 513.87012
   6600,2020-02-19T19:25:44.189+01:00,   0.791E-01, 521.77581
   6700,2020-02-19T19:25:46.736+01:00,   0.791E-01, 529.68151
   6800,2020-02-19T19:25:49.274+01:00,   0.791E-01, 537.58720
   6900,2020-02-19T19:25:52.150+01:00,   0.791E-01, 545.49290
   7000,2020-02-19T19:25:54.675+01:00,   0.791E-01, 553.39859
   7100,2020-02-19T19:25:57.222+01:00,   0.791E-01, 561.30428
   7200,2020-02-19T19:25:59.759+01:00,   0.791E-01, 569.20998
   7300,2020-02-19T19:26:02.470+01:00,   0.791E-01, 577.11567
   7400,2020-02-19T19:26:05.010+01:00,   0.791E-01, 585.02137
   7500,2020-02-19T19:26:07.507+01:00,   0.791E-01, 592.92706
   7590,2020-02-19T19:26:09.922+01:00,   0.369E-01, 600.00000
