s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
 0.0000000E+000, 0.0000000E+000,-2.4266733E-018, 0.0000000E+000,-9.2403229E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.3507056E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.3245553E-001, 0.0000000E+000,-7.1432897E-007,-7.1727209E-005,-6.8220296E-007, 0.0000000E+000, 1.6765131E-003, 0.0000000E+000, 1.4239039E-003, 1.6033894E-003, 0.0000000E+000, 1.4152000E-005, 1.5691756E+002
 1.2649111E+000, 0.0000000E+000,-4.2314552E-006,-1.8361354E-004,-3.9838303E-006, 0.0000000E+000, 4.3336984E-003, 0.0000000E+000, 4.0389236E-003, 4.1418696E-003, 0.0000000E+000, 3.6592000E-005, 6.0232874E+002
 1.8183097E+000, 0.0000000E+000,-8.4329567E-006,-1.9685738E-004,-8.4993543E-006, 0.0000000E+000, 4.7356477E-003, 0.0000000E+000, 4.5222350E-003, 4.5218580E-003, 0.0000000E+000, 4.0000000E-005, 1.0391192E+003
 2.4507651E+000, 0.0000000E+000,-1.1589824E-005,-1.9079658E-004,-1.2524690E-005, 0.0000000E+000, 4.7351661E-003, 0.0000000E+000, 4.5204071E-003, 4.5202550E-003, 0.0000000E+000, 4.0000000E-005, 1.5382470E+003
 3.0041637E+000, 0.0000000E+000,-1.3877857E-005,-1.8255593E-004,-1.5624438E-005, 0.0000000E+000, 4.7361870E-003, 0.0000000E+000, 4.5237925E-003, 4.5241287E-003, 0.0000000E+000, 4.0000000E-005, 1.9750728E+003
 3.6366193E+000, 0.0000000E+000,-1.5588537E-005,-1.7226657E-004,-1.7769841E-005, 0.0000000E+000, 4.7387365E-003, 0.0000000E+000, 4.5324272E-003, 4.5331115E-003, 0.0000000E+000, 4.0000000E-005, 2.4745588E+003
 4.2690749E+000, 0.0000000E+000,-1.6886444E-005,-1.5991049E-004,-1.9416033E-005, 0.0000000E+000, 4.7424496E-003, 0.0000000E+000, 4.5454144E-003, 4.5462367E-003, 0.0000000E+000, 4.0000000E-005, 2.9744304E+003
 4.8224735E+000, 0.0000000E+000,-1.7823009E-005,-1.4726790E-004,-2.0418306E-005, 0.0000000E+000, 4.7466603E-003, 0.0000000E+000, 4.5598743E-003, 4.5611511E-003, 0.0000000E+000, 4.0000000E-005, 3.4121977E+003
 5.4549289E+000, 0.0000000E+000,-1.8436540E-005,-1.3418456E-004,-2.1219619E-005, 0.0000000E+000, 4.7512711E-003, 0.0000000E+000, 4.5763200E-003, 4.5774304E-003, 0.0000000E+000, 4.0000000E-005, 3.9129915E+003
 6.0083275E+000, 0.0000000E+000,-1.8891295E-005,-1.2066919E-004,-2.1800154E-005, 0.0000000E+000, 4.7561575E-003, 0.0000000E+000, 4.5936871E-003, 4.5947969E-003, 0.0000000E+000, 4.0000000E-005, 4.3516405E+003
 6.6407833E+000, 0.0000000E+000,-1.9332119E-005,-1.0660112E-004,-2.2069855E-005, 0.0000000E+000, 4.7614537E-003, 0.0000000E+000, 4.6120743E-003, 4.6134506E-003, 0.0000000E+000, 4.0000000E-005, 4.8535044E+003
 7.2732387E+000, 0.0000000E+000,-1.9664463E-005,-9.1471161E-005,-2.2315142E-005, 0.0000000E+000, 4.7672393E-003, 0.0000000E+000, 4.6325545E-003, 4.6337886E-003, 0.0000000E+000, 4.0000000E-005, 5.3559770E+003
 7.8266373E+000, 0.0000000E+000,-1.9971222E-005,-7.7008981E-005,-2.2390301E-005, 0.0000000E+000, 4.7727829E-003, 0.0000000E+000, 4.6518431E-003, 4.6534124E-003, 0.0000000E+000, 4.0000000E-005, 5.7961466E+003
 8.4590931E+000, 0.0000000E+000,-2.0133402E-005,-6.2673078E-005,-2.2559477E-005, 0.0000000E+000, 4.7783178E-003, 0.0000000E+000, 4.6715564E-003, 4.6729518E-003, 0.0000000E+000, 4.0000000E-005, 6.2997858E+003
 9.0124912E+000, 0.0000000E+000,-2.0267440E-005,-4.8274307E-005,-2.2690941E-005, 0.0000000E+000, 4.7838887E-003, 0.0000000E+000, 4.6914534E-003, 4.6926560E-003, 0.0000000E+000, 4.0000000E-005, 6.7409894E+003
 9.6449471E+000, 0.0000000E+000,-2.0486706E-005,-3.3595249E-005,-2.2640391E-005, 0.0000000E+000, 4.7896208E-003, 0.0000000E+000, 4.7113717E-003, 4.7128985E-003, 0.0000000E+000, 4.0000000E-005, 7.2458196E+003
 1.0277402E+001, 0.0000000E+000,-2.0649739E-005,-1.8047339E-005,-2.2637710E-005, 0.0000000E+000, 4.7957358E-003, 0.0000000E+000, 4.7330245E-003, 4.7344010E-003, 0.0000000E+000, 4.0000000E-005, 7.7512942E+003
 1.0830801E+001, 0.0000000E+000,-2.0848237E-005,-3.3647551E-006,-2.2516120E-005, 0.0000000E+000, 4.8015272E-003, 0.0000000E+000, 4.7532335E-003, 4.7547980E-003, 0.0000000E+000, 4.0000000E-005, 8.1941139E+003
 1.1463257E+001, 0.0000000E+000,-2.0942205E-005, 1.1016907E-005,-2.2448883E-005, 0.0000000E+000, 4.8071620E-003, 0.0000000E+000, 4.7732409E-003, 4.7747879E-003, 0.0000000E+000, 4.0000000E-005, 8.7007928E+003
 1.2016655E+001, 0.0000000E+000,-2.1053632E-005, 2.5263924E-005,-2.2256884E-005, 0.0000000E+000, 4.8128305E-003, 0.0000000E+000, 4.7935289E-003, 4.7947839E-003, 0.0000000E+000, 4.0000000E-005, 9.1446649E+003
 1.2649111E+001, 0.0000000E+000,-2.1301350E-005, 3.9550293E-005,-2.1833326E-005, 0.0000000E+000, 4.8185394E-003, 0.0000000E+000, 4.8134495E-003, 4.8149551E-003, 0.0000000E+000, 4.0000000E-005, 9.6525443E+003
 1.3202509E+001, 0.0000000E+000,-2.1577496E-005, 5.3685085E-005,-2.1413551E-005, 0.0000000E+000, 4.8242249E-003, 0.0000000E+000, 4.8333319E-003, 4.8349189E-003, 0.0000000E+000, 4.0000000E-005, 1.0097458E+004
 1.3834965E+001, 0.0000000E+000,-2.1770661E-005, 6.7516502E-005,-2.1185761E-005, 0.0000000E+000, 4.8296994E-003, 0.0000000E+000, 4.8529431E-003, 4.8542595E-003, 0.0000000E+000, 4.0000000E-005, 1.0606515E+004
 1.4467421E+001, 0.0000000E+000,-2.2044613E-005, 8.2377972E-005,-2.0944953E-005, 0.0000000E+000, 4.8355194E-003, 0.0000000E+000, 4.8734365E-003, 4.8749078E-003, 0.0000000E+000, 4.0000000E-005, 1.1116185E+004
 1.5020819E+001, 0.0000000E+000,-2.2246549E-005, 9.6237723E-005,-2.0874913E-005, 0.0000000E+000, 4.8409417E-003, 0.0000000E+000, 4.8928883E-003, 4.8940579E-003, 0.0000000E+000, 4.0000000E-005, 1.1562651E+004
 1.5653275E+001, 0.0000000E+000,-2.2541732E-005, 1.1040807E-004,-2.0732984E-005, 0.0000000E+000, 4.8465011E-003, 0.0000000E+000, 4.9123791E-003, 4.9136344E-003, 0.0000000E+000, 4.0000000E-005, 1.2073478E+004
 1.6206673E+001, 0.0000000E+000,-2.2820778E-005, 1.2465805E-004,-2.0628557E-005, 0.0000000E+000, 4.8520738E-003, 0.0000000E+000, 4.9322378E-003, 4.9332825E-003, 0.0000000E+000, 4.0000000E-005, 1.2520961E+004
 1.6839128E+001, 0.0000000E+000,-2.2976968E-005, 1.3873798E-004,-2.0681477E-005, 0.0000000E+000, 4.8575538E-003, 0.0000000E+000, 4.9536009E-003, 4.9526334E-003, 0.0000000E+000, 4.0000000E-005, 1.3032953E+004
 1.7471584E+001, 0.0000000E+000,-2.3188220E-005, 1.5391490E-004,-2.0645526E-005, 0.0000000E+000, 4.8634555E-003, 0.0000000E+000, 4.9753476E-003, 4.9735367E-003, 0.0000000E+000, 4.0000000E-005, 1.3545568E+004
 1.8024982E+001, 0.0000000E+000,-2.3323981E-005, 1.6799004E-004,-2.0674331E-005, 0.0000000E+000, 4.8689256E-003, 0.0000000E+000, 4.9950672E-003, 4.9929173E-003, 0.0000000E+000, 4.0000000E-005, 1.3994614E+004
 1.8657438E+001, 0.0000000E+000,-2.3561235E-005, 1.8224267E-004,-2.0549998E-005, 0.0000000E+000, 4.8745680E-003, 0.0000000E+000, 5.0151823E-003, 5.0126995E-003, 0.0000000E+000, 4.0000000E-005, 1.4508400E+004
 1.9210836E+001, 0.0000000E+000,-2.3793113E-005, 1.9647384E-004,-2.0421797E-005, 0.0000000E+000, 4.8801306E-003, 0.0000000E+000, 5.0348641E-003, 5.0323896E-003, 0.0000000E+000, 4.0000000E-005, 1.4958471E+004
