,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-06-26T16:17:45.311+02:00,   0.791E-01,   0.07906,   3.10823
      2,2020-06-26T16:17:45.318+02:00,   0.791E-01,   0.15811,   3.13592
      3,2020-06-26T16:17:45.323+02:00,   0.791E-01,   0.23717,   3.15619
      4,2020-06-26T16:17:45.329+02:00,   0.791E-01,   0.31623,   3.18246
      5,2020-06-26T16:17:45.334+02:00,   0.791E-01,   0.39528,   3.20200
      6,2020-06-26T16:17:45.341+02:00,   0.791E-01,   0.47434,   3.22791
      7,2020-06-26T16:17:45.346+02:00,   0.791E-01,   0.55340,   3.24708
      8,2020-06-26T16:17:45.353+02:00,   0.791E-01,   0.63246,   3.27641
      9,2020-06-26T16:17:45.357+02:00,   0.791E-01,   0.71151,   3.29477
     10,2020-06-26T16:17:45.363+02:00,   0.791E-01,   0.79057,   3.31868
     20,2020-06-26T16:17:45.412+02:00,   0.791E-01,   1.58114,   3.49802
     30,2020-06-26T16:17:45.445+02:00,   0.791E-01,   2.37171,   3.63155
     40,2020-06-26T16:17:45.479+02:00,   0.791E-01,   3.16228,   3.76860
     50,2020-06-26T16:17:45.512+02:00,   0.791E-01,   3.95285,   3.90152
     60,2020-06-26T16:17:45.546+02:00,   0.791E-01,   4.74342,   4.03454
     70,2020-06-26T16:17:45.594+02:00,   0.791E-01,   5.53399,   4.21581
     80,2020-06-26T16:17:45.628+02:00,   0.791E-01,   6.32456,   4.35099
     90,2020-06-26T16:17:45.662+02:00,   0.791E-01,   7.11512,   4.48508
    100,2020-06-26T16:17:45.696+02:00,   0.791E-01,   7.90569,   4.62164
    200,2020-06-26T16:17:46.045+02:00,   0.791E-01,  15.81139,   6.00605
    300,2020-06-26T16:17:46.410+02:00,   0.791E-01,  23.71708,   7.44150
    400,2020-06-26T16:17:46.761+02:00,   0.791E-01,  31.62278,   8.83211
    500,2020-06-26T16:17:47.123+02:00,   0.791E-01,  39.52847,  10.25670
    600,2020-06-26T16:17:47.473+02:00,   0.791E-01,  47.43416,  11.64522
    700,2020-06-26T16:17:47.833+02:00,   0.791E-01,  55.33986,  13.06472
    800,2020-06-26T16:17:48.199+02:00,   0.791E-01,  63.24555,  14.50496
    900,2020-06-26T16:17:48.551+02:00,   0.791E-01,  71.15125,  15.90038
   1000,2020-06-26T16:17:48.916+02:00,   0.791E-01,  79.05694,  17.33232
   1100,2020-06-26T16:17:49.272+02:00,   0.791E-01,  86.96264,  18.74262
   1200,2020-06-26T16:17:49.987+02:00,   0.791E-01,  94.86833,  21.55188
   1300,2020-06-26T16:17:50.336+02:00,   0.791E-01, 102.77402,  22.93509
   1400,2020-06-26T16:17:50.904+02:00,   0.791E-01, 110.67972,  25.07049
   1500,2020-06-26T16:17:51.250+02:00,   0.791E-01, 118.58541,  26.44323
   1600,2020-06-26T16:17:51.748+02:00,   0.791E-01, 126.49111,  28.31171
   1700,2020-06-26T16:17:52.117+02:00,   0.791E-01, 134.39680,  29.75775
   1800,2020-06-26T16:17:52.669+02:00,   0.791E-01, 142.30249,  31.82085
   1900,2020-06-26T16:17:53.321+02:00,   0.791E-01, 150.20819,  34.37719
   2000,2020-06-26T16:17:54.209+02:00,   0.791E-01, 158.11388,  37.80011
   2100,2020-06-26T16:17:55.250+02:00,   0.791E-01, 166.01958,  41.92440
   2200,2020-06-26T16:17:55.849+02:00,   0.791E-01, 173.92527,  44.27824
   2300,2020-06-26T16:17:56.299+02:00,   0.791E-01, 181.83097,  46.05395
   2400,2020-06-26T16:17:56.915+02:00,   0.791E-01, 189.73666,  48.36324
   2500,2020-06-26T16:17:57.379+02:00,   0.791E-01, 197.64235,  50.18988
   2600,2020-06-26T16:17:58.181+02:00,   0.791E-01, 205.54805,  53.18480
   2700,2020-06-26T16:17:58.821+02:00,   0.791E-01, 213.45374,  55.61603
   2800,2020-06-26T16:17:59.261+02:00,   0.791E-01, 221.35944,  57.35107
   2900,2020-06-26T16:17:59.878+02:00,   0.791E-01, 229.26513,  59.80055
   3000,2020-06-26T16:18:00.328+02:00,   0.791E-01, 237.17082,  61.56980
   3100,2020-06-26T16:18:00.831+02:00,   0.791E-01, 245.07652,  63.50783
   3200,2020-06-26T16:18:01.255+02:00,   0.791E-01, 252.98221,  65.19408
   3300,2020-06-26T16:18:01.910+02:00,   0.791E-01, 260.88791,  67.62723
