,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2020-02-19T19:24:16.478+01:00,   0.204E+00,   0.20412
      2,2020-02-19T19:24:16.575+01:00,   0.204E+00,   0.40825
      3,2020-02-19T19:24:16.681+01:00,   0.204E+00,   0.61237
      4,2020-02-19T19:24:16.831+01:00,   0.204E+00,   0.81650
      5,2020-02-19T19:24:16.928+01:00,   0.204E+00,   1.02062
      6,2020-02-19T19:24:17.050+01:00,   0.204E+00,   1.22474
      7,2020-02-19T19:24:17.220+01:00,   0.204E+00,   1.42887
      8,2020-02-19T19:24:17.325+01:00,   0.204E+00,   1.63299
      9,2020-02-19T19:24:17.435+01:00,   0.204E+00,   1.83712
     10,2020-02-19T19:24:17.591+01:00,   0.204E+00,   2.04124
     20,2020-02-19T19:24:18.905+01:00,   0.204E+00,   4.08248
     30,2020-02-19T19:24:20.427+01:00,   0.204E+00,   6.12372
     40,2020-02-19T19:24:21.948+01:00,   0.204E+00,   8.16497
     50,2020-02-19T19:24:23.021+01:00,   0.204E+00,  10.20621
     60,2020-02-19T19:24:24.086+01:00,   0.204E+00,  12.24745
     70,2020-02-19T19:24:25.429+01:00,   0.204E+00,  14.28869
     80,2020-02-19T19:24:26.547+01:00,   0.204E+00,  16.32993
     90,2020-02-19T19:24:27.741+01:00,   0.204E+00,  18.37117
    100,2020-02-19T19:24:29.426+01:00,   0.204E+00,  20.41241
    147,2020-02-19T19:24:39.552+01:00,   0.198E+00,  30.00000
