s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa,Pa,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1,ZONE_2,ZONE_3
 0.0000000E+000, 0.0000000E+000,-1.1379743E-003,-2.7959863E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1382539E-003, 0.0000000E+000, 0.0000000E+000,-1.1758870E+000,-1.1758870E+000,-1.1758870E+000
 2.0412415E-001, 0.0000000E+000,-2.0670888E-003,-5.0811696E-001,-5.9437237E-004, 0.0000000E+000, 1.1847837E+001, 0.0000000E+000, 5.6675096E+000, 1.1337059E+001, 0.0000000E+000, 1.0000000E-001, 1.8977934E+001,-1.1760783E+000,-1.1760965E+000
 4.0824831E-001, 0.0000000E+000,-7.0094719E-003,-5.0811477E-001,-2.5482847E-003, 0.0000000E+000, 1.1846270E+001, 0.0000000E+000, 1.1335034E+001, 1.1328597E+001, 0.0000000E+000, 1.0000000E-001, 5.9284388E+001,-1.1760685E+000,-1.1760641E+000
 6.1237246E-001, 0.0000000E+000,-1.1946605E-002,-5.0811080E-001,-5.0169346E-003, 0.0000000E+000, 1.1843261E+001, 0.0000000E+000, 1.1325181E+001, 1.1318187E+001, 0.0000000E+000, 1.0000000E-001, 9.9581035E+001,-1.1760407E+000,-1.1760105E+000
 8.1649661E-001, 0.0000000E+000,-1.6370765E-002,-5.0810640E-001,-7.8358902E-003, 0.0000000E+000, 1.1840199E+001, 0.0000000E+000, 1.1314596E+001, 1.1307886E+001, 0.0000000E+000, 1.0000000E-001, 1.3986703E+002,-1.1759703E+000,-1.1759017E+000
 1.0206207E+000, 0.0000000E+000,-2.1296893E-002,-5.0810237E-001,-1.0931074E-002, 0.0000000E+000, 1.1837029E+001, 0.0000000E+000, 1.1304275E+001, 1.1296698E+001, 0.0000000E+000, 1.0000000E-001, 1.8014259E+002,-1.1758528E+000,-1.1757224E+000
 1.2247449E+000, 0.0000000E+000,-2.6217125E-002,-5.0809943E-001,-1.4257456E-002, 0.0000000E+000, 1.1833678E+001, 0.0000000E+000, 1.1292877E+001, 1.1285104E+001, 0.0000000E+000, 1.0000000E-001, 2.2040678E+002,-1.1757070E+000,-1.1754861E+000
 1.4288690E+000, 0.0000000E+000,-3.0106818E-002,-5.0809798E-001,-1.7781882E-002, 0.0000000E+000, 1.1830477E+001, 0.0000000E+000, 1.1281171E+001, 1.1274490E+001, 0.0000000E+000, 1.0000000E-001, 2.6065941E+002,-1.1755519E+000,-1.1752115E+000
 1.6329932E+000, 0.0000000E+000,-3.5015491E-002,-5.0809808E-001,-2.1480310E-002, 0.0000000E+000, 1.1827235E+001, 0.0000000E+000, 1.1270639E+001, 1.1262641E+001, 0.0000000E+000, 1.0000000E-001, 3.0090176E+002,-1.1754018E+000,-1.1749172E+000
 1.8371173E+000, 0.0000000E+000,-3.9917942E-002,-5.0809950E-001,-2.5333894E-002, 0.0000000E+000, 1.1823755E+001, 0.0000000E+000, 1.1258455E+001, 1.1250404E+001, 0.0000000E+000, 1.0000000E-001, 3.4113236E+002,-1.1752672E+000,-1.1746231E+000
 2.0412414E+000, 0.0000000E+000,-4.3273656E-002,-5.0810178E-001,-2.9328237E-002, 0.0000000E+000, 1.1820548E+001, 0.0000000E+000, 1.1246084E+001, 1.1239845E+001, 0.0000000E+000, 1.0000000E-001, 3.8135112E+002,-1.1751492E+000,-1.1743413E+000
 2.2453656E+000, 0.0000000E+000,-4.8164335E-002,-5.0810441E-001,-3.3452349E-002, 0.0000000E+000, 1.1817302E+001, 0.0000000E+000, 1.1235697E+001, 1.1227581E+001, 0.0000000E+000, 1.0000000E-001, 4.2155998E+002,-1.1750422E+000,-1.1740768E+000
 2.4494898E+000, 0.0000000E+000,-5.3048425E-002,-5.0810687E-001,-3.7695400E-002, 0.0000000E+000, 1.1813500E+001, 0.0000000E+000, 1.1222636E+001, 1.1214649E+001, 0.0000000E+000, 1.0000000E-001, 4.6175637E+002,-1.1749397E+000,-1.1738312E+000
 2.6536138E+000, 0.0000000E+000,-5.5915500E-002,-5.0810876E-001,-4.2048712E-002, 0.0000000E+000, 1.1810262E+001, 0.0000000E+000, 1.1209444E+001, 1.1204189E+001, 0.0000000E+000, 1.0000000E-001, 5.0194011E+002,-1.1748348E+000,-1.1736018E+000
 2.8577380E+000, 0.0000000E+000,-6.0787575E-002,-5.0810984E-001,-4.6505831E-002, 0.0000000E+000, 1.1806974E+001, 0.0000000E+000, 1.1199299E+001, 1.1191571E+001, 0.0000000E+000, 1.0000000E-001, 5.4211411E+002,-1.1747228E+000,-1.1733841E+000
 3.0618622E+000, 0.0000000E+000,-6.5653052E-002,-5.0811007E-001,-5.1059231E-002, 0.0000000E+000, 1.1803237E+001, 0.0000000E+000, 1.1186216E+001, 1.1178414E+001, 0.0000000E+000, 1.0000000E-001, 5.8227547E+002,-1.1746033E+000,-1.1731740E+000
 3.2659864E+000, 0.0000000E+000,-6.8077920E-002,-5.0810958E-001,-5.5703002E-002, 0.0000000E+000, 1.1799937E+001, 0.0000000E+000, 1.1173011E+001, 1.1168046E+001, 0.0000000E+000, 1.0000000E-001, 6.2242403E+002,-1.1744778E+000,-1.1729679E+000
 3.4701104E+000, 0.0000000E+000,-7.2931467E-002,-5.0810858E-001,-6.0432937E-002, 0.0000000E+000, 1.1796594E+001, 0.0000000E+000, 1.1163089E+001, 1.1155121E+001, 0.0000000E+000, 1.0000000E-001, 6.6256293E+002,-1.1743492E+000,-1.1727626E+000
 3.6742346E+000, 0.0000000E+000,-7.7778265E-002,-5.0810737E-001,-6.5242840E-002, 0.0000000E+000, 1.1792731E+001, 0.0000000E+000, 1.1149648E+001, 1.1141603E+001, 0.0000000E+000, 1.0000000E-001, 7.0268875E+002,-1.1742207E+000,-1.1725558E+000
 3.8783588E+000, 0.0000000E+000,-8.0041365E-002,-5.0810622E-001,-7.0128229E-002, 0.0000000E+000, 1.1789352E+001, 0.0000000E+000, 1.1136099E+001, 1.1131076E+001, 0.0000000E+000, 1.0000000E-001, 7.4280137E+002,-1.1740943E+000,-1.1723456E+000
 4.0824828E+000, 0.0000000E+000,-8.4876040E-002,-5.0810536E-001,-7.5086453E-002, 0.0000000E+000, 1.1785949E+001, 0.0000000E+000, 1.1126051E+001, 1.1117881E+001, 0.0000000E+000, 1.0000000E-001, 7.8290420E+002,-1.1739708E+000,-1.1721302E+000
 4.2866073E+000, 0.0000000E+000,-8.9703841E-002,-5.0810490E-001,-8.0112478E-002, 0.0000000E+000, 1.1782014E+001, 0.0000000E+000, 1.1112306E+001, 1.1104093E+001, 0.0000000E+000, 1.0000000E-001, 8.2299367E+002,-1.1738498E+000,-1.1719084E+000
 4.4907312E+000, 0.0000000E+000,-9.1842075E-002,-5.0810487E-001,-8.5202872E-002, 0.0000000E+000, 1.1778597E+001, 0.0000000E+000, 1.1098475E+001, 1.1093447E+001, 0.0000000E+000, 1.0000000E-001, 8.6306972E+002,-1.1737301E+000,-1.1716792E+000
