,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-06-26T16:19:17.199+02:00,   0.204E+00,   0.20412,   6.08544
      2,2020-06-26T16:19:17.276+02:00,   0.204E+00,   0.40825,   6.39138
      3,2020-06-26T16:19:17.357+02:00,   0.204E+00,   0.61237,   6.70729
      4,2020-06-26T16:19:17.467+02:00,   0.204E+00,   0.81650,   7.13969
      5,2020-06-26T16:19:17.542+02:00,   0.204E+00,   1.02062,   7.43764
      6,2020-06-26T16:19:17.620+02:00,   0.204E+00,   1.22474,   7.74275
      7,2020-06-26T16:19:17.727+02:00,   0.204E+00,   1.42887,   8.16807
      8,2020-06-26T16:19:17.805+02:00,   0.204E+00,   1.63299,   8.47415
      9,2020-06-26T16:19:17.884+02:00,   0.204E+00,   1.83712,   8.78661
     10,2020-06-26T16:19:17.990+02:00,   0.204E+00,   2.04124,   9.20591
     20,2020-06-26T16:19:18.850+02:00,   0.204E+00,   4.08248,  12.59299
     30,2020-06-26T16:19:19.848+02:00,   0.204E+00,   6.12372,  16.41625
     40,2020-06-26T16:19:20.891+02:00,   0.204E+00,   8.16497,  20.40325
     50,2020-06-26T16:19:21.941+02:00,   0.204E+00,  10.20621,  24.37277
     60,2020-06-26T16:19:22.850+02:00,   0.204E+00,  12.24745,  27.91271
     70,2020-06-26T16:19:23.797+02:00,   0.204E+00,  14.28869,  31.59506
     80,2020-06-26T16:19:24.743+02:00,   0.204E+00,  16.32993,  35.25047
     90,2020-06-26T16:19:25.767+02:00,   0.204E+00,  18.37117,  39.13367
    100,2020-06-26T16:19:26.758+02:00,   0.204E+00,  20.41241,  42.94683
    147,2020-06-26T16:19:31.455+02:00,   0.198E+00,  30.00000,  60.98589
