s,status
Time,"Delta p"
 0.0000000E+000,-1
 3.7500000E-001,-1
 6.2500000E-001,-1
 1.0000000E+000,-1
 1.2500000E+000,-1
 1.5000000E+000,-1
 1.8750000E+000,-1
 2.1250000E+000,-1
 2.5000000E+000,-1
 2.7500000E+000,-1
 3.0000000E+000,-1
 3.3750000E+000,-1
 3.6250000E+000,-1
 4.0000000E+000,-1
 4.2500000E+000,-1
 4.5000000E+000,-1
 4.8750000E+000,-1
 5.1250000E+000,-1
 5.5000000E+000,-1
 5.7500000E+000,-1
 6.0000000E+000,-1
 6.3750000E+000,-1
 6.6250000E+000,-1
 7.0000000E+000,-1
 7.2500000E+000,-1
 7.5000000E+000,-1
 7.8750000E+000,-1
 8.1250000E+000,-1
 8.5000000E+000,-1
 8.7500000E+000,-1
 9.0000000E+000,-1
 9.3750000E+000,-1
 9.6250000E+000,-1
 1.0000000E+001,-1
 1.0250000E+001,-1
 1.0625000E+001,-1
 1.0875000E+001,-1
 1.1125000E+001,-1
 1.1500000E+001,-1
 1.1750000E+001,-1
 1.2125000E+001,-1
 1.2375000E+001,-1
 1.2625000E+001,-1
 1.3000000E+001,-1
 1.3250000E+001,-1
 1.3625000E+001,-1
 1.3875000E+001,-1
 1.4125000E+001,-1
 1.4500000E+001,-1
 1.4750000E+001,-1
 1.5125000E+001,-1
 1.5375000E+001,-1
 1.5625000E+001,-1
 1.6000000E+001,-1
 1.6250000E+001,-1
 1.6625000E+001,-1
 1.6875000E+001,-1
 1.7125000E+001,-1
 1.7500000E+001,-1
 1.7750000E+001,-1
 1.8125000E+001,-1
 1.8375000E+001,-1
 1.8625000E+001,-1
 1.9000000E+001,-1
 1.9250000E+001,-1
 1.9625000E+001,-1
 1.9875000E+001,-1
 2.0125000E+001,-1
 2.0500000E+001,-1
 2.0750000E+001,-1
 2.1125000E+001,-1
 2.1375000E+001,-1
 2.1625000E+001,-1
 2.2000000E+001,-1
 2.2250000E+001,-1
 2.2625000E+001,-1
 2.2875000E+001,-1
 2.3125000E+001,-1
 2.3500000E+001,-1
 2.3750000E+001,-1
 2.4125000E+001,-1
