s,Pa,Pa,Pa
Time,"p_1","p_2","Delta p"
 0.0000000E+000,-1.8677800E-005,-6.7668737E-006, 1.1910927E-005
 5.0000000E+000,-8.0046475E+000, 8.8180531E+001, 9.9416582E+001
 1.0000000E+001,-8.3566151E+000, 9.1030793E+001, 9.9418265E+001
 1.5000000E+001,-8.4569033E+000, 9.0983024E+001, 9.9443999E+001
 2.0000000E+001,-8.5514040E+000, 9.0861265E+001, 9.9394757E+001
 2.5000000E+001,-8.6432781E+000, 9.0762190E+001, 9.9424919E+001
 3.0000000E+001,-8.7336100E+000, 9.0700149E+001, 9.9434590E+001
 3.5000000E+001,-8.8206729E+000, 9.0600808E+001, 9.9408141E+001
 4.0000000E+001,-8.9059101E+000, 9.0499602E+001, 9.9409141E+001
 4.5000000E+001,-8.9902175E+000, 9.0436335E+001, 9.9438339E+001
 5.0000000E+001,-9.0729545E+000, 9.0364777E+001, 9.9434117E+001
 5.5000000E+001,-9.1532550E+000, 9.0274659E+001, 9.9422681E+001
 6.0000000E+001,-9.2308117E+000, 9.0191547E+001, 9.9425856E+001
 6.5000000E+001,-9.3061750E+000, 9.0127988E+001, 9.9439807E+001
 7.0000000E+001,-9.3787626E+000, 9.0060938E+001, 9.9437680E+001
 7.5000000E+001,-9.4473692E+000, 8.9986471E+001, 9.9430243E+001
 8.0000000E+001,-9.5129223E+000, 8.9915800E+001, 9.9429426E+001
 8.5000000E+001,-9.5779108E+000, 8.9854866E+001, 9.9435566E+001
 9.0000000E+001,-9.6411143E+000, 8.9794312E+001, 9.9433958E+001
 9.5000000E+001,-9.7026259E+000, 8.9728878E+001, 9.9429380E+001
 1.0000000E+002,-9.7620590E+000, 8.9666567E+001, 9.9429326E+001
 1.0500000E+002,-9.8191237E+000, 8.9613709E+001, 9.9436592E+001
 1.1000000E+002,-9.8745910E+000, 8.9564166E+001, 9.9439241E+001
 1.1500000E+002,-9.9283859E+000, 8.9509185E+001, 9.9435824E+001
 1.2000000E+002,-9.9804028E+000, 8.9454370E+001, 9.9434394E+001
 1.2500000E+002,-1.0030564E+001, 8.9404017E+001, 9.9435077E+001
 1.3000000E+002,-1.0078810E+001, 8.9357325E+001, 9.9436758E+001
 1.3500000E+002,-1.0124867E+001, 8.9311341E+001, 9.9435340E+001
 1.4000000E+002,-1.0169069E+001, 8.9265221E+001, 9.9433701E+001
 1.4500000E+002,-1.0211678E+001, 8.9222727E+001, 9.9435769E+001
 1.5000000E+002,-1.0252537E+001, 8.9185691E+001, 9.9440210E+001
 1.5500000E+002,-1.0291767E+001, 8.9150362E+001, 9.9443358E+001
 1.6000000E+002,-1.0329631E+001, 8.9113139E+001, 9.9441974E+001
 1.6500000E+002,-1.0365328E+001, 8.9076324E+001, 9.9441539E+001
 1.7000000E+002,-1.0398397E+001, 8.9042988E+001, 9.9442065E+001
 1.7500000E+002,-1.0428130E+001, 8.9016474E+001, 9.9446244E+001
 1.8000000E+002,-1.0454105E+001, 8.8991197E+001, 9.9444845E+001
 1.8500000E+002,-1.0476475E+001, 8.8969504E+001, 9.9447354E+001
 1.9000000E+002,-1.0494119E+001, 8.8954193E+001, 9.9448838E+001
 1.9500000E+002,-1.0506474E+001, 8.8943553E+001, 9.9451719E+001
 2.0000000E+002,-1.0515563E+001, 8.8937813E+001, 9.9453976E+001
 2.0500000E+002,-1.0523493E+001, 8.8929116E+001, 9.9451119E+001
 2.1000000E+002,-1.0529977E+001, 8.8920565E+001, 9.9450420E+001
 2.1500000E+002,-1.0534902E+001, 8.8915862E+001, 9.9451115E+001
 2.2000000E+002,-1.0537666E+001, 8.8913775E+001, 9.9451515E+001
 2.2500000E+002,-1.0537473E+001, 8.8913510E+001, 9.9450797E+001
 2.3000000E+002,-1.0534747E+001, 8.8916381E+001, 9.9451368E+001
 2.3500000E+002,-1.0529865E+001, 8.8921812E+001, 9.9452511E+001
 2.4000000E+002,-1.0523245E+001, 8.8931471E+001, 9.9456785E+001
 2.4500000E+002,-1.0515438E+001, 8.8942001E+001, 9.9457295E+001
 2.5000000E+002,-1.0506894E+001, 8.8949283E+001, 9.9454523E+001
 2.5500000E+002,-1.0497839E+001, 8.8954293E+001, 9.9450223E+001
 2.6000000E+002,-1.0488368E+001, 8.8962475E+001, 9.9452795E+001
 2.6500000E+002,-1.0478404E+001, 8.8976645E+001, 9.9456246E+001
 2.7000000E+002,-1.0467890E+001, 8.8988343E+001, 9.9455310E+001
 2.7500000E+002,-1.0457050E+001, 8.8996471E+001, 9.9451384E+001
 2.8000000E+002,-1.0446016E+001, 8.9003803E+001, 9.9451069E+001
 2.8500000E+002,-1.0434635E+001, 8.9019963E+001, 9.9457202E+001
 2.9000000E+002,-1.0422789E+001, 8.9035565E+001, 9.9459525E+001
 2.9500000E+002,-1.0410310E+001, 8.9048458E+001, 9.9456725E+001
 3.0000000E+002,-1.0397650E+001, 8.9058468E+001, 9.9456208E+001
