s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1,ZONE_2
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9872620E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9872620E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.7500000E-001, 0.0000000E+000, 0.0000000E+000,-9.2857798E-005,-2.8302007E-003, 0.0000000E+000,-2.4972251E-003, 0.0000000E+000,-6.1585053E-003,-5.4202836E-003, 0.0000000E+000, 0.0000000E+000,-7.5154339E+000, 8.3524569E+001
 6.2500000E-001, 0.0000000E+000, 0.0000000E+000,-5.3331532E-004,-5.9698565E-003, 0.0000000E+000,-6.1988354E-003, 0.0000000E+000,-2.0039696E-002,-1.2702007E-002, 0.0000000E+000, 0.0000000E+000,-9.1634044E+000, 1.0178039E+002
 1.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.4082473E-004,-6.0347346E-003, 0.0000000E+000,-6.4158198E-003, 0.0000000E+000,-2.2752180E-002,-1.3091379E-002, 0.0000000E+000, 0.0000000E+000,-8.8310327E+000, 9.7972807E+001
 1.2500000E+000, 0.0000000E+000, 0.0000000E+000,-6.0783482E-004,-5.5777505E-003, 0.0000000E+000,-5.9863715E-003, 0.0000000E+000,-2.1445736E-002,-1.2171957E-002, 0.0000000E+000, 0.0000000E+000,-8.4442022E+000, 9.3601539E+001
 1.5000000E+000, 0.0000000E+000, 0.0000000E+000,-5.7962314E-004,-5.3672107E-003, 0.0000000E+000,-5.8070110E-003, 0.0000000E+000,-2.0493867E-002,-1.1753845E-002, 0.0000000E+000, 0.0000000E+000,-8.3299812E+000, 9.2264119E+001
 1.8750000E+000, 0.0000000E+000, 0.0000000E+000,-5.6791333E-004,-5.1623039E-003, 0.0000000E+000,-5.7008232E-003, 0.0000000E+000,-1.9939241E-002,-1.1431040E-002, 0.0000000E+000, 0.0000000E+000,-8.3143110E+000, 9.1991391E+001
 2.1250000E+000, 0.0000000E+000, 0.0000000E+000,-5.6403140E-004,-5.0368121E-003, 0.0000000E+000,-5.6076892E-003, 0.0000000E+000,-1.9754325E-002,-1.1208533E-002, 0.0000000E+000, 0.0000000E+000,-8.2686916E+000, 9.1419190E+001
 2.5000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4342281E-004,-4.9290787E-003, 0.0000000E+000,-5.4333540E-003, 0.0000000E+000,-1.9301713E-002,-1.0905855E-002, 0.0000000E+000, 0.0000000E+000,-8.3589452E+000, 9.2327282E+001
 2.7500000E+000, 0.0000000E+000, 0.0000000E+000,-5.5277751E-004,-4.8074349E-003, 0.0000000E+000,-5.4396538E-003, 0.0000000E+000,-1.9245899E-002,-1.0799866E-002, 0.0000000E+000, 0.0000000E+000,-8.3127860E+000, 9.1750713E+001
