,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-06-26T16:17:46.118+02:00,   0.125E+00,   0.12500,   2.27021
      2,2020-06-26T16:17:46.829+02:00,   0.125E+00,   0.25000,   3.69131
      3,2020-06-26T16:17:47.587+02:00,   0.125E+00,   0.37500,   5.20824
      4,2020-06-26T16:17:47.639+02:00,   0.125E+00,   0.50000,   5.31272
      5,2020-06-26T16:17:47.659+02:00,   0.125E+00,   0.62500,   5.35220
      6,2020-06-26T16:17:47.678+02:00,   0.125E+00,   0.75000,   5.38857
      7,2020-06-26T16:17:47.755+02:00,   0.125E+00,   0.87500,   5.54402
      8,2020-06-26T16:17:47.894+02:00,   0.125E+00,   1.00000,   5.81606
      9,2020-06-26T16:17:47.946+02:00,   0.125E+00,   1.12500,   5.91871
     10,2020-06-26T16:17:47.991+02:00,   0.125E+00,   1.25000,   6.00809
     20,2020-06-26T16:17:48.186+02:00,   0.125E+00,   2.50000,   6.39755
     30,2020-06-26T16:17:48.361+02:00,   0.125E+00,   3.75000,   6.74768
     40,2020-06-26T16:17:48.559+02:00,   0.125E+00,   5.00000,   7.13709
     50,2020-06-26T16:17:48.754+02:00,   0.125E+00,   6.25000,   7.52634
     60,2020-06-26T16:17:48.920+02:00,   0.125E+00,   7.50000,   7.85688
     70,2020-06-26T16:17:49.091+02:00,   0.125E+00,   8.75000,   8.19028
     80,2020-06-26T16:17:49.292+02:00,   0.125E+00,  10.00000,   8.59132
     90,2020-06-26T16:17:49.460+02:00,   0.125E+00,  11.25000,   8.92613
    100,2020-06-26T16:17:49.647+02:00,   0.125E+00,  12.50000,   9.28677
    200,2020-06-26T16:17:51.686+02:00,   0.125E+00,  25.00000,  13.25986
    300,2020-06-26T16:17:53.473+02:00,   0.125E+00,  37.50000,  16.76747
    400,2020-06-26T16:17:55.890+02:00,   0.125E+00,  50.00000,  21.42555
    500,2020-06-26T16:17:57.556+02:00,   0.125E+00,  62.50000,  24.71042
    600,2020-06-26T16:18:00.496+02:00,   0.125E+00,  75.00000,  30.07363
    700,2020-06-26T16:18:03.037+02:00,   0.125E+00,  87.50000,  34.89123
    800,2020-06-26T16:18:05.905+02:00,   0.125E+00, 100.00000,  40.41194
    900,2020-06-26T16:18:08.871+02:00,   0.125E+00, 112.50000,  46.23494
   1000,2020-06-26T16:18:11.962+02:00,   0.125E+00, 125.00000,  52.10474
   1100,2020-06-26T16:18:14.985+02:00,   0.125E+00, 137.50000,  57.88248
   1200,2020-06-26T16:18:17.516+02:00,   0.125E+00, 150.00000,  62.77164
   1300,2020-06-26T16:18:20.468+02:00,   0.125E+00, 162.50000,  68.28407
   1400,2020-06-26T16:18:23.322+02:00,   0.125E+00, 175.00000,  73.75030
   1500,2020-06-26T16:18:26.434+02:00,   0.125E+00, 187.50000,  79.37250
   1600,2020-06-26T16:18:29.503+02:00,   0.125E+00, 200.00000,  85.22871
   1700,2020-06-26T16:18:32.762+02:00,   0.125E+00, 212.50000,  91.26884
   1800,2020-06-26T16:18:35.775+02:00,   0.125E+00, 225.00000,  96.77402
   1900,2020-06-26T16:18:38.802+02:00,   0.125E+00, 237.50000, 102.52852
   2000,2020-06-26T16:18:41.933+02:00,   0.125E+00, 250.00000, 108.10470
   2100,2020-06-26T16:18:44.958+02:00,   0.125E+00, 262.50000, 114.05474
   2200,2020-06-26T16:18:47.739+02:00,   0.125E+00, 275.00000, 119.29884
   2300,2020-06-26T16:18:50.728+02:00,   0.125E+00, 287.50000, 124.84895
   2400,2020-06-26T16:18:53.430+02:00,   0.125E+00, 300.00000, 129.81264
