s,Pa,Pa,Pa
Time,"p_1","p_2","Delta p"
 0.0000000E+000,-1.8677800E-005,-6.7668737E-006, 1.1910927E-005
 5.0000000E+000,-8.0051454E+000, 8.8178028E+001, 9.9421663E+001
 1.0000000E+001,-8.3598491E+000, 9.1062081E+001, 9.9420981E+001
 1.5000000E+001,-8.4612688E+000, 9.0960047E+001, 9.9423599E+001
 2.0000000E+001,-8.5600658E+000, 9.0865436E+001, 9.9426202E+001
 2.5000000E+001,-8.6563403E+000, 9.0770424E+001, 9.9427477E+001
 3.0000000E+001,-8.7501524E+000, 9.0677227E+001, 9.9426776E+001
 3.5000000E+001,-8.8422533E+000, 9.0584076E+001, 9.9426531E+001
 4.0000000E+001,-8.9329494E+000, 9.0494583E+001, 9.9428411E+001
 4.5000000E+001,-9.0217143E+000, 9.0407564E+001, 9.9430408E+001
 5.0000000E+001,-9.1091663E+000, 9.0323262E+001, 9.9434342E+001
 5.5000000E+001,-9.1948576E+000, 9.0240411E+001, 9.9435485E+001
 6.0000000E+001,-9.2779193E+000, 9.0157620E+001, 9.9435602E+001
 6.5000000E+001,-9.3583594E+000, 9.0077498E+001, 9.9436293E+001
 7.0000000E+001,-9.4360686E+000, 9.0000705E+001, 9.9437204E+001
 7.5000000E+001,-9.5106705E+000, 8.9926507E+001, 9.9437046E+001
 8.0000000E+001,-9.5827530E+000, 8.9854089E+001, 9.9436421E+001
 8.5000000E+001,-9.6530326E+000, 8.9782657E+001, 9.9434967E+001
 9.0000000E+001,-9.7214093E+000, 8.9713332E+001, 9.9434825E+001
 9.5000000E+001,-9.7880344E+000, 8.9647711E+001, 9.9436516E+001
 1.0000000E+002,-9.8522769E+000, 8.9585166E+001, 9.9439056E+001
 1.0500000E+002,-9.9138159E+000, 8.9527215E+001, 9.9442441E+001
 1.1000000E+002,-9.9736291E+000, 8.9468991E+001, 9.9442171E+001
 1.1500000E+002,-1.0031663E+001, 8.9409372E+001, 9.9440332E+001
 1.2000000E+002,-1.0087538E+001, 8.9352418E+001, 9.9439305E+001
 1.2500000E+002,-1.0141297E+001, 8.9296680E+001, 9.9437320E+001
 1.3000000E+002,-1.0193179E+001, 8.9244995E+001, 9.9439117E+001
 1.3500000E+002,-1.0242993E+001, 8.9197139E+001, 9.9441366E+001
 1.4000000E+002,-1.0291015E+001, 8.9150992E+001, 9.9441944E+001
 1.4500000E+002,-1.0337626E+001, 8.9103890E+001, 9.9441453E+001
 1.5000000E+002,-1.0382499E+001, 8.9059456E+001, 9.9442863E+001
 1.5500000E+002,-1.0425716E+001, 8.9018026E+001, 9.9444487E+001
 1.6000000E+002,-1.0467696E+001, 8.8977868E+001, 9.9446335E+001
 1.6500000E+002,-1.0508187E+001, 8.8938599E+001, 9.9447180E+001
 1.7000000E+002,-1.0545910E+001, 8.8901924E+001, 9.9448523E+001
 1.7500000E+002,-1.0579611E+001, 8.8869881E+001, 9.9450660E+001
 1.8000000E+002,-1.0608798E+001, 8.8842756E+001, 9.9452192E+001
 1.8500000E+002,-1.0632468E+001, 8.8820318E+001, 9.9453501E+001
 1.9000000E+002,-1.0651536E+001, 8.8802188E+001, 9.9454156E+001
 1.9500000E+002,-1.0667606E+001, 8.8787636E+001, 9.9456203E+001
 2.0000000E+002,-1.0682569E+001, 8.8774185E+001, 9.9456832E+001
 2.0500000E+002,-1.0696769E+001, 8.8759775E+001, 9.9456381E+001
 2.1000000E+002,-1.0709415E+001, 8.8746685E+001, 9.9456177E+001
 2.1500000E+002,-1.0719997E+001, 8.8736677E+001, 9.9456055E+001
 2.2000000E+002,-1.0727313E+001, 8.8729056E+001, 9.9457596E+001
 2.2500000E+002,-1.0729576E+001, 8.8728085E+001, 9.9457601E+001
 2.3000000E+002,-1.0728545E+001, 8.8729896E+001, 9.9459141E+001
 2.3500000E+002,-1.0726461E+001, 8.8732131E+001, 9.9458345E+001
 2.4000000E+002,-1.0723227E+001, 8.8736200E+001, 9.9460509E+001
 2.4500000E+002,-1.0718922E+001, 8.8742112E+001, 9.9461222E+001
 2.5000000E+002,-1.0714057E+001, 8.8747047E+001, 9.9461003E+001
 2.5500000E+002,-1.0708750E+001, 8.8751571E+001, 9.9459341E+001
 2.6000000E+002,-1.0702705E+001, 8.8755900E+001, 9.9458633E+001
 2.6500000E+002,-1.0695851E+001, 8.8764452E+001, 9.9461849E+001
 2.7000000E+002,-1.0688218E+001, 8.8773832E+001, 9.9461663E+001
 2.7500000E+002,-1.0679981E+001, 8.8780961E+001, 9.9460425E+001
 2.8000000E+002,-1.0671238E+001, 8.8787978E+001, 9.9457784E+001
 2.8500000E+002,-1.0661962E+001, 8.8797369E+001, 9.9461840E+001
 2.9000000E+002,-1.0652203E+001, 8.8810856E+001, 9.9463477E+001
 2.9500000E+002,-1.0642094E+001, 8.8822338E+001, 9.9465564E+001
 3.0000000E+002,-1.0631862E+001, 8.8834906E+001, 9.9467591E+001
