s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1,ZONE_2
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1379786E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1379786E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.7500000E-001, 0.0000000E+000, 0.0000000E+000,-9.2400938E-005,-1.5782109E-003, 0.0000000E+000,-1.5041488E-003, 0.0000000E+000,-3.5333156E-003,-3.1747606E-003, 0.0000000E+000, 0.0000000E+000,-5.7449632E+000, 6.3853767E+001
 6.2500000E-001, 0.0000000E+000, 0.0000000E+000,-3.9573242E-004,-4.9277427E-003, 0.0000000E+000,-5.1149865E-003, 0.0000000E+000,-1.5649769E-002,-1.0438462E-002, 0.0000000E+000, 0.0000000E+000,-8.9110902E+000, 9.9002516E+001
 1.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.4361403E-004,-6.0339542E-003, 0.0000000E+000,-6.6342860E-003, 0.0000000E+000,-2.2672712E-002,-1.3311854E-002, 0.0000000E+000, 0.0000000E+000,-9.4955274E+000, 1.0538814E+002
 1.2500000E+000, 0.0000000E+000, 0.0000000E+000,-6.7672575E-004,-5.8007680E-003, 0.0000000E+000,-6.4586192E-003, 0.0000000E+000,-2.3038880E-002,-1.2936113E-002, 0.0000000E+000, 0.0000000E+000,-8.9131688E+000, 9.8837719E+001
 1.5000000E+000, 0.0000000E+000, 0.0000000E+000,-6.2346583E-004,-5.3880748E-003, 0.0000000E+000,-5.9778669E-003, 0.0000000E+000,-2.1408970E-002,-1.1989408E-002, 0.0000000E+000, 0.0000000E+000,-8.4032010E+000, 9.3097493E+001
 1.8750000E+000, 0.0000000E+000, 0.0000000E+000,-5.7167476E-004,-5.0861663E-003, 0.0000000E+000,-5.6143072E-003, 0.0000000E+000,-1.9924364E-002,-1.1272148E-002, 0.0000000E+000, 0.0000000E+000,-8.1129194E+000, 8.9771765E+001
 2.1250000E+000, 0.0000000E+000, 0.0000000E+000,-5.5244893E-004,-4.9988280E-003, 0.0000000E+000,-5.5110685E-003, 0.0000000E+000,-1.9391778E-002,-1.1062345E-002, 0.0000000E+000, 0.0000000E+000,-8.1306754E+000, 8.9905300E+001
 2.5000000E+000, 0.0000000E+000, 0.0000000E+000,-5.5402276E-004,-5.0122844E-003, 0.0000000E+000,-5.5383430E-003, 0.0000000E+000,-1.9436453E-002,-1.1104650E-002, 0.0000000E+000, 0.0000000E+000,-8.2237699E+000, 9.0844273E+001
 2.7500000E+000, 0.0000000E+000, 0.0000000E+000,-5.5904000E-004,-5.0250436E-003, 0.0000000E+000,-5.5703621E-003, 0.0000000E+000,-1.9556618E-002,-1.1154446E-002, 0.0000000E+000, 0.0000000E+000,-8.2631380E+000, 9.1217543E+001
 3.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.6120116E-004,-5.0166058E-003, 0.0000000E+000,-5.5749763E-003, 0.0000000E+000,-1.9589497E-002,-1.1152783E-002, 0.0000000E+000, 0.0000000E+000,-8.2788620E+000, 9.1327834E+001
 3.3750000E+000, 0.0000000E+000, 0.0000000E+000,-5.6124643E-004,-4.9901209E-003, 0.0000000E+000,-5.5611523E-003, 0.0000000E+000,-1.9552978E-002,-1.1112520E-002, 0.0000000E+000, 0.0000000E+000,-8.2814012E+000, 9.1259458E+001
 3.6250000E+000, 0.0000000E+000, 0.0000000E+000,-5.6008482E-004,-4.9588787E-003, 0.0000000E+000,-5.5408065E-003, 0.0000000E+000,-1.9484127E-002,-1.1059770E-002, 0.0000000E+000, 0.0000000E+000,-8.2813988E+000, 9.1195254E+001
 4.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.5886990E-004,-4.9294694E-003, 0.0000000E+000,-5.5220517E-003, 0.0000000E+000,-1.9416309E-002,-1.1010391E-002, 0.0000000E+000, 0.0000000E+000,-8.2858364E+000, 9.1148660E+001
 4.2500000E+000, 0.0000000E+000, 0.0000000E+000,-5.5796297E-004,-4.9027650E-003, 0.0000000E+000,-5.5061615E-003, 0.0000000E+000,-1.9358443E-002,-1.0966889E-002, 0.0000000E+000, 0.0000000E+000,-8.2910498E+000, 9.1142858E+001
 4.5000000E+000, 0.0000000E+000, 0.0000000E+000,-5.5741926E-004,-4.8831731E-003, 0.0000000E+000,-5.4949746E-003, 0.0000000E+000,-1.9318177E-002,-1.0935567E-002, 0.0000000E+000, 0.0000000E+000,-8.2968453E+000, 9.1143660E+001
 4.8750000E+000, 0.0000000E+000, 0.0000000E+000,-5.5681208E-004,-4.8601310E-003, 0.0000000E+000,-5.4818201E-003, 0.0000000E+000,-1.9271494E-002,-1.0898763E-002, 0.0000000E+000, 0.0000000E+000,-8.3053598E+000, 9.1143106E+001
 5.1250000E+000, 0.0000000E+000, 0.0000000E+000,-5.5620278E-004,-4.8380561E-003, 0.0000000E+000,-5.4689714E-003, 0.0000000E+000,-1.9226069E-002,-1.0863230E-002, 0.0000000E+000, 0.0000000E+000,-8.3107291E+000, 9.1139473E+001
 5.5000000E+000, 0.0000000E+000, 0.0000000E+000,-5.5557337E-004,-4.8181595E-003, 0.0000000E+000,-5.4568217E-003, 0.0000000E+000,-1.9182816E-002,-1.0830555E-002, 0.0000000E+000, 0.0000000E+000,-8.3185270E+000, 9.1131391E+001
 5.7500000E+000, 0.0000000E+000, 0.0000000E+000,-5.5493834E-004,-4.7996022E-003, 0.0000000E+000,-5.4452895E-003, 0.0000000E+000,-1.9141952E-002,-1.0799830E-002, 0.0000000E+000, 0.0000000E+000,-8.3236842E+000, 9.1125678E+001
 6.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.5443476E-004,-4.7852549E-003, 0.0000000E+000,-5.4363544E-003, 0.0000000E+000,-1.9110426E-002,-1.0776044E-002, 0.0000000E+000, 0.0000000E+000,-8.3288533E+000, 9.1120201E+001
 6.3750000E+000, 0.0000000E+000, 0.0000000E+000,-5.5381579E-004,-4.7676351E-003, 0.0000000E+000,-5.4253789E-003, 0.0000000E+000,-1.9071692E-002,-1.0746830E-002, 0.0000000E+000, 0.0000000E+000,-8.3366297E+000, 9.1112429E+001
 6.6250000E+000, 0.0000000E+000, 0.0000000E+000,-5.5320714E-004,-4.7508404E-003, 0.0000000E+000,-5.4147424E-003, 0.0000000E+000,-1.9033979E-002,-1.0718790E-002, 0.0000000E+000, 0.0000000E+000,-8.3418149E+000, 9.1107382E+001
 7.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.5260799E-004,-4.7348360E-003, 0.0000000E+000,-5.4045260E-003, 0.0000000E+000,-1.8997923E-002,-1.0691970E-002, 0.0000000E+000, 0.0000000E+000,-8.3495773E+000, 9.1099818E+001
 7.2500000E+000, 0.0000000E+000, 0.0000000E+000,-5.5201489E-004,-4.7188146E-003, 0.0000000E+000,-5.3943817E-003, 0.0000000E+000,-1.8962270E-002,-1.0665211E-002, 0.0000000E+000, 0.0000000E+000,-8.3547396E+000, 9.1094753E+001
 7.5000000E+000, 0.0000000E+000, 0.0000000E+000,-5.5154393E-004,-4.7058655E-003, 0.0000000E+000,-5.3862506E-003, 0.0000000E+000,-1.8933746E-002,-1.0643660E-002, 0.0000000E+000, 0.0000000E+000,-8.3598925E+000, 9.1089677E+001
 7.8750000E+000, 0.0000000E+000, 0.0000000E+000,-5.5095916E-004,-4.6891792E-003, 0.0000000E+000,-5.3759388E-003, 0.0000000E+000,-1.8897656E-002,-1.0616077E-002, 0.0000000E+000, 0.0000000E+000,-8.3676065E+000, 9.1082072E+001
 8.1250000E+000, 0.0000000E+000, 0.0000000E+000,-5.5037961E-004,-4.6718690E-003, 0.0000000E+000,-5.3654171E-003, 0.0000000E+000,-1.8860838E-002,-1.0587666E-002, 0.0000000E+000, 0.0000000E+000,-8.3727396E+000, 9.1077015E+001
 8.5000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4980665E-004,-4.6545281E-003, 0.0000000E+000,-5.3548525E-003, 0.0000000E+000,-1.8823608E-002,-1.0559187E-002, 0.0000000E+000, 0.0000000E+000,-8.3804246E+000, 9.1069453E+001
 8.7500000E+000, 0.0000000E+000, 0.0000000E+000,-5.4923916E-004,-4.6374551E-003, 0.0000000E+000,-5.3444376E-003, 0.0000000E+000,-1.8786935E-002,-1.0531132E-002, 0.0000000E+000, 0.0000000E+000,-8.3855380E+000, 9.1064422E+001
