,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2020-02-19T19:24:14.801+01:00,   0.125E+00,   0.12500
      2,2020-02-19T19:24:15.096+01:00,   0.125E+00,   0.25000
      3,2020-02-19T19:24:15.429+01:00,   0.125E+00,   0.37500
      4,2020-02-19T19:24:15.721+01:00,   0.125E+00,   0.50000
      5,2020-02-19T19:24:16.014+01:00,   0.125E+00,   0.62500
      6,2020-02-19T19:24:16.293+01:00,   0.125E+00,   0.75000
      7,2020-02-19T19:24:16.584+01:00,   0.125E+00,   0.87500
      8,2020-02-19T19:24:16.886+01:00,   0.125E+00,   1.00000
      9,2020-02-19T19:24:17.214+01:00,   0.125E+00,   1.12500
     10,2020-02-19T19:24:17.537+01:00,   0.125E+00,   1.25000
     20,2020-02-19T19:24:20.488+01:00,   0.125E+00,   2.50000
     30,2020-02-19T19:24:23.412+01:00,   0.125E+00,   3.75000
     40,2020-02-19T19:24:26.257+01:00,   0.125E+00,   5.00000
     50,2020-02-19T19:24:29.170+01:00,   0.125E+00,   6.25000
     60,2020-02-19T19:24:31.961+01:00,   0.125E+00,   7.50000
     70,2020-02-19T19:24:34.898+01:00,   0.125E+00,   8.75000
     80,2020-02-19T19:24:37.696+01:00,   0.125E+00,  10.00000
     90,2020-02-19T19:24:40.493+01:00,   0.125E+00,  11.25000
    100,2020-02-19T19:24:43.495+01:00,   0.125E+00,  12.50000
    200,2020-02-19T19:25:11.452+01:00,   0.125E+00,  25.00000
    300,2020-02-19T19:25:39.024+01:00,   0.125E+00,  37.50000
    400,2020-02-19T19:26:06.621+01:00,   0.125E+00,  50.00000
    500,2020-02-19T19:26:34.382+01:00,   0.125E+00,  62.50000
    600,2020-02-19T19:27:03.007+01:00,   0.125E+00,  75.00000
    700,2020-02-19T19:27:31.527+01:00,   0.125E+00,  87.50000
    800,2020-02-19T19:27:59.547+01:00,   0.125E+00, 100.00000
    900,2020-02-19T19:28:28.006+01:00,   0.125E+00, 112.50000
   1000,2020-02-19T19:28:56.224+01:00,   0.125E+00, 125.00000
   1100,2020-02-19T19:29:25.691+01:00,   0.125E+00, 137.50000
   1200,2020-02-19T19:29:55.051+01:00,   0.125E+00, 150.00000
   1300,2020-02-19T19:30:23.988+01:00,   0.125E+00, 162.50000
   1400,2020-02-19T19:30:52.291+01:00,   0.125E+00, 175.00000
   1500,2020-02-19T19:31:20.941+01:00,   0.125E+00, 187.50000
   1600,2020-02-19T19:31:49.806+01:00,   0.125E+00, 200.00000
   1700,2020-02-19T19:32:18.610+01:00,   0.125E+00, 212.50000
   1800,2020-02-19T19:32:47.463+01:00,   0.125E+00, 225.00000
   1900,2020-02-19T19:33:16.168+01:00,   0.125E+00, 237.50000
   2000,2020-02-19T19:33:45.207+01:00,   0.125E+00, 250.00000
   2100,2020-02-19T19:34:14.081+01:00,   0.125E+00, 262.50000
   2200,2020-02-19T19:34:44.998+01:00,   0.125E+00, 275.00000
   2300,2020-02-19T19:35:16.889+01:00,   0.125E+00, 287.50000
   2400,2020-02-19T19:35:48.939+01:00,   0.125E+00, 300.00000
