s,Pa,Pa,Pa
Time,"pres_1","pres_2","pres_3"
 0.0000000E+000,-1.6010784E-005,-2.2226541E-006,-8.4104381E-006
 1.0000000E-001, 3.3496320E+001, 3.3243862E+001, 2.2788737E-003
 2.0000000E-001, 1.0038024E+002, 9.9974129E+001,-3.4596158E-003
 3.5000000E-001, 2.0064809E+002, 2.0017139E+002, 7.7711180E-003
 4.5000000E-001, 2.6744776E+002, 2.6701858E+002, 1.1491224E-002
 5.5000000E-001, 3.3421207E+002, 3.3388863E+002, 9.6655903E-003
 6.0000000E-001, 3.6758304E+002, 3.6732741E+002, 7.3302761E-003
 7.0000000E-001, 4.3430731E+002, 4.3420025E+002, 2.1356963E-003
 8.0000000E-001, 5.0101744E+002, 5.0105342E+002,-1.4593448E-003
 9.0000000E-001, 5.6772678E+002, 5.6787789E+002,-2.8186721E-003
 1.0000000E+000, 6.3444425E+002, 6.3466960E+002,-3.1203506E-003
 1.1000000E+000, 7.0117790E+002, 7.0143330E+002,-3.6895613E-003
 1.2000000E+000, 7.6793409E+002, 7.6817898E+002,-4.8140172E-003
 1.3000000E+000, 8.3470924E+002, 8.3491062E+002,-5.7631659E-003
 1.4000000E+000, 9.0149929E+002, 9.0163364E+002,-5.6275811E-003
 1.5000000E+000, 9.6830015E+002, 9.6835449E+002,-4.0655731E-003
 1.6000000E+000, 1.0350996E+003, 1.0350718E+003,-1.4755415E-003
 1.7000000E+000, 1.1018899E+003, 1.1017882E+003, 1.3682563E-003
 1.8000000E+000, 1.1686682E+003, 1.1685097E+003, 3.7684088E-003
 1.9000000E+000, 1.2354264E+003, 1.2352345E+003, 5.3310185E-003
 2.0000000E+000, 1.3021644E+003, 1.3019658E+003, 5.9270367E-003
 2.1000000E+000, 1.3688878E+003, 1.3687087E+003, 5.5810125E-003
 2.2500000E+000, 1.4689476E+003, 1.4688372E+003, 3.5300389E-003
 2.3500000E+000, 1.5356460E+003, 1.5355970E+003, 1.4649485E-003
 2.4500000E+000, 1.6023432E+003, 1.6023577E+003,-7.4141732E-004
 2.5500000E+000, 1.6690477E+003, 1.6691190E+003,-2.6618123E-003
 2.6500000E+000, 1.7357578E+003, 1.7358716E+003,-3.9393718E-003
 2.7500000E+000, 1.8024760E+003, 1.8026130E+003,-4.3805663E-003
 2.8500000E+000, 1.8692070E+003, 1.8693454E+003,-3.9953255E-003
 2.9500000E+000, 1.9359449E+003, 1.9360634E+003,-2.9628941E-003
 3.0500000E+000, 2.0026888E+003, 2.0027698E+003,-1.5533454E-003
 3.1500000E+000, 2.0694396E+003, 2.0694716E+003,-5.2132553E-005
 3.2500000E+000, 2.1361891E+003, 2.1361682E+003, 1.2916028E-003
 3.3500000E+000, 2.2029350E+003, 2.2028655E+003, 2.2947311E-003
 3.4500000E+000, 2.2696781E+003, 2.2695717E+003, 2.8536311E-003
 3.5500000E+000, 2.3364105E+003, 2.3362843E+003, 2.9442974E-003
 3.6500000E+000, 2.4031322E+003, 2.4030058E+003, 2.6145714E-003
 3.7500000E+000, 2.4698476E+003, 2.4697400E+003, 1.9688002E-003
 3.8500000E+000, 2.5365527E+003, 2.5364791E+003, 1.1406647E-003
 3.9500000E+000, 2.6032514E+003, 2.6032207E+003, 2.6671880E-004
 4.0500000E+000, 2.6699520E+003, 2.6699659E+003,-5.3345035E-004
 4.1500000E+000, 2.7366527E+003, 2.7367055E+003,-1.1704438E-003
 4.2500000E+000, 2.8033575E+003, 2.8034377E+003,-1.5901899E-003
 4.3500000E+000, 2.8700729E+003, 2.8701653E+003,-1.7617325E-003
 4.4500000E+000, 2.9367939E+003, 2.9368828E+003,-1.6891681E-003
 4.5500000E+000, 3.0035212E+003, 3.0035924E+003,-1.3956182E-003
 4.6500000E+000, 3.0702566E+003, 3.0702999E+003,-9.2420879E-004
 4.7500000E+000, 3.1369924E+003, 3.1370031E+003,-3.4005428E-004
 4.8500000E+000, 3.2037271E+003, 3.2037059E+003, 2.7814623E-004
 4.9500000E+000, 3.2704623E+003, 3.2704146E+003, 8.4937068E-004
 5.0500000E+000, 3.3198896E+003, 3.3214646E+003,-8.2065098E-002
 5.1500000E+000, 3.2797550E+003, 3.2800024E+003, 1.2126178E+002
 5.2500000E+000, 3.2045621E+003, 3.2048775E+003, 3.4640190E+002
 5.3500000E+000, 3.1366770E+003, 3.1369170E+003, 5.5029701E+002
 5.4500000E+000, 3.0753875E+003, 3.0755099E+003, 7.3493470E+002
 5.5500000E+000, 3.0200476E+003, 3.0200436E+003, 9.0211462E+002
 5.6500000E+000, 2.9700661E+003, 2.9699281E+003, 1.0534744E+003
 5.7500000E+000, 2.9249124E+003, 2.9246440E+003, 1.1905119E+003
 5.8500000E+000, 2.8841027E+003, 2.8837281E+003, 1.3145829E+003
 5.9500000E+000, 2.8471951E+003, 2.8467540E+003, 1.4269083E+003
 6.0500000E+000, 2.8137969E+003, 2.8133351E+003, 1.5285951E+003
 6.1500000E+000, 2.7835609E+003, 2.7831253E+003, 1.6206478E+003
 6.2500000E+000, 2.7561770E+003, 2.7558131E+003, 1.7039731E+003
