s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1,ZONE_2
 0.0000000E+000, 0.0000000E+000,-1.7685393E-003, 3.5527137E-017,-3.7812908E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1466684E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0000001E-002, 0.0000000E+000,-1.2753901E-003, 2.8043195E+002,-2.9645802E-004, 0.0000000E+000, 1.1868122E+002, 0.0000000E+000, 0.0000000E+000, 3.9911160E+002, 0.0000000E+000, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0000000E-001, 0.0000000E+000,-1.3455205E-002, 2.7474630E+002,-3.2308486E-003, 0.0000000E+000, 1.1867763E+002, 0.0000000E+000, 4.1538228E+002, 3.9340724E+002, 0.0000000E+000, 1.0000000E+000, 3.3412346E+001, 0.0000000E+000
 1.5000001E-001, 0.0000000E+000,-2.5630632E-002, 2.6843886E+002,-7.3160081E-003, 0.0000000E+000, 1.1867111E+002, 0.0000000E+000, 4.1536027E+002, 3.8707702E+002, 0.0000000E+000, 1.0000000E+000, 6.6822921E+001, 0.0000000E+000
 2.0000000E-001, 0.0000000E+000,-3.5902144E-002, 2.6314692E+002,-1.1964517E-002, 0.0000000E+000, 1.1866473E+002, 0.0000000E+000, 4.1533701E+002, 3.8176378E+002, 0.0000000E+000, 1.0000000E+000, 1.0023163E+002, 0.0000000E+000
 2.5000000E-001, 0.0000000E+000,-4.8069076E-002, 2.5927696E+002,-1.5999795E-002, 0.0000000E+000, 1.1865840E+002, 0.0000000E+000, 4.1531574E+002, 3.7787129E+002, 0.0000000E+000, 1.0000000E+000, 1.3363862E+002, 0.0000000E+000
 3.0000001E-001, 0.0000000E+000,-6.0231720E-002, 2.5729424E+002,-2.1360078E-002, 0.0000000E+000, 1.1865158E+002, 0.0000000E+000, 4.1529278E+002, 3.7586423E+002, 0.0000000E+000, 1.0000000E+000, 1.6704377E+002, 0.0000000E+000
 3.4999999E-001, 0.0000000E+000,-6.8037868E-002, 2.5769336E+002,-2.6977119E-002, 0.0000000E+000, 1.1864531E+002, 0.0000000E+000, 4.1526800E+002, 3.7624366E+002, 0.0000000E+000, 1.0000000E+000, 2.0044692E+002, 0.0000000E+000
 4.0000001E-001, 0.0000000E+000,-8.0191935E-002, 2.6093111E+002,-3.0301785E-002, 0.0000000E+000, 1.1863946E+002, 0.0000000E+000, 4.1524896E+002, 3.7946008E+002, 0.0000000E+000, 1.0000000E+000, 2.3384854E+002, 0.0000000E+000
 4.4999999E-001, 0.0000000E+000,-9.2341433E-002, 2.6731998E+002,-3.6380207E-002, 0.0000000E+000, 1.1863267E+002, 0.0000000E+000, 4.1522710E+002, 3.8582393E+002, 0.0000000E+000, 1.0000000E+000, 2.6724840E+002, 0.0000000E+000
 5.0000000E-001, 0.0000000E+000,-9.7275418E-002, 2.7691010E+002,-4.2564080E-002, 0.0000000E+000, 1.1862676E+002, 0.0000000E+000, 4.1520144E+002, 3.9539702E+002, 0.0000000E+000, 1.0000000E+000, 3.0064620E+002, 0.0000000E+000
 5.5000001E-001, 0.0000000E+000,-1.0941517E-001, 2.8940454E+002,-4.4444700E-002, 0.0000000E+000, 1.1862168E+002, 0.0000000E+000, 4.1518569E+002, 4.0787235E+002, 0.0000000E+000, 1.0000000E+000, 3.3404273E+002, 0.0000000E+000
 6.0000002E-001, 0.0000000E+000,-1.2154959E-001, 3.0413494E+002,-5.1019423E-002, 0.0000000E+000, 1.1861508E+002, 0.0000000E+000, 4.1516589E+002, 4.2257745E+002, 0.0000000E+000, 1.0000000E+000, 3.6743767E+002, 0.0000000E+000
 6.4999998E-001, 0.0000000E+000,-1.2338443E-001, 3.2010165E+002,-5.7576160E-002, 0.0000000E+000, 1.1860965E+002, 0.0000000E+000, 4.1513965E+002, 4.3853034E+002, 0.0000000E+000, 1.0000000E+000, 4.0083050E+002, 0.0000000E+000
 6.9999999E-001, 0.0000000E+000,-1.3550775E-001, 3.3607396E+002,-5.7541398E-002, 0.0000000E+000, 1.1860616E+002, 0.0000000E+000, 4.1513003E+002, 4.5448707E+002, 0.0000000E+000, 1.0000000E+000, 4.3422256E+002, 0.0000000E+000
 7.5000000E-001, 0.0000000E+000,-1.4762514E-001, 3.5072868E+002,-6.4369520E-002, 0.0000000E+000, 1.1859928E+002, 0.0000000E+000, 4.1511073E+002, 4.6911596E+002, 0.0000000E+000, 1.0000000E+000, 4.6761306E+002, 0.0000000E+000
 8.0000001E-001, 0.0000000E+000,-1.4645956E-001, 3.6280231E+002,-7.1197686E-002, 0.0000000E+000, 1.1859434E+002, 0.0000000E+000, 4.1508415E+002, 4.8117899E+002, 0.0000000E+000, 1.0000000E+000, 5.0100143E+002, 0.0000000E+000
 8.5000002E-001, 0.0000000E+000,-1.5856643E-001, 3.7123712E+002,-6.9646471E-002, 0.0000000E+000, 1.1859296E+002, 0.0000000E+000, 4.1508277E+002, 4.8960187E+002, 0.0000000E+000, 1.0000000E+000, 5.3438968E+002, 0.0000000E+000
 8.9999998E-001, 0.0000000E+000,-1.7066787E-001, 3.7529745E+002,-7.6536548E-002, 0.0000000E+000, 1.1858516E+002, 0.0000000E+000, 4.1506137E+002, 4.9363541E+002, 0.0000000E+000, 1.0000000E+000, 5.6777621E+002, 0.0000000E+000
 9.4999999E-001, 0.0000000E+000,-1.6632741E-001, 3.7463560E+002,-8.3612528E-002, 0.0000000E+000, 1.1858077E+002, 0.0000000E+000, 4.1503460E+002, 4.9296643E+002, 0.0000000E+000, 1.0000000E+000, 6.0116059E+002, 0.0000000E+000
 1.0000000E+000, 0.0000000E+000,-1.7842132E-001, 3.6930991E+002,-8.0089278E-002, 0.0000000E+000, 1.1858107E+002, 0.0000000E+000, 4.1503973E+002, 4.8763247E+002, 0.0000000E+000, 1.0000000E+000, 6.3454538E+002, 0.0000000E+000
 1.0500000E+000, 0.0000000E+000,-1.9051151E-001, 3.5975538E+002,-8.7131110E-002, 0.0000000E+000, 1.1857297E+002, 0.0000000E+000, 4.1501878E+002, 4.7805070E+002, 0.0000000E+000, 1.0000000E+000, 6.6792849E+002, 0.0000000E+000
 1.1000000E+000, 0.0000000E+000,-1.8350451E-001, 3.4671181E+002,-9.4400217E-002, 0.0000000E+000, 1.1856903E+002, 0.0000000E+000, 4.1499179E+002, 4.6500294E+002, 0.0000000E+000, 1.0000000E+000, 7.0130942E+002, 0.0000000E+000
 1.1500000E+000, 0.0000000E+000,-1.9559098E-001, 3.3113213E+002,-8.9710273E-002, 0.0000000E+000, 1.1857039E+002, 0.0000000E+000, 4.1500155E+002, 4.4941722E+002, 0.0000000E+000, 1.0000000E+000, 7.3469114E+002, 0.0000000E+000
 1.2000000E+000, 0.0000000E+000,-2.0767521E-001, 3.1408199E+002,-9.6913972E-002, 0.0000000E+000, 1.1856217E+002, 0.0000000E+000, 4.1498111E+002, 4.3233957E+002, 0.0000000E+000, 1.0000000E+000, 7.6807122E+002, 0.0000000E+000
 1.2500000E+000, 0.0000000E+000,-1.9844830E-001, 2.9664501E+002,-1.0435186E-001, 0.0000000E+000, 1.1855861E+002, 0.0000000E+000, 4.1495389E+002, 4.1490083E+002, 0.0000000E+000, 1.0000000E+000, 8.0144911E+002, 0.0000000E+000
 1.3000000E+000, 0.0000000E+000,-2.1053126E-001, 2.7984169E+002,-9.8343663E-002, 0.0000000E+000, 1.1856100E+002, 0.0000000E+000, 4.1496774E+002, 3.9809381E+002, 0.0000000E+000, 1.0000000E+000, 8.3482811E+002, 0.0000000E+000
 1.3500000E+000, 0.0000000E+000,-2.2261232E-001, 2.6456644E+002,-1.0567963E-001, 0.0000000E+000, 1.1855268E+002, 0.0000000E+000, 4.1494796E+002, 3.8279083E+002, 0.0000000E+000, 1.0000000E+000, 8.6820552E+002, 0.0000000E+000
 1.4000000E+000, 0.0000000E+000,-2.1161243E-001, 2.5154832E+002,-1.1325766E-001, 0.0000000E+000, 1.1854941E+002, 0.0000000E+000, 4.1492056E+002, 3.6977286E+002, 0.0000000E+000, 1.0000000E+000, 9.0158072E+002, 0.0000000E+000
 1.4500000E+000, 0.0000000E+000,-2.2369213E-001, 2.4133209E+002,-1.0564513E-001, 0.0000000E+000, 1.1855283E+002, 0.0000000E+000, 4.1493803E+002, 3.5955558E+002, 0.0000000E+000, 1.0000000E+000, 9.3495734E+002, 0.0000000E+000
 1.5000000E+000, 0.0000000E+000,-2.3576905E-001, 2.3427110E+002,-1.1308669E-001, 0.0000000E+000, 1.1854444E+002, 0.0000000E+000, 4.1491919E+002, 3.5246668E+002, 0.0000000E+000, 1.0000000E+000, 9.6833243E+002, 0.0000000E+000
 1.5500000E+000, 0.0000000E+000,-2.2415934E-001, 2.3052824E+002,-1.2077402E-001, 0.0000000E+000, 1.1854125E+002, 0.0000000E+000, 4.1489165E+002, 3.4872456E+002, 0.0000000E+000, 1.0000000E+000, 1.0017053E+003, 0.0000000E+000
 1.6000000E+000, 0.0000000E+000,-2.3623256E-001, 2.3009046E+002,-1.1299938E-001, 0.0000000E+000, 1.1854488E+002, 0.0000000E+000, 4.1491008E+002, 3.4828611E+002, 0.0000000E+000, 1.0000000E+000, 1.0350797E+003, 0.0000000E+000
 1.6500000E+000, 0.0000000E+000,-2.4830143E-001, 2.3278489E+002,-1.2053498E-001, 0.0000000E+000, 1.1853643E+002, 0.0000000E+000, 4.1489123E+002, 3.5095249E+002, 0.0000000E+000, 1.0000000E+000, 1.0684525E+003, 0.0000000E+000
 1.7000000E+000, 0.0000000E+000,-2.3397227E-001, 2.3829698E+002,-1.2831382E-001, 0.0000000E+000, 1.1853376E+002, 0.0000000E+000, 4.1486357E+002, 3.5646845E+002, 0.0000000E+000, 1.0000000E+000, 1.1018231E+003, 0.0000000E+000
 1.7500000E+000, 0.0000000E+000,-2.4603503E-001, 2.4619930E+002,-1.1854000E-001, 0.0000000E+000, 1.1853876E+002, 0.0000000E+000, 4.1488727E+002, 3.6437348E+002, 0.0000000E+000, 1.0000000E+000, 1.1351957E+003, 0.0000000E+000
 1.8000000E+000, 0.0000000E+000,-2.5809224E-001, 2.5598130E+002,-1.2612560E-001, 0.0000000E+000, 1.1853027E+002, 0.0000000E+000, 4.1486969E+002, 3.7412735E+002, 0.0000000E+000, 1.0000000E+000, 1.1685668E+003, 0.0000000E+000
 1.8500000E+000, 0.0000000E+000,-2.4218364E-001, 2.6707340E+002,-1.3395665E-001, 0.0000000E+000, 1.1852789E+002, 0.0000000E+000, 4.1484197E+002, 3.8522515E+002, 0.0000000E+000, 1.0000000E+000, 1.2019357E+003, 0.0000000E+000
 1.9000000E+000, 0.0000000E+000,-2.5423280E-001, 2.7888326E+002,-1.2378228E-001, 0.0000000E+000, 1.1853339E+002, 0.0000000E+000, 4.1486818E+002, 3.9703864E+002, 0.0000000E+000, 1.0000000E+000, 1.2353067E+003, 0.0000000E+000
 1.9500000E+000, 0.0000000E+000,-2.6627581E-001, 2.9082767E+002,-1.3140603E-001, 0.0000000E+000, 1.1852487E+002, 0.0000000E+000, 4.1485082E+002, 4.0895486E+002, 0.0000000E+000, 1.0000000E+000, 1.2686763E+003, 0.0000000E+000
 2.0000000E+000, 0.0000000E+000,-2.4925840E-001, 3.0235696E+002,-1.3927484E-001, 0.0000000E+000, 1.1852271E+002, 0.0000000E+000, 4.1482307E+002, 4.2049113E+002, 0.0000000E+000, 1.0000000E+000, 1.3020436E+003, 0.0000000E+000
 2.0500000E+000, 0.0000000E+000,-2.6129293E-001, 3.1298224E+002,-1.2833470E-001, 0.0000000E+000, 1.1852875E+002, 0.0000000E+000, 4.1485140E+002, 4.3112137E+002, 0.0000000E+000, 1.0000000E+000, 1.3354133E+003, 0.0000000E+000
