s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1,ZONE_2
 0.0000000E+000, 0.0000000E+000,-1.7685393E-003, 3.5527137E-017,-3.7812908E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1466684E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0000001E-002, 0.0000000E+000,-1.2748949E-003, 2.9670492E+002,-2.9926635E-004, 0.0000000E+000, 1.1868122E+002, 0.0000000E+000, 0.0000000E+000, 4.1538456E+002, 0.0000000E+000, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0000000E-001, 0.0000000E+000,-1.3454534E-002, 2.9670492E+002,-3.2337100E-003, 0.0000000E+000, 1.1867763E+002, 0.0000000E+000, 4.1538228E+002, 4.1536586E+002, 0.0000000E+000, 1.0000000E+000, 3.3412346E+001, 0.0000000E+000
 1.5000001E-001, 0.0000000E+000,-2.5629552E-002, 2.9670492E+002,-7.3211167E-003, 0.0000000E+000, 1.1867111E+002, 0.0000000E+000, 4.1536027E+002, 4.1534308E+002, 0.0000000E+000, 1.0000000E+000, 6.6822921E+001, 0.0000000E+000
 2.0000000E-001, 0.0000000E+000,-3.5900040E-002, 2.9670492E+002,-1.1971456E-002, 0.0000000E+000, 1.1866473E+002, 0.0000000E+000, 4.1533700E+002, 4.1532178E+002, 0.0000000E+000, 1.0000000E+000, 1.0023162E+002, 0.0000000E+000
 2.5000000E-001, 0.0000000E+000,-4.8065846E-002, 2.9670492E+002,-1.6007189E-002, 0.0000000E+000, 1.1865840E+002, 0.0000000E+000, 4.1531574E+002, 4.1529925E+002, 0.0000000E+000, 1.0000000E+000, 1.3363862E+002, 0.0000000E+000
 3.0000001E-001, 0.0000000E+000,-6.0226977E-002, 2.9670492E+002,-2.1364459E-002, 0.0000000E+000, 1.1865158E+002, 0.0000000E+000, 4.1529278E+002, 4.1527491E+002, 0.0000000E+000, 1.0000000E+000, 1.6704376E+002, 0.0000000E+000
 3.4999999E-001, 0.0000000E+000,-6.8031559E-002, 2.9670492E+002,-2.6973995E-002, 0.0000000E+000, 1.1864532E+002, 0.0000000E+000, 4.1526800E+002, 4.1525523E+002, 0.0000000E+000, 1.0000000E+000, 2.0044692E+002, 0.0000000E+000
 4.0000001E-001, 0.0000000E+000,-8.0183566E-002, 2.9670492E+002,-3.0287373E-002, 0.0000000E+000, 1.1863947E+002, 0.0000000E+000, 4.1524898E+002, 4.1523392E+002, 0.0000000E+000, 1.0000000E+000, 2.3384854E+002, 0.0000000E+000
 4.4999999E-001, 0.0000000E+000,-9.2331022E-002, 2.9670492E+002,-3.6351755E-002, 0.0000000E+000, 1.1863268E+002, 0.0000000E+000, 4.1522714E+002, 4.1520892E+002, 0.0000000E+000, 1.0000000E+000, 2.6724841E+002, 0.0000000E+000
 5.0000000E-001, 0.0000000E+000,-9.7265228E-002, 2.9670492E+002,-4.2522574E-002, 0.0000000E+000, 1.1862678E+002, 0.0000000E+000, 4.1520150E+002, 4.1519191E+002, 0.0000000E+000, 1.0000000E+000, 3.0064621E+002, 0.0000000E+000
 5.5000001E-001, 0.0000000E+000,-1.0940383E-001, 2.9670492E+002,-4.4393051E-002, 0.0000000E+000, 1.1862170E+002, 0.0000000E+000, 4.1518577E+002, 4.1517283E+002, 0.0000000E+000, 1.0000000E+000, 3.3404275E+002, 0.0000000E+000
 6.0000002E-001, 0.0000000E+000,-1.2153809E-001, 2.9670492E+002,-5.0962389E-002, 0.0000000E+000, 1.1861511E+002, 0.0000000E+000, 4.1516597E+002, 4.1514753E+002, 0.0000000E+000, 1.0000000E+000, 3.6743770E+002, 0.0000000E+000
 6.4999998E-001, 0.0000000E+000,-1.2337716E-001, 2.9670492E+002,-5.7518777E-002, 0.0000000E+000, 1.1860968E+002, 0.0000000E+000, 4.1513974E+002, 4.1513370E+002, 0.0000000E+000, 1.0000000E+000, 4.0083053E+002, 0.0000000E+000
 6.9999999E-001, 0.0000000E+000,-1.3550315E-001, 2.9670492E+002,-5.7487632E-002, 0.0000000E+000, 1.1860618E+002, 0.0000000E+000, 4.1513011E+002, 4.1511811E+002, 0.0000000E+000, 1.0000000E+000, 4.3422259E+002, 0.0000000E+000
 7.5000000E-001, 0.0000000E+000,-1.4762485E-001, 2.9670492E+002,-6.4331127E-002, 0.0000000E+000, 1.1859929E+002, 0.0000000E+000, 4.1511079E+002, 4.1509226E+002, 0.0000000E+000, 1.0000000E+000, 4.6761310E+002, 0.0000000E+000
 8.0000001E-001, 0.0000000E+000,-1.4646698E-001, 2.9670492E+002,-7.1178463E-002, 0.0000000E+000, 1.1859435E+002, 0.0000000E+000, 4.1508419E+002, 4.1508162E+002, 0.0000000E+000, 1.0000000E+000, 5.0100147E+002, 0.0000000E+000
 8.5000002E-001, 0.0000000E+000,-1.5858125E-001, 2.9670492E+002,-6.9648404E-002, 0.0000000E+000, 1.1859296E+002, 0.0000000E+000, 4.1508277E+002, 4.1506965E+002, 0.0000000E+000, 1.0000000E+000, 5.3438972E+002, 0.0000000E+000
 8.9999998E-001, 0.0000000E+000,-1.7069106E-001, 2.9670492E+002,-7.6569228E-002, 0.0000000E+000, 1.1858514E+002, 0.0000000E+000, 4.1506133E+002, 4.1504280E+002, 0.0000000E+000, 1.0000000E+000, 5.6777625E+002, 0.0000000E+000
 9.4999999E-001, 0.0000000E+000,-1.6635794E-001, 2.9670492E+002,-8.3672553E-002, 0.0000000E+000, 1.1858073E+002, 0.0000000E+000, 4.1503450E+002, 4.1503562E+002, 0.0000000E+000, 1.0000000E+000, 6.0116062E+002, 0.0000000E+000
 1.0000000E+000, 0.0000000E+000,-1.7846102E-001, 2.9670492E+002,-8.0172156E-002, 0.0000000E+000, 1.1858102E+002, 0.0000000E+000, 4.1503959E+002, 4.1502731E+002, 0.0000000E+000, 1.0000000E+000, 6.3454540E+002, 0.0000000E+000
 1.0500000E+000, 0.0000000E+000,-1.9055969E-001, 2.9670492E+002,-8.7242762E-002, 0.0000000E+000, 1.1857291E+002, 0.0000000E+000, 4.1501859E+002, 4.1500002E+002, 0.0000000E+000, 1.0000000E+000, 6.6792850E+002, 0.0000000E+000
 1.1000000E+000, 0.0000000E+000,-1.8355350E-001, 2.9670492E+002,-9.4536056E-002, 0.0000000E+000, 1.1856896E+002, 0.0000000E+000, 4.1499155E+002, 4.1499579E+002, 0.0000000E+000, 1.0000000E+000, 7.0130941E+002, 0.0000000E+000
 1.1500000E+000, 0.0000000E+000,-1.9564593E-001, 2.9670492E+002,-8.9856467E-002, 0.0000000E+000, 1.1857031E+002, 0.0000000E+000, 4.1500128E+002, 4.1498973E+002, 0.0000000E+000, 1.0000000E+000, 7.3469111E+002, 0.0000000E+000
 1.2000000E+000, 0.0000000E+000,-2.0773401E-001, 2.9670492E+002,-9.7073679E-002, 0.0000000E+000, 1.1856209E+002, 0.0000000E+000, 4.1498081E+002, 4.1496220E+002, 0.0000000E+000, 1.0000000E+000, 7.6807116E+002, 0.0000000E+000
 1.2500000E+000, 0.0000000E+000,-1.9849786E-001, 2.9670492E+002,-1.0451877E-001, 0.0000000E+000, 1.1855852E+002, 0.0000000E+000, 4.1495358E+002, 4.1496043E+002, 0.0000000E+000, 1.0000000E+000, 8.0144902E+002, 0.0000000E+000
 1.3000000E+000, 0.0000000E+000,-2.1058007E-001, 2.9670492E+002,-9.8499842E-002, 0.0000000E+000, 1.1856091E+002, 0.0000000E+000, 4.1496744E+002, 4.1495675E+002, 0.0000000E+000, 1.0000000E+000, 8.3482800E+002, 0.0000000E+000
 1.3500000E+000, 0.0000000E+000,-2.2265800E-001, 2.9670492E+002,-1.0583023E-001, 0.0000000E+000, 1.1855260E+002, 0.0000000E+000, 4.1494768E+002, 4.1492903E+002, 0.0000000E+000, 1.0000000E+000, 8.6820539E+002, 0.0000000E+000
 1.4000000E+000, 0.0000000E+000,-2.1164085E-001, 2.9670492E+002,-1.1339596E-001, 0.0000000E+000, 1.1854934E+002, 0.0000000E+000, 4.1492029E+002, 4.1492923E+002, 0.0000000E+000, 1.0000000E+000, 9.0158057E+002, 0.0000000E+000
 1.4500000E+000, 0.0000000E+000,-2.2371323E-001, 2.9670492E+002,-1.0575321E-001, 0.0000000E+000, 1.1855278E+002, 0.0000000E+000, 4.1493782E+002, 4.1492823E+002, 0.0000000E+000, 1.0000000E+000, 9.3495717E+002, 0.0000000E+000
 1.5000000E+000, 0.0000000E+000,-2.3578140E-001, 2.9670492E+002,-1.1317254E-001, 0.0000000E+000, 1.1854440E+002, 0.0000000E+000, 4.1491903E+002, 4.1490036E+002, 0.0000000E+000, 1.0000000E+000, 9.6833225E+002, 0.0000000E+000
 1.5500000E+000, 0.0000000E+000,-2.2415313E-001, 2.9670492E+002,-1.2083290E-001, 0.0000000E+000, 1.1854123E+002, 0.0000000E+000, 4.1489153E+002, 4.1490117E+002, 0.0000000E+000, 1.0000000E+000, 1.0017051E+003, 0.0000000E+000
 1.6000000E+000, 0.0000000E+000,-2.3621580E-001, 2.9670492E+002,-1.1302195E-001, 0.0000000E+000, 1.1854487E+002, 0.0000000E+000, 4.1491003E+002, 4.1490056E+002, 0.0000000E+000, 1.0000000E+000, 1.0350795E+003, 0.0000000E+000
 1.6500000E+000, 0.0000000E+000,-2.4827424E-001, 2.9670492E+002,-1.2052876E-001, 0.0000000E+000, 1.1853644E+002, 0.0000000E+000, 4.1489125E+002, 4.1487256E+002, 0.0000000E+000, 1.0000000E+000, 1.0684523E+003, 0.0000000E+000
 1.7000000E+000, 0.0000000E+000,-2.3393297E-001, 2.9670492E+002,-1.2827821E-001, 0.0000000E+000, 1.1853379E+002, 0.0000000E+000, 4.1486364E+002, 4.1487650E+002, 0.0000000E+000, 1.0000000E+000, 1.1018230E+003, 0.0000000E+000
 1.7500000E+000, 0.0000000E+000,-2.4598639E-001, 2.9670492E+002,-1.1847743E-001, 0.0000000E+000, 1.1853881E+002, 0.0000000E+000, 4.1488739E+002, 4.1487926E+002, 0.0000000E+000, 1.0000000E+000, 1.1351955E+003, 0.0000000E+000
 1.8000000E+000, 0.0000000E+000,-2.5803568E-001, 2.9670492E+002,-1.2603950E-001, 0.0000000E+000, 1.1853033E+002, 0.0000000E+000, 4.1486987E+002, 4.1485117E+002, 0.0000000E+000, 1.0000000E+000, 1.1685666E+003, 0.0000000E+000
 1.8500000E+000, 0.0000000E+000,-2.4212583E-001, 2.9670492E+002,-1.3385024E-001, 0.0000000E+000, 1.1852796E+002, 0.0000000E+000, 4.1484219E+002, 4.1485690E+002, 0.0000000E+000, 1.0000000E+000, 1.2019355E+003, 0.0000000E+000
 1.9000000E+000, 0.0000000E+000,-2.5417035E-001, 2.9670492E+002,-1.2366764E-001, 0.0000000E+000, 1.1853346E+002, 0.0000000E+000, 4.1486842E+002, 4.1486054E+002, 0.0000000E+000, 1.0000000E+000, 1.2353065E+003, 0.0000000E+000
 1.9500000E+000, 0.0000000E+000,-2.6621077E-001, 2.9670492E+002,-1.3128206E-001, 0.0000000E+000, 1.1852495E+002, 0.0000000E+000, 4.1485108E+002, 4.1483238E+002, 0.0000000E+000, 1.0000000E+000, 1.2686762E+003, 0.0000000E+000
 2.0000000E+000, 0.0000000E+000,-2.4920197E-001, 2.9670492E+002,-1.3914699E-001, 0.0000000E+000, 1.1852278E+002, 0.0000000E+000, 4.1482334E+002, 4.1483936E+002, 0.0000000E+000, 1.0000000E+000, 1.3020435E+003, 0.0000000E+000
 2.0500000E+000, 0.0000000E+000,-2.6123787E-001, 2.9670492E+002,-1.2821919E-001, 0.0000000E+000, 1.1852882E+002, 0.0000000E+000, 4.1485165E+002, 4.1484429E+002, 0.0000000E+000, 1.0000000E+000, 1.3354132E+003, 0.0000000E+000
