,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-06-26T16:19:17.086+02:00,   0.500E-01,   0.05000,   5.54390
      2,2020-06-26T16:19:17.168+02:00,   0.500E-01,   0.10000,   5.87124
      3,2020-06-26T16:19:17.256+02:00,   0.500E-01,   0.15000,   6.21631
      4,2020-06-26T16:19:17.355+02:00,   0.500E-01,   0.20000,   6.61089
      5,2020-06-26T16:19:17.435+02:00,   0.500E-01,   0.25000,   6.93031
      6,2020-06-26T16:19:17.522+02:00,   0.500E-01,   0.30000,   7.27264
      7,2020-06-26T16:19:17.620+02:00,   0.500E-01,   0.35000,   7.66482
      8,2020-06-26T16:19:17.700+02:00,   0.500E-01,   0.40000,   7.98246
      9,2020-06-26T16:19:17.788+02:00,   0.500E-01,   0.45000,   8.32578
     10,2020-06-26T16:19:17.885+02:00,   0.500E-01,   0.50000,   8.71366
     20,2020-06-26T16:19:18.773+02:00,   0.500E-01,   1.00000,  12.23248
     30,2020-06-26T16:19:19.664+02:00,   0.500E-01,   1.50000,  15.76336
     40,2020-06-26T16:19:20.549+02:00,   0.500E-01,   2.00000,  19.28208
     50,2020-06-26T16:19:21.420+02:00,   0.500E-01,   2.50000,  22.74212
     60,2020-06-26T16:19:22.290+02:00,   0.500E-01,   3.00000,  26.20033
     70,2020-06-26T16:19:23.583+02:00,   0.500E-01,   3.50000,  31.14004
     80,2020-06-26T16:19:24.636+02:00,   0.500E-01,   4.00000,  35.13542
     90,2020-06-26T16:19:25.813+02:00,   0.500E-01,   4.50000,  39.71008
    100,2020-06-26T16:19:26.817+02:00,   0.500E-01,   5.00000,  43.65802
    200,2020-06-26T16:19:36.985+02:00,   0.500E-01,  10.00000,  83.35410
    300,2020-06-26T16:19:46.891+02:00,   0.500E-01,  15.00000, 122.14612
    400,2020-06-26T16:19:59.710+02:00,   0.500E-01,  20.00000, 172.69882
    500,2020-06-26T16:20:10.570+02:00,   0.500E-01,  25.00000, 215.19750
