,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-06-26T16:19:17.246+02:00,   0.500E-01,   0.05000,   5.05688
      2,2020-06-26T16:19:17.284+02:00,   0.500E-01,   0.10000,   5.20810
      3,2020-06-26T16:19:17.331+02:00,   0.500E-01,   0.15000,   5.38767
      4,2020-06-26T16:19:17.394+02:00,   0.500E-01,   0.20000,   5.63992
      5,2020-06-26T16:19:17.432+02:00,   0.500E-01,   0.25000,   5.79189
      6,2020-06-26T16:19:17.479+02:00,   0.500E-01,   0.30000,   5.97000
      7,2020-06-26T16:19:17.541+02:00,   0.500E-01,   0.35000,   6.22153
      8,2020-06-26T16:19:17.580+02:00,   0.500E-01,   0.40000,   6.37386
      9,2020-06-26T16:19:17.627+02:00,   0.500E-01,   0.45000,   6.55360
     10,2020-06-26T16:19:17.690+02:00,   0.500E-01,   0.50000,   6.80592
     20,2020-06-26T16:19:18.179+02:00,   0.500E-01,   1.00000,   8.72628
     30,2020-06-26T16:19:18.660+02:00,   0.500E-01,   1.50000,  10.62044
     40,2020-06-26T16:19:19.157+02:00,   0.500E-01,   2.00000,  12.58535
     50,2020-06-26T16:19:19.650+02:00,   0.500E-01,   2.50000,  14.53368
     60,2020-06-26T16:19:20.144+02:00,   0.500E-01,   3.00000,  16.48236
     70,2020-06-26T16:19:20.688+02:00,   0.500E-01,   3.50000,  18.61532
     80,2020-06-26T16:19:21.362+02:00,   0.500E-01,   4.00000,  21.22708
     90,2020-06-26T16:19:21.969+02:00,   0.500E-01,   4.50000,  23.58115
    100,2020-06-26T16:19:22.938+02:00,   0.500E-01,   5.00000,  27.26555
    200,2020-06-26T16:19:29.422+02:00,   0.500E-01,  10.00000,  51.91174
    300,2020-06-26T16:19:35.842+02:00,   0.500E-01,  15.00000,  76.53908
    400,2020-06-26T16:19:47.975+02:00,   0.500E-01,  20.00000, 116.34115
    500,2020-06-26T16:20:01.830+02:00,   0.500E-01,  25.00000, 146.14537
